% Edge sensor logfile normalized 'log_20240301_171536.564/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709309737.4873 0 0 0 0 0 0 0 0  0.0000
1709309737.4962 0 795 1000 890 280 0 0 0  0.0417
1709309737.5035 0 822 1000 899 292 0 0 0  0.0425
1709309737.5132 0 813 1000 881 282 0 0 0  0.0418
1709309737.5204 0 863 1000 910 289 0 0 0  0.0433
1709309737.5262 0 854 1000 893 282 0 0 0  0.0428
1709309737.5334 0 800 1000 881 282 0 0 0  0.0416
1709309737.5419 0 822 1000 881 284 0 0 0  0.0420
1709309737.5499 0 859 1000 897 289 0 0 0  0.0430
1709309737.5584 0 790 1000 884 284 0 0 0  0.0415
1709309737.5661 0 836 1000 884 279 0 0 0  0.0423
1709309737.5736 0 840 1000 903 290 0 0 0  0.0428
1709309737.5817 0 813 1000 895 294 0 0 0  0.0422
1709309737.5900 0 840 1000 881 289 0 0 0  0.0424
1709309737.5976 0 845 1000 888 287 0 0 0  0.0426
1709309737.6057 0 795 1000 915 279 0 0 0  0.0421
1709309737.6139 0 768 1000 848 280 0 0 0  0.0403
1709309737.6212 0 804 1000 910 294 0 0 0  0.0423
1709309737.6293 0 772 1000 903 300 0 0 0  0.0417
1709309737.6376 0 768 1000 868 290 0 0 0  0.0408
1709309737.6454 0 750 1000 842 304 0 0 0  0.0400
1709309737.6536 0 727 1000 839 292 0 0 0  0.0393
1709309737.6625 0 631 1000 795 287 0 0 0  0.0343
1709309737.6710 0 668 1000 842 310 0 0 0  0.0372
1709309737.6787 0 636 990 822 304 0 0 0  0.0352
1709309737.6871 0 595 958 795 287 0 0 0  0.0325
1709309737.6947 0 572 940 771 282 0 0 0  0.0308
1709309737.7024 0 581 917 753 271 0 0 0  0.0301
1709309737.7106 0 581 915 753 271 0 0 0  0.0301
1709309737.7188 0 563 888 740 279 0 0 0  0.0285
1709309737.7265 0 527 869 696 251 0 0 0  0.0252
1709309737.7349 0 550 851 705 252 0 0 0  0.0259
1709309737.7429 0 495 851 696 251 0 0 0  0.0240
1709309737.7508 0 495 872 744 271 0 0 0  0.0266
1709309737.7590 0 495 872 729 261 0 0 0  0.0260
1709309737.7663 0 554 908 742 264 0 0 0  0.0287
1709309737.7747 0 640 984 802 289 0 0 0  0.0347
1709309737.7847 0 677 1000 811 290 0 0 0  0.0367
