% Edge sensor logfile log_20240301_171536.564/log_edge.txt
% 	Calib white 198 345 561 652 714 726 681 594
% 	Calib black 106 125 123 105 109 117 111 105
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709309738.5348 1 0.028 -0.003 0.0310
1709309738.5424 1 0.027 -0.003 0.0305
1709309738.5515 1 0.028 -0.005 0.0331
1709309738.5588 1 0.028 -0.006 0.0333
1709309738.5667 1 0.026 -0.006 0.0320
1709309738.5753 1 0.026 -0.008 0.0333
1709309738.5828 1 0.024 -0.009 0.0329
1709309738.5912 1 0.023 -0.009 0.0317
1709309738.5991 1 0.022 -0.010 0.0320
1709309738.6064 1 0.020 -0.009 0.0299
1709309738.6149 1 0.020 -0.009 0.0294
1709309738.6223 1 0.020 -0.010 0.0300
1709309738.6305 1 0.019 -0.010 0.0286
1709309738.6398 1 0.018 -0.010 0.0282
1709309738.6470 1 0.018 -0.011 0.0295
1709309738.6543 1 0.018 -0.012 0.0296
1709309738.6632 1 0.017 -0.011 0.0281
1709309738.6703 1 0.016 -0.012 0.0288
1709309738.6786 1 0.015 -0.012 0.0273
1709309738.6865 1 0.015 -0.012 0.0270
1709309738.6944 1 0.015 -0.013 0.0279
1709309738.7028 1 0.014 -0.013 0.0273
1709309738.7109 1 0.013 -0.014 0.0272
1709309738.7186 1 0.014 -0.015 0.0284
1709309738.7270 1 0.013 -0.014 0.0273
1709309738.7353 1 0.013 -0.015 0.0279
1709309738.7425 1 0.013 -0.015 0.0280
1709309738.7511 1 0.012 -0.016 0.0286
1709309738.7592 1 0.012 -0.016 0.0289
1709309738.7665 1 0.011 -0.016 0.0278
1709309738.7747 1 0.012 -0.017 0.0291
1709309738.7827 1 0.012 -0.018 0.0296
1709309738.7906 1 0.011 -0.017 0.0277
1709309738.7986 1 0.011 -0.017 0.0286
1709309738.8066 1 0.010 -0.018 0.0281
1709309738.8154 1 0.010 -0.017 0.0275
1709309738.8224 1 0.011 -0.018 0.0290
1709309738.8309 1 0.010 -0.017 0.0275
1709309738.8395 1 0.010 -0.017 0.0275
1709309738.8468 1 0.011 -0.018 0.0286
1709309738.8545 1 0.011 -0.017 0.0279
1709309738.8640 1 0.010 -0.017 0.0269
1709309738.8712 1 0.011 -0.018 0.0287
1709309738.8793 1 0.011 -0.017 0.0280
1709309738.8866 1 0.011 -0.016 0.0279
1709309738.8947 1 0.012 -0.017 0.0288
1709309738.9027 1 0.012 -0.016 0.0278
1709309738.9110 1 0.012 -0.015 0.0270
1709309738.9193 1 0.012 -0.015 0.0276
1709309738.9268 1 0.012 -0.016 0.0279
1709309738.9352 1 0.013 -0.016 0.0287
1709309738.9424 1 0.013 -0.015 0.0282
1709309738.9507 1 0.014 -0.015 0.0286
1709309738.9593 1 0.015 -0.014 0.0283
1709309738.9663 1 0.015 -0.013 0.0284
1709309738.9752 1 0.016 -0.014 0.0295
1709309738.9824 1 0.016 -0.013 0.0284
1709309738.9904 1 0.016 -0.012 0.0284
1709309738.9987 1 0.017 -0.012 0.0292
1709309739.0063 1 0.017 -0.012 0.0293
1709309739.0149 1 0.018 -0.012 0.0297
1709309739.0230 1 0.019 -0.013 0.0310
1709309739.0312 1 0.019 -0.012 0.0315
1709309739.0390 1 0.019 -0.011 0.0307
1709309739.0467 1 0.020 -0.011 0.0307
1709309739.0549 1 0.021 -0.010 0.0312
1709309739.0625 1 0.021 -0.009 0.0304
