% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309737.4797 0 0 0 0
1709309737.4885 0 0 0 0
1709309737.4979 0 0 0 0
1709309737.5052 0 0 0 0
1709309737.5149 0 0 0 0
1709309737.5217 0 0 0 0
1709309737.5275 0 0 0 0
1709309737.5348 0 0 0 0
1709309737.5432 0 0 0 0
1709309737.5504 0 0 0 0
1709309737.5590 0 0 0 0
1709309737.5669 0 0 0 0
1709309737.5742 0 0 0 0
1709309737.5824 0 0 0 0
1709309737.5911 0 0 0 0
1709309737.5982 0 0 0 0
1709309737.6063 6 6 6 6
1709309737.6145 16 16 10 10
1709309737.6218 27 24 11 8
1709309737.6299 31 29 4 5
1709309737.6389 35 35 4 6
1709309737.6460 44 45 9 10
1709309737.6542 54 56 10 11
1709309737.6620 67 71 13 15
1709309737.6705 78 84 11 13
1709309737.6782 90 96 12 12
1709309737.6865 102 110 12 14
1709309737.6942 117 122 15 12
1709309737.7018 130 138 13 16
1709309737.7100 142 152 12 14
1709309737.7183 158 168 16 16
1709309737.7260 170 183 12 15
1709309737.7343 185 201 15 18
1709309737.7423 201 217 16 16
1709309737.7503 218 232 17 15
1709309737.7585 232 246 14 14
1709309737.7657 248 262 16 16
1709309737.7742 263 277 15 15
1709309737.7838 281 295 18 18
1709309737.7904 298 313 17 18
1709309737.7982 317 331 19 18
1709309737.8064 333 342 16 11
1709309737.8147 346 360 13 18
1709309737.8224 359 381 13 21
1709309737.8307 377 397 18 16
1709309737.8385 398 415 21 18
1709309737.8463 416 435 18 20
1709309737.8545 430 451 14 16
1709309737.8628 445 469 15 18
1709309737.8708 463 490 18 21
1709309737.8787 486 508 23 18
1709309737.8859 505 525 19 17
1709309737.8943 518 537 13 12
1709309737.9026 533 550 15 13
1709309737.9108 552 568 19 18
1709309737.9187 570 587 18 19
1709309737.9258 588 602 18 15
1709309737.9342 605 616 17 14
1709309737.9419 622 633 17 17
1709309737.9505 638 651 16 18
1709309737.9588 653 667 15 16
1709309737.9663 665 686 12 19
1709309737.9746 680 703 15 17
1709309737.9819 698 718 18 15
1709309737.9907 714 735 16 17
1709309737.9982 727 752 13 17
1709309738.0060 741 767 14 15
1709309738.0144 759 787 18 20
1709309738.0220 773 802 14 15
1709309738.0306 790 816 17 14
1709309738.0389 805 826 15 10
1709309738.0464 819 844 14 18
1709309738.0550 835 859 16 15
1709309738.0619 852 875 17 16
1709309738.0702 867 889 15 14
1709309738.0786 878 905 11 16
1709309738.0864 892 924 14 19
1709309738.0938 908 940 16 16
1709309738.1023 924 952 16 12
1709309738.1103 939 969 15 17
1709309738.1186 950 988 11 19
1709309738.1260 962 1003 12 15
1709309738.1340 976 1021 14 18
1709309738.1431 990 1036 14 15
1709309738.1503 1007 1052 17 16
1709309738.1583 1024 1068 17 16
1709309738.1669 1037 1085 13 17
1709309738.1742 1051 1101 14 16
1709309738.1821 1065 1118 14 17
1709309738.1898 1079 1137 14 19
1709309738.1982 1093 1156 14 19
1709309738.2063 1106 1170 13 14
1709309738.2147 1123 1189 17 19
1709309738.2218 1140 1207 17 18
1709309738.2308 1155 1222 15 15
1709309738.2386 1167 1239 12 17
1709309738.2458 1182 1256 15 17
1709309738.2540 1200 1274 18 18
1709309738.2623 1216 1288 16 14
1709309738.2708 1231 1304 15 16
1709309738.2784 1245 1322 14 18
1709309738.2866 1260 1340 15 18
1709309738.2946 1271 1352 11 12
1709309738.3025 1284 1365 13 13
1709309738.3108 1300 1382 16 17
1709309738.3181 1314 1398 14 16
1709309738.3260 1330 1416 16 18
1709309738.3344 1344 1434 14 18
1709309738.3426 1358 1451 14 17
1709309738.3506 1374 1467 16 16
1709309738.3579 1390 1481 16 14
1709309738.3665 1406 1496 16 15
1709309738.3743 1419 1515 13 19
1709309738.3826 1433 1531 14 16
1709309738.3905 1453 1549 20 18
1709309738.3987 1468 1564 15 15
1709309738.4058 1480 1582 12 18
1709309738.4141 1495 1599 15 17
1709309738.4222 1512 1615 17 16
1709309738.4304 1530 1631 18 16
1709309738.4391 1546 1653 16 22
1709309738.4461 1560 1669 14 16
1709309738.4543 1575 1680 15 11
1709309738.4625 1590 1695 15 15
1709309738.4698 1608 1714 18 19
1709309738.4782 1624 1729 16 15
1709309738.4865 1638 1741 14 12
1709309738.4941 1654 1755 16 14
1709309738.5033 1673 1776 19 21
1709309738.5107 1689 1792 16 16
1709309738.5187 1703 1808 14 16
1709309738.5259 1717 1821 14 13
1709309738.5343 1735 1832 18 11
1709309738.5419 1754 1845 19 13
1709309738.5508 1770 1862 16 17
1709309738.5583 1784 1883 14 21
1709309738.5661 1799 1900 15 17
1709309738.5747 1816 1915 17 15
1709309738.5822 1834 1927 18 12
1709309738.5906 1851 1939 17 12
1709309738.5986 1866 1958 15 19
1709309738.6058 1881 1976 15 18
1709309738.6143 1898 1990 17 14
1709309738.6218 1916 2000 18 10
1709309738.6300 1934 2014 18 14
1709309738.6392 1951 2028 17 14
1709309738.6465 1969 2045 18 17
1709309738.6538 1988 2056 19 11
1709309738.6627 2004 2070 16 14
1709309738.6698 2020 2082 16 12
1709309738.6780 2039 2099 19 17
1709309738.6860 2056 2112 17 13
1709309738.6938 2074 2124 18 12
1709309738.7022 2092 2138 18 14
1709309738.7103 2109 2155 17 17
1709309738.7180 2125 2169 16 14
1709309738.7264 2144 2182 19 13
1709309738.7347 2161 2197 17 15
1709309738.7419 2181 2210 20 13
1709309738.7505 2196 2226 15 16
1709309738.7586 2213 2236 17 10
1709309738.7659 2230 2249 17 13
1709309738.7742 2247 2265 17 16
1709309738.7821 2265 2281 18 16
1709309738.7900 2281 2294 16 13
1709309738.7980 2299 2309 18 15
1709309738.8060 2314 2323 15 14
1709309738.8148 2330 2334 16 11
1709309738.8219 2347 2350 17 16
1709309738.8298 2368 2362 21 12
1709309738.8389 2385 2378 17 16
1709309738.8462 2401 2394 16 16
1709309738.8540 2418 2408 17 14
1709309738.8634 2436 2421 18 13
1709309738.8706 2455 2431 19 10
1709309738.8786 2475 2451 20 20
1709309738.8861 2490 2466 15 15
1709309738.8941 2503 2475 13 9
1709309738.9020 2521 2486 18 11
1709309738.9104 2542 2499 21 13
1709309738.9188 2561 2514 19 15
1709309738.9262 2575 2529 14 15
1709309738.9346 2593 2543 18 14
1709309738.9418 2615 2554 22 11
1709309738.9499 2631 2571 16 17
1709309738.9587 2647 2588 16 17
1709309738.9658 2664 2603 17 15
1709309738.9747 2684 2614 20 11
1709309738.9818 2702 2627 18 13
1709309738.9898 2717 2643 15 16
1709309738.9981 2730 2659 13 16
1709309739.0058 2746 2676 16 17
1709309739.0144 2762 2690 16 14
1709309739.0225 2780 2704 18 14
1709309739.0307 2799 2721 19 17
1709309739.0384 2813 2738 14 17
1709309739.0462 2830 2756 17 18
1709309739.0544 2847 2771 17 15
1709309739.0619 2863 2781 16 10
1709309739.0699 2879 2800 16 19
1709309739.0781 2895 2817 16 17
1709309739.0866 2913 2834 18 17
1709309739.0939 2930 2846 17 12
1709309739.1021 2947 2858 17 12
1709309739.1104 2961 2872 14 14
1709309739.1181 2976 2892 15 20
1709309739.1263 2993 2908 17 16
1709309739.1344 3008 2921 15 13
1709309739.1419 3025 2933 17 12
1709309739.1501 3041 2951 16 18
1709309739.1583 3056 2963 15 12
1709309739.1665 3071 2977 15 14
1709309739.1748 3085 2996 14 19
1709309739.1819 3101 3013 16 17
1709309739.1904 3117 3028 16 15
1709309739.1988 3133 3041 16 13
1709309739.2060 3147 3056 14 15
1709309739.2148 3159 3075 12 19
1709309739.2229 3175 3093 16 18
1709309739.2303 3192 3110 17 17
1709309739.2388 3211 3126 19 16
1709309739.2461 3222 3142 11 16
1709309739.2545 3235 3161 13 19
1709309739.2627 3248 3179 13 18
1709309739.2701 3266 3197 18 18
1709309739.2778 3281 3215 15 18
1709309739.2858 3296 3230 15 15
1709309739.2938 3310 3246 14 16
1709309739.3021 3324 3264 14 18
1709309739.3103 3340 3285 16 21
1709309739.3187 3355 3300 15 15
1709309739.3259 3368 3315 13 15
1709309739.3338 3383 3334 15 19
1709309739.3420 3397 3355 14 21
1709309739.3504 3411 3369 14 14
1709309739.3582 3429 3384 18 15
1709309739.3666 3445 3402 16 18
1709309739.3739 3457 3421 12 19
1709309739.3828 3470 3438 13 17
1709309739.3900 3483 3452 13 14
1709309739.3984 3499 3472 16 20
1709309739.4061 3511 3489 12 17
1709309739.4144 3525 3507 14 18
1709309739.4218 3540 3523 15 16
