% Edge sensor logfile normalized 'log_20240301_165400.910/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308441.4486 0 0 0 0 0 0 0 0  0.0000
1709308441.4571 97 1000 1000 568 49 0 0 0  0.0347
1709308441.4643 86 1000 1000 579 52 0 0 0  0.0350
1709308441.4760 76 1000 1000 568 44 0 0 0  0.0346
1709308441.4831 141 1000 1000 575 49 0 0 0  0.0352
1709308441.4865 43 1000 1000 570 52 0 0 0  0.0345
1709308441.4950 119 1000 1000 570 47 0 0 0  0.0349
1709308441.5034 163 1000 1000 586 64 0 0 0  0.0357
1709308441.5115 76 1000 1000 570 42 0 0 0  0.0347
1709308441.5198 54 1000 1000 566 46 0 0 0  0.0344
1709308441.5269 130 1000 1000 585 52 0 0 0  0.0354
1709308441.5351 76 1000 1000 575 41 0 0 0  0.0348
1709308441.5428 97 1000 1000 577 41 0 0 0  0.0350
1709308441.5507 130 1000 1000 583 49 0 0 0  0.0354
1709308441.5590 65 1000 1000 585 59 0 0 0  0.0350
1709308441.5667 76 1000 1000 570 42 0 0 0  0.0347
1709308441.5748 43 1000 1000 572 51 0 0 0  0.0345
1709308441.5828 65 1000 1000 577 59 0 0 0  0.0348
1709308441.5916 119 1000 1000 572 51 0 0 0  0.0350
1709308441.5987 130 1000 1000 575 49 0 0 0  0.0352
1709308441.6066 76 1000 1000 575 52 0 0 0  0.0348
1709308441.6151 97 1000 1000 557 38 0 0 0  0.0344
1709308441.6232 130 1000 1000 579 61 0 0 0  0.0353
1709308441.6314 54 1000 1000 579 52 0 0 0  0.0348
1709308441.6392 0 1000 1000 568 57 0 0 0  0.0342
1709308441.6466 0 1000 1000 590 66 0 0 0  0.0348
1709308441.6546 0 1000 1000 605 69 0 0 0  0.0353
1709308441.6626 0 1000 1000 638 76 0 0 0  0.0365
1709308441.6709 0 1000 1000 614 85 0 0 0  0.0356
1709308441.6792 0 1000 1000 652 99 0 0 0  0.0371
1709308441.6870 0 1000 1000 659 115 0 0 0  0.0374
1709308441.6952 0 1000 1000 703 119 0 0 0  0.0395
1709308441.7031 0 1000 1000 720 143 0 0 0  0.0400
1709308441.7110 0 1000 1000 753 165 0 0 0  0.0410
1709308441.7192 0 1000 1000 780 178 0 0 0  0.0417
1709308441.7275 0 1000 1000 798 203 0 0 0  0.0423
1709308441.7346 0 972 1000 806 218 0 0 0  0.0422
1709308441.7440 0 895 1000 820 238 0 0 0  0.0416
1709308441.7508 0 868 1000 881 289 0 0 0  0.0428
1709308441.7586 0 809 1000 895 304 0 0 0  0.0423
1709308441.7667 0 736 1000 915 332 0 0 0  0.0414
1709308441.7749 0 700 1000 983 376 0 0 0  0.0423
1709308441.7830 0 631 1000 1000 390 0 0 0  0.0395
1709308441.7911 0 550 1000 1000 411 0 0 0  0.0373
1709308441.7992 0 500 1000 1000 459 0 0 0  0.0369
1709308441.8066 0 445 1000 1000 467 0 0 0  0.0361
1709308441.8148 0 395 979 1000 500 0 0 0  0.0356
1709308441.8230 0 313 947 1000 527 0 0 0  0.0347
1709308441.8309 0 227 885 1000 545 0 0 0  0.0333
1709308441.8389 0 163 865 1000 573 4 0 0  0.0332
1709308441.8471 0 118 851 1000 611 36 0 0  0.0339
1709308441.8556 0 59 808 1000 624 55 0 0  0.0333
1709308441.8627 0 27 783 1000 641 70 0 0  0.0334
1709308441.8710 0 4 769 1000 664 82 0 0  0.0340
1709308441.8793 0 0 764 1000 669 100 0 0  0.0341
1709308441.8866 0 0 730 1000 667 77 0 0  0.0333
1709308441.8947 0 0 716 1000 664 103 0 0  0.0328
1709308441.9032 0 0 739 1000 694 119 0 0  0.0349
1709308441.9113 0 0 696 1000 684 101 0 0  0.0332
1709308441.9186 0 0 712 1000 664 96 0 0  0.0327
1709308441.9272 0 0 744 1000 694 113 0 0  0.0350
1709308441.9355 0 0 755 1000 685 108 0 0  0.0347
1709308441.9426 0 0 762 1000 674 96 0 0  0.0343
1709308441.9510 0 0 773 1000 674 101 0 0  0.0345
1709308441.9592 0 0 778 1000 664 91 0 0  0.0342
1709308441.9673 0 31 805 1000 659 91 0 0  0.0346
1709308441.9747 0 18 801 1000 664 87 0 0  0.0347
1709308441.9828 0 9 796 1000 646 83 0 0  0.0338
1709308441.9910 0 40 810 1000 646 65 0 0  0.0341
1709308441.9988 0 81 831 1000 639 64 0 0  0.0344
1709308442.0068 0 104 849 1000 623 47 0 0  0.0342
1709308442.0149 0 100 856 1000 603 37 0 0  0.0336
1709308442.0227 0 127 892 1000 613 36 0 0  0.0347
1709308442.0308 0 131 897 1000 608 41 0 0  0.0347
1709308442.0390 0 168 897 1000 591 27 0 0  0.0343
1709308442.0468 0 181 915 1000 585 32 0 0  0.0346
1709308442.0546 0 218 910 1000 586 39 0 0  0.0348
1709308442.0627 0 150 915 1000 575 18 0 0  0.0341
1709308442.0716 0 259 915 1000 560 8 0 0  0.0344
1709308442.0786 0 222 924 1000 561 1 0 0  0.0343
1709308442.0867 0 250 936 1000 553 9 0 0  0.0345
1709308442.0956 0 240 940 1000 558 19 0 0  0.0347
1709308442.1032 0 222 942 1000 555 3 0 0  0.0345
1709308442.1114 0 218 908 1000 552 11 0 0  0.0338
1709308442.1191 0 227 904 1000 550 0 0 0  0.0337
1709308442.1273 0 190 917 1000 557 0 0 0  0.0339
1709308442.1346 0 195 890 1000 560 3 0 0  0.0335
1709308442.1434 0 163 894 1000 560 13 0 0  0.0334
1709308442.1517 0 209 920 1000 586 16 0 0  0.0349
1709308442.1593 0 218 906 1000 576 1 0 0  0.0344
1709308442.1671 0 195 892 1000 555 0 0 0  0.0334
1709308442.1756 0 231 917 1000 585 14 0 0  0.0350
1709308442.1828 0 159 890 1000 573 13 0 0  0.0336
1709308442.1908 0 145 876 1000 568 6 0 0  0.0332
1709308442.1989 0 109 878 1000 586 29 0 0  0.0335
1709308442.2067 0 113 865 1000 590 24 0 0  0.0334
1709308442.2155 0 127 869 1000 593 31 0 0  0.0337
1709308442.2232 0 100 860 1000 613 22 0 0  0.0340
1709308442.2306 0 59 847 1000 603 37 0 0  0.0333
1709308442.2393 0 90 831 1000 604 26 0 0  0.0332
1709308442.2475 0 54 831 1000 623 44 0 0  0.0337
1709308442.2554 0 22 799 1000 601 42 0 0  0.0322
1709308442.2635 0 54 803 1000 604 52 0 0  0.0325
1709308442.2712 0 40 796 1000 613 52 0 0  0.0326
1709308442.2795 0 59 805 1000 636 65 0 0  0.0337
1709308442.2871 0 18 783 1000 628 67 0 0  0.0328
1709308442.2954 0 0 757 1000 626 64 0 0  0.0322
1709308442.3032 0 0 773 1000 664 87 0 0  0.0341
1709308442.3110 0 0 755 1000 669 85 0 0  0.0339
1709308442.3193 0 0 737 1000 662 82 0 0  0.0332
1709308442.3272 0 0 751 1000 685 101 0 0  0.0346
1709308442.3351 0 0 707 1000 687 101 0 0  0.0337
1709308442.3436 0 0 712 1000 694 98 0 0  0.0342
1709308442.3513 0 0 714 1000 715 118 0 0  0.0351
1709308442.3589 0 0 671 1000 712 128 0 0  0.0331
1709308442.3671 0 0 671 1000 720 134 0 0  0.0334
1709308442.3755 0 0 678 1000 730 147 0 0  0.0340
1709308442.3832 0 0 652 1000 733 154 0 0  0.0329
1709308442.3914 0 0 630 1000 733 164 0 0  0.0320
1709308442.3996 0 0 639 1000 761 180 0 0  0.0332
1709308442.4070 0 0 621 1000 768 183 0 0  0.0327
1709308442.4152 0 0 614 1000 775 190 0 0  0.0327
1709308442.4232 0 0 623 1000 798 200 0 0  0.0336
1709308442.4309 0 0 611 1000 813 213 0 0  0.0336
1709308442.4390 0 0 602 1000 808 216 0 0  0.0332
1709308442.4473 0 0 595 1000 821 220 0 0  0.0333
1709308442.4550 0 0 586 1000 829 221 0 0  0.0332
1709308442.4640 0 0 554 1000 818 236 0 0  0.0321
1709308442.4708 0 0 545 1000 796 241 0 0  0.0314
1709308442.4796 0 0 509 1000 811 254 0 0  0.0310
1709308442.4866 0 0 477 989 809 262 0 0  0.0302
1709308442.4947 0 0 442 978 808 275 0 0  0.0295
1709308442.5030 0 0 433 972 852 302 0 0  0.0305
1709308442.5109 0 0 406 957 857 305 0 0  0.0300
1709308442.5191 0 0 394 945 879 334 0 0  0.0304
1709308442.5267 0 0 390 963 919 376 0 0  0.0319
1709308442.5349 0 0 369 948 910 367 0 0  0.0311
1709308442.5431 0 0 340 912 910 371 0 0  0.0302
1709308442.5513 0 0 321 899 940 408 0 0  0.0308
1709308442.5593 0 0 305 884 943 433 0 0  0.0308
1709308442.5675 0 0 280 846 933 426 0 0  0.0294
1709308442.5751 0 0 271 859 966 467 0 0  0.0309
1709308442.5832 0 0 253 853 961 456 0 0  0.0304
1709308442.5914 0 0 237 839 978 467 0 0  0.0304
1709308442.5989 0 0 235 848 1000 499 0 0  0.0315
1709308442.6076 0 0 189 815 995 495 0 0  0.0304
1709308442.6147 0 0 178 784 993 507 0 0  0.0299
1709308442.6227 0 0 148 775 1000 523 22 0  0.0300
1709308442.6310 0 0 111 729 980 520 10 0  0.0284
1709308442.6392 0 0 114 723 970 528 14 0  0.0283
1709308442.6467 0 0 116 731 986 538 21 0  0.0290
1709308442.6555 0 0 102 729 980 518 24 0  0.0283
1709308442.6626 0 0 116 736 970 509 19 0  0.0282
1709308442.6711 0 0 93 711 947 486 3 0  0.0266
1709308442.6793 0 0 102 714 957 512 21 0  0.0274
1709308442.6876 0 0 93 707 947 497 26 0  0.0267
1709308442.6951 0 0 86 692 928 495 0 0  0.0256
1709308442.7029 0 0 105 696 940 500 21 0  0.0262
1709308442.7116 0 0 114 702 925 492 7 0  0.0261
1709308442.7193 0 0 105 702 912 487 0 0  0.0258
1709308442.7276 0 0 134 722 928 477 0 0  0.0265
1709308442.7356 0 0 134 733 937 467 0 0  0.0267
1709308442.7432 0 0 166 758 937 467 0 0  0.0275
1709308442.7509 0 0 184 767 942 463 0 0  0.0278
1709308442.7595 0 0 196 786 920 436 0 0  0.0274
1709308442.7672 0 0 232 822 927 426 0 0  0.0285
