% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709308441.4415 0 0 0 0
1709308441.4497 0 0 0 0
1709308441.4620 0 0 0 0
1709308441.4660 0 0 0 0
1709308441.4777 0 0 0 0
1709308441.4857 0 0 0 0
1709308441.4878 0 0 0 0
1709308441.4963 0 0 0 0
1709308441.5046 0 0 0 0
1709308441.5128 0 0 0 0
1709308441.5212 0 0 0 0
1709308441.5282 0 0 0 0
1709308441.5365 0 0 0 0
1709308441.5445 0 0 0 0
1709308441.5524 0 0 0 0
1709308441.5596 0 0 0 0
1709308441.5683 0 0 0 0
1709308441.5764 0 0 0 0
1709308441.5845 2 1 2 1
1709308441.5922 5 4 3 3
1709308441.6000 9 8 4 4
1709308441.6091 9 11 0 3
1709308441.6157 9 12 0 1
1709308441.6238 10 15 1 3
1709308441.6320 11 19 1 4
1709308441.6398 12 22 1 3
1709308441.6482 14 26 2 4
1709308441.6562 15 32 1 6
1709308441.6643 16 40 1 8
1709308441.6726 18 48 2 8
1709308441.6798 21 55 3 7
1709308441.6876 22 63 1 8
1709308441.6958 22 72 0 9
1709308441.7038 25 80 3 8
1709308441.7116 28 91 3 11
1709308441.7198 31 101 3 10
1709308441.7283 34 110 3 9
1709308441.7363 36 120 2 10
1709308441.7446 38 128 2 8
1709308441.7524 40 136 2 8
1709308441.7602 43 145 3 9
1709308441.7684 47 155 4 10
1709308441.7766 49 162 2 7
1709308441.7836 51 168 2 6
1709308441.7917 55 177 4 9
1709308441.8004 58 188 3 11
1709308441.8082 61 195 3 7
1709308441.8165 65 205 4 10
1709308441.8236 69 211 4 6
1709308441.8325 73 216 4 5
1709308441.8405 77 222 4 6
1709308441.8477 83 230 6 8
1709308441.8562 89 239 6 9
1709308441.8644 94 243 5 4
1709308441.8717 100 246 6 3
1709308441.8799 105 251 5 5
1709308441.8882 112 258 7 7
1709308441.8964 120 263 8 5
1709308441.9038 127 267 7 4
1709308441.9119 134 269 7 2
1709308441.9202 141 273 7 4
1709308441.9278 150 278 9 5
1709308441.9361 157 283 7 5
1709308441.9443 164 285 7 2
1709308441.9516 172 286 8 1
1709308441.9598 180 293 8 7
1709308441.9689 187 299 7 6
1709308441.9763 196 302 9 3
1709308441.9845 207 304 11 2
1709308441.9916 212 307 5 3
1709308442.0001 218 313 6 6
1709308442.0084 228 316 10 3
1709308442.0166 235 318 7 2
1709308442.0243 242 323 7 5
1709308442.0325 249 329 7 6
1709308442.0396 257 334 8 5
1709308442.0485 264 337 7 3
1709308442.0563 271 339 7 2
1709308442.0644 279 345 8 6
1709308442.0721 286 352 7 7
1709308442.0802 292 357 6 5
1709308442.0884 299 359 7 2
1709308442.0961 306 362 7 3
1709308442.1037 314 369 8 7
1709308442.1120 318 375 4 6
1709308442.1197 323 379 5 4
1709308442.1279 330 382 7 3
1709308442.1363 340 387 10 5
1709308442.1439 346 393 6 6
1709308442.1524 351 398 5 5
1709308442.1599 354 402 3 4
1709308442.1678 361 408 7 6
1709308442.1762 369 415 8 7
1709308442.1845 375 420 6 5
1709308442.1924 378 425 3 5
1709308442.2001 383 432 5 7
1709308442.2083 389 435 6 3
1709308442.2161 397 439 8 4
1709308442.2238 402 443 5 4
1709308442.2323 406 450 4 7
1709308442.2399 412 456 6 6
1709308442.2480 419 461 7 5
1709308442.2560 425 464 6 3
1709308442.2646 429 470 4 6
1709308442.2718 433 476 4 6
1709308442.2800 440 483 7 7
1709308442.2877 446 488 6 5
1709308442.2960 452 497 6 9
1709308442.3038 456 503 4 6
1709308442.3116 461 506 5 3
1709308442.3199 469 511 8 5
1709308442.3288 478 518 9 7
1709308442.3358 484 524 6 6
1709308442.3442 488 529 4 5
1709308442.3518 494 534 6 5
1709308442.3606 501 541 7 7
1709308442.3678 507 547 6 6
1709308442.3760 514 551 7 4
1709308442.3838 518 556 4 5
1709308442.3919 524 561 6 5
1709308442.4009 531 568 7 7
1709308442.4076 537 571 6 3
1709308442.4158 544 576 7 5
1709308442.4238 549 583 5 7
1709308442.4326 555 590 6 7
1709308442.4396 562 592 7 2
1709308442.4478 569 596 7 4
1709308442.4556 574 602 5 6
1709308442.4647 579 608 5 6
1709308442.4725 586 613 7 5
1709308442.4801 594 616 8 3
1709308442.4882 600 620 6 4
1709308442.4964 606 625 6 5
1709308442.5036 613 632 7 7
1709308442.5126 620 636 7 4
1709308442.5196 626 637 6 1
1709308442.5284 631 640 5 3
1709308442.5366 638 648 7 8
1709308442.5436 645 655 7 7
1709308442.5519 654 661 9 6
1709308442.5599 661 663 7 2
1709308442.5680 668 664 7 1
1709308442.5757 677 668 9 4
1709308442.5838 685 674 8 6
1709308442.5919 690 677 5 3
1709308442.6001 698 679 8 2
1709308442.6082 703 683 5 4
1709308442.6164 712 688 9 5
1709308442.6244 719 693 7 5
1709308442.6316 727 695 8 2
1709308442.6398 736 699 9 4
1709308442.6483 742 703 6 4
1709308442.6561 750 704 8 1
1709308442.6636 758 706 8 2
1709308442.6717 765 710 7 4
1709308442.6799 773 715 8 5
1709308442.6890 783 717 10 2
1709308442.6957 792 720 9 3
1709308442.7045 800 724 8 4
1709308442.7122 808 727 8 3
1709308442.7199 816 729 8 2
1709308442.7281 828 731 12 2
1709308442.7361 836 734 8 3
1709308442.7438 842 737 6 3
1709308442.7526 849 740 7 3
1709308442.7601 861 743 12 3
1709308442.7678 869 746 8 3
1709308442.7759 875 749 6 3
1709308442.7839 885 753 10 4
1709308442.7916 893 756 8 3
1709308442.8007 900 758 7 2
1709308442.8079 906 763 6 5
1709308442.8157 914 767 8 4
1709308442.8247 923 771 9 4
1709308442.8320 929 773 6 2
1709308442.8398 934 779 5 6
1709308442.8480 942 784 8 5
1709308442.8558 949 788 7 4
1709308442.8637 956 792 7 4
1709308442.8717 963 795 7 3
1709308442.8798 970 800 7 5
1709308442.8880 976 806 6 6
1709308442.8963 983 810 7 4
1709308442.9042 991 812 8 2
1709308442.9121 996 818 5 6
1709308442.9201 1001 824 5 6
1709308442.9283 1008 828 7 4
1709308442.9361 1015 834 7 6
1709308442.9438 1020 839 5 5
1709308442.9517 1026 844 6 5
1709308442.9602 1030 848 4 4
1709308442.9683 1036 852 6 4
1709308442.9761 1045 860 9 8
1709308442.9840 1050 864 5 4
1709308442.9921 1053 870 3 6
1709308442.9999 1059 878 6 8
1709308443.0086 1066 885 7 7
1709308443.0157 1073 889 7 4
1709308443.0239 1077 896 4 7
1709308443.0318 1081 902 4 6
1709308443.0399 1085 907 4 5
1709308443.0490 1090 913 5 6
1709308443.0564 1096 919 6 6
1709308443.0636 1101 927 5 8
1709308443.0718 1105 932 4 5
1709308443.0796 1110 937 5 5
1709308443.0877 1114 945 4 8
1709308443.0958 1118 952 4 7
1709308443.1042 1122 962 4 10
1709308443.1125 1125 967 3 5
1709308443.1197 1131 970 6 3
1709308443.1285 1136 979 5 9
1709308443.1357 1141 986 5 7
1709308443.1440 1147 990 6 4
1709308443.1524 1152 997 5 7
1709308443.1605 1157 1005 5 8
1709308443.1686 1163 1010 6 5
1709308443.1764 1167 1014 4 4
1709308443.1844 1172 1022 5 8
1709308443.1916 1177 1030 5 8
1709308443.2001 1184 1036 7 6
1709308443.2083 1189 1042 5 6
1709308443.2165 1194 1046 5 4
1709308443.2241 1201 1052 7 6
1709308443.2321 1209 1058 8 6
1709308443.2403 1215 1063 6 5
1709308443.2480 1218 1068 3 5
1709308443.2558 1223 1074 5 6
1709308443.2640 1232 1080 9 6
1709308443.2717 1237 1084 5 4
1709308443.2798 1243 1088 6 4
1709308443.2880 1249 1095 6 7
1709308443.2959 1255 1104 6 9
1709308443.3038 1260 1110 5 6
1709308443.3121 1266 1112 6 2
1709308443.3201 1274 1115 8 3
1709308443.3283 1279 1122 5 7
1709308443.3357 1285 1128 6 6
1709308443.3436 1290 1132 5 4
1709308443.3525 1295 1135 5 3
1709308443.3597 1301 1140 6 5
1709308443.3682 1309 1146 8 6
1709308443.3764 1314 1150 5 4
1709308443.3836 1319 1155 5 5
1709308443.3924 1324 1161 5 6
1709308443.4001 1329 1167 5 6
1709308443.4081 1336 1170 7 3
1709308443.4158 1343 1175 7 5
1709308443.4240 1349 1180 6 5
1709308443.4316 1356 1185 7 5
1709308443.4405 1364 1188 8 3
1709308443.4487 1370 1194 6 6
1709308443.4564 1375 1200 5 6
1709308443.4641 1381 1207 6 7
1709308443.4722 1387 1210 6 3
1709308443.4805 1394 1215 7 5
1709308443.4884 1401 1220 7 5
1709308443.4966 1407 1225 6 5
1709308443.5044 1413 1230 6 5
1709308443.5122 1419 1234 6 4
1709308443.5204 1425 1239 6 5
1709308443.5286 1431 1245 6 6
1709308443.5364 1438 1251 7 6
1709308443.5444 1444 1257 6 6
1709308443.5522 1449 1261 5 4
1709308443.5599 1454 1265 5 4
1709308443.5681 1462 1272 8 7
1709308443.5764 1469 1280 7 8
1709308443.5841 1474 1286 5 6
1709308443.5921 1480 1290 6 4
1709308443.6000 1485 1294 5 4
1709308443.6078 1494 1301 9 7
1709308443.6165 1499 1308 5 7
1709308443.6237 1503 1314 4 6
1709308443.6326 1508 1318 5 4
1709308443.6406 1514 1323 6 5
1709308443.6478 1521 1331 7 8
1709308443.6562 1526 1339 5 8
1709308443.6643 1529 1343 3 4
1709308443.6725 1535 1348 6 5
1709308443.6801 1541 1354 6 6
1709308443.6884 1547 1359 6 5
1709308443.6966 1551 1364 4 5
1709308443.7039 1556 1372 5 8
1709308443.7122 1560 1377 4 5
1709308443.7204 1565 1382 5 5
1709308443.7281 1571 1389 6 7
1709308443.7364 1578 1396 7 7
1709308443.7437 1581 1401 3 5
1709308443.7522 1585 1407 4 6
1709308443.7605 1591 1415 6 8
1709308443.7687 1598 1422 7 7
1709308443.7765 1601 1427 3 5
1709308443.7846 1604 1433 3 6
1709308443.7917 1610 1439 6 6
1709308443.8000 1618 1444 8 5
1709308443.8081 1622 1449 4 5
1709308443.8161 1625 1457 3 8
1709308443.8237 1630 1465 5 8
1709308443.8319 1635 1469 5 4
1709308443.8400 1640 1475 5 6
1709308443.8477 1643 1484 3 9
1709308443.8565 1645 1493 2 9
1709308443.8637 1651 1498 6 5
1709308443.8726 1659 1505 8 7
1709308443.8798 1664 1511 5 6
1709308443.8880 1667 1518 3 7
1709308443.8960 1673 1524 6 6
1709308443.9047 1679 1531 6 7
1709308443.9120 1685 1538 6 7
1709308443.9201 1689 1544 4 6
1709308443.9286 1692 1550 3 6
1709308443.9359 1697 1557 5 7
1709308443.9436 1700 1563 3 6
1709308443.9521 1707 1568 7 5
1709308443.9603 1714 1575 7 7
1709308443.9679 1720 1581 6 6
1709308443.9756 1724 1587 4 6
