% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309384.4476 0 0 0 0
1709309384.4546 0 0 0 0
1709309384.4628 0 0 0 0
1709309384.4716 0 0 0 0
1709309384.4793 0 0 0 0
1709309384.4871 0 0 0 0
1709309384.4961 0 0 0 0
1709309384.5040 0 0 0 0
1709309384.5112 0 0 0 0
1709309384.5191 0 0 0 0
1709309384.5270 0 0 0 0
1709309384.5349 0 0 0 0
1709309384.5432 0 0 0 0
1709309384.5509 0 0 0 0
1709309384.5587 0 0 0 0
1709309384.5672 2 2 2 2
1709309384.5750 9 9 7 7
1709309384.5826 16 15 7 6
1709309384.5912 20 20 4 5
1709309384.5996 25 26 5 6
1709309384.6074 32 33 7 7
1709309384.6151 42 42 10 9
1709309384.6230 52 52 10 10
1709309384.6308 62 64 10 12
1709309384.6395 74 77 12 13
1709309384.6469 85 90 11 13
1709309384.6549 102 102 17 12
1709309384.6636 116 114 14 12
1709309384.6715 130 129 14 15
1709309384.6793 145 142 15 13
1709309384.6868 160 157 15 15
1709309384.6957 177 171 17 14
1709309384.7034 190 189 13 18
1709309384.7110 207 204 17 15
1709309384.7187 226 218 19 14
1709309384.7275 243 232 17 14
1709309384.7349 257 248 14 16
1709309384.7427 273 262 16 14
1709309384.7513 288 277 15 15
1709309384.7588 305 295 17 18
1709309384.7666 321 311 16 16
1709309384.7755 338 327 17 16
1709309384.7828 357 346 19 19
1709309384.7910 380 365 23 19
1709309384.7989 396 378 16 13
1709309384.8067 411 391 15 13
1709309384.8150 432 410 21 19
1709309384.8235 453 434 21 24
1709309384.8315 471 455 18 21
1709309384.8395 490 474 19 19
1709309384.8472 505 488 15 14
1709309384.8549 518 504 13 16
1709309384.8627 532 519 14 15
1709309384.8713 550 536 18 17
1709309384.8788 567 551 17 15
1709309384.8876 583 568 16 17
1709309384.8959 597 585 14 17
1709309384.9034 610 602 13 17
1709309384.9108 624 618 14 16
1709309384.9196 641 632 17 14
1709309384.9271 657 644 16 12
1709309384.9347 673 660 16 16
1709309384.9432 687 678 14 18
1709309384.9514 703 697 16 19
1709309384.9589 720 713 17 16
1709309384.9670 736 728 16 15
1709309384.9746 750 743 14 15
1709309384.9834 765 758 15 15
1709309384.9912 779 776 14 18
1709309384.9995 796 793 17 17
1709309385.0072 812 809 16 16
1709309385.0148 828 824 16 15
1709309385.0234 843 839 15 15
1709309385.0310 857 853 14 14
1709309385.0387 874 872 17 19
1709309385.0467 891 888 17 16
1709309385.0555 905 904 14 16
1709309385.0632 918 918 13 14
1709309385.0708 935 933 17 15
1709309385.0795 950 946 15 13
1709309385.0873 966 959 16 13
1709309385.0953 982 977 16 18
1709309385.1031 998 997 16 20
1709309385.1108 1012 1013 14 16
1709309385.1194 1027 1028 15 15
1709309385.1273 1044 1043 17 15
1709309385.1352 1062 1058 18 15
1709309385.1427 1078 1076 16 18
1709309385.1512 1093 1090 15 14
1709309385.1593 1111 1103 18 13
1709309385.1669 1128 1116 17 13
1709309385.1746 1143 1132 15 16
1709309385.1832 1156 1148 13 16
1709309385.1907 1172 1166 16 18
1709309385.1990 1188 1182 16 16
1709309385.2067 1202 1195 14 13
1709309385.2154 1217 1208 15 13
1709309385.2232 1236 1225 19 17
1709309385.2316 1254 1246 18 21
1709309385.2393 1269 1259 15 13
1709309385.2467 1282 1272 13 13
1709309385.2548 1298 1293 16 21
1709309385.2634 1314 1311 16 18
1709309385.2710 1331 1323 17 12
1709309385.2787 1350 1335 19 12
1709309385.2874 1366 1354 16 19
1709309385.2958 1380 1372 14 18
1709309385.3036 1394 1386 14 14
1709309385.3111 1409 1404 15 18
1709309385.3197 1426 1417 17 13
1709309385.3273 1442 1436 16 19
1709309385.3349 1457 1453 15 17
1709309385.3436 1471 1467 14 14
1709309385.3509 1486 1482 15 15
1709309385.3596 1502 1496 16 14
1709309385.3671 1518 1509 16 13
1709309385.3747 1535 1529 17 20
1709309385.3826 1549 1546 14 17
1709309385.3906 1566 1563 17 17
1709309385.3993 1581 1575 15 12
1709309385.4068 1598 1586 17 11
1709309385.4146 1616 1602 18 16
1709309385.4234 1631 1621 15 19
1709309385.4309 1646 1638 15 17
1709309385.4395 1661 1649 15 11
1709309385.4468 1679 1663 18 14
1709309385.4553 1693 1682 14 19
1709309385.4631 1707 1698 14 16
1709309385.4707 1722 1713 15 15
1709309385.4794 1738 1729 16 16
1709309385.4876 1754 1748 16 19
1709309385.4963 1771 1764 17 16
1709309385.5026 1784 1781 13 17
1709309385.5115 1799 1799 15 18
1709309385.5192 1815 1811 16 12
1709309385.5269 1831 1827 16 16
1709309385.5346 1846 1843 15 16
1709309385.5432 1861 1859 15 16
1709309385.5514 1876 1869 15 10
1709309385.5592 1895 1888 19 19
1709309385.5672 1912 1911 17 23
1709309385.5748 1927 1929 15 18
1709309385.5826 1943 1940 16 11
1709309385.5913 1959 1952 16 12
1709309385.5995 1974 1968 15 16
1709309385.6073 1989 1987 15 19
1709309385.6152 2007 2001 18 14
1709309385.6228 2023 2017 16 16
1709309385.6315 2038 2034 15 17
1709309385.6394 2052 2049 14 15
1709309385.6468 2070 2063 18 14
1709309385.6546 2085 2081 15 18
1709309385.6635 2102 2098 17 17
1709309385.6711 2119 2111 17 13
1709309385.6788 2138 2126 19 15
1709309385.6867 2151 2145 13 19
1709309385.6961 2162 2163 11 18
1709309385.7029 2178 2179 16 16
1709309385.7108 2196 2191 18 12
1709309385.7196 2212 2208 16 17
1709309385.7267 2227 2224 15 16
1709309385.7346 2243 2241 16 17
1709309385.7433 2258 2259 15 18
1709309385.7509 2272 2273 14 14
1709309385.7588 2285 2289 13 16
1709309385.7673 2304 2307 19 18
1709309385.7753 2324 2321 20 14
1709309385.7832 2339 2334 15 13
1709309385.7912 2353 2348 14 14
1709309385.7987 2366 2364 13 16
1709309385.8066 2383 2380 17 16
1709309385.8152 2399 2396 16 16
1709309385.8231 2412 2409 13 13
1709309385.8309 2429 2424 17 15
1709309385.8387 2444 2440 15 16
1709309385.8472 2460 2456 16 16
1709309385.8552 2478 2470 18 14
1709309385.8629 2494 2483 16 13
1709309385.8712 2510 2501 16 18
1709309385.8792 2524 2517 14 16
1709309385.8867 2538 2531 14 14
1709309385.8964 2555 2545 17 14
1709309385.9032 2572 2563 17 18
1709309385.9108 2589 2581 17 18
1709309385.9197 2606 2594 17 13
1709309385.9274 2620 2611 14 17
1709309385.9351 2636 2626 16 15
1709309385.9427 2653 2639 17 13
1709309385.9511 2668 2655 15 16
1709309385.9587 2680 2674 12 19
1709309385.9676 2696 2690 16 16
1709309385.9753 2715 2706 19 16
1709309385.9830 2733 2722 18 16
1709309385.9916 2747 2739 14 17
1709309385.9989 2759 2751 12 12
1709309386.0076 2774 2766 15 15
1709309386.0146 2793 2784 19 18
1709309386.0235 2812 2804 19 20
1709309386.0310 2829 2818 17 14
1709309386.0386 2842 2833 13 15
1709309386.0482 2855 2851 13 18
1709309386.0550 2871 2867 16 16
1709309386.0633 2887 2882 16 15
1709309386.0718 2901 2895 14 13
1709309386.0787 2915 2910 14 15
1709309386.0872 2930 2925 15 15
1709309386.0966 2945 2942 15 17
1709309386.1033 2963 2960 18 18
1709309386.1116 2980 2975 17 15
1709309386.1187 2994 2986 14 11
1709309386.1274 3009 3002 15 16
1709309386.1355 3025 3021 16 19
1709309386.1430 3043 3035 18 14
1709309386.1516 3057 3049 14 14
1709309386.1592 3072 3066 15 17
1709309386.1673 3087 3084 15 18
1709309386.1748 3105 3099 18 15
1709309386.1829 3120 3112 15 13
1709309386.1909 3133 3125 13 13
1709309386.1992 3150 3140 17 15
1709309386.2073 3167 3155 17 15
1709309386.2154 3184 3171 17 16
1709309386.2230 3198 3185 14 14
1709309386.2311 3215 3199 17 14
1709309386.2392 3231 3214 16 15
1709309386.2477 3249 3230 18 16
1709309386.2548 3265 3246 16 16
1709309386.2632 3280 3262 15 16
1709309386.2716 3295 3276 15 14
1709309386.2788 3312 3293 17 17
1709309386.2869 3327 3311 15 18
1709309386.2964 3344 3327 17 16
1709309386.3028 3358 3340 14 13
1709309386.3113 3376 3355 18 15
1709309386.3192 3391 3370 15 15
1709309386.3273 3406 3383 15 13
1709309386.3354 3423 3400 17 17
1709309386.3437 3440 3416 17 16
1709309386.3518 3454 3432 14 16
1709309386.3588 3470 3447 16 15
1709309386.3674 3486 3461 16 14
1709309386.3748 3501 3475 15 14
1709309386.3830 3517 3489 16 14
1709309386.3913 3534 3507 17 18
1709309386.3989 3550 3523 16 16
1709309386.4071 3565 3540 15 17
1709309386.4156 3581 3553 16 13
1709309386.4228 3598 3568 17 15
1709309386.4310 3614 3586 16 18
1709309386.4393 3629 3601 15 15
1709309386.4474 3646 3614 17 13
1709309386.4553 3662 3630 16 16
1709309386.4635 3677 3648 15 18
1709309386.4709 3692 3663 15 15
1709309386.4787 3709 3677 17 14
1709309386.4872 3726 3693 17 16
1709309386.4962 3742 3709 16 16
1709309386.5030 3760 3727 18 18
1709309386.5112 3779 3744 19 17
1709309386.5190 3794 3757 15 13
1709309386.5268 3807 3771 13 14
1709309386.5353 3825 3787 18 16
1709309386.5427 3842 3805 17 18
1709309386.5513 3858 3820 16 15
1709309386.5596 3872 3835 14 15
1709309386.5673 3888 3850 16 15
1709309386.5751 3904 3867 16 17
1709309386.5835 3921 3884 17 17
1709309386.5912 3937 3898 16 14
1709309386.5992 3952 3913 15 15
1709309386.6075 3968 3930 16 17
1709309386.6147 3984 3946 16 16
1709309386.6232 3998 3961 14 15
1709309386.6316 4014 3975 16 14
1709309386.6390 4030 3988 16 13
1709309386.6476 4046 4008 16 20
1709309386.6552 4061 4028 15 20
1709309386.6630 4077 4041 16 13
1709309386.6707 4093 4055 16 14
1709309386.6795 4108 4070 15 15
1709309386.6873 4120 4085 12 15
1709309386.6957 4136 4103 16 18
1709309386.7033 4153 4118 17 15
1709309386.7109 4169 4134 16 16
1709309386.7187 4184 4150 15 16
1709309386.7274 4199 4163 15 13
1709309386.7352 4214 4175 15 12
1709309386.7430 4233 4192 19 17
1709309386.7513 4246 4210 13 18
1709309386.7589 4261 4228 15 18
1709309386.7676 4278 4240 17 12
1709309386.7752 4296 4257 18 17
1709309386.7828 4311 4269 15 12
1709309386.7916 4324 4281 13 12
1709309386.7987 4339 4299 15 18
1709309386.8068 4356 4319 17 20
1709309386.8156 4372 4334 16 15
1709309386.8232 4387 4348 15 14
1709309386.8309 4401 4362 14 14
1709309386.8387 4416 4384 15 22
1709309386.8469 4431 4408 15 24
1709309386.8547 4445 4423 14 15
1709309386.8635 4461 4436 16 13
1709309386.8711 4479 4449 18 13
1709309386.8788 4493 4467 14 18
1709309386.8866 4508 4491 15 24
1709309386.8957 4522 4506 14 15
1709309386.9035 4538 4520 16 14
1709309386.9113 4553 4536 15 16
1709309386.9189 4569 4555 16 19
1709309386.9267 4583 4573 14 18
1709309386.9356 4597 4590 14 17
1709309386.9430 4612 4605 15 15
1709309386.9514 4626 4621 14 16
1709309386.9590 4641 4637 15 16
1709309386.9666 4656 4656 15 19
1709309386.9746 4672 4674 16 18
1709309386.9835 4685 4688 13 14
1709309386.9911 4697 4705 12 17
1709309386.9987 4713 4721 16 16
1709309387.0077 4728 4738 15 17
1709309387.0154 4739 4758 11 20
1709309387.0231 4754 4773 15 15
1709309387.0308 4770 4788 16 15
1709309387.0395 4785 4804 15 16
1709309387.0469 4797 4823 12 19
1709309387.0547 4813 4842 16 19
1709309387.0634 4830 4856 17 14
1709309387.0711 4841 4872 11 16
1709309387.0788 4854 4892 13 20
1709309387.0875 4869 4909 15 17
1709309387.0960 4881 4925 12 16
1709309387.1027 4895 4943 14 18
1709309387.1114 4911 4963 16 20
1709309387.1193 4925 4978 14 15
1709309387.1271 4940 4993 15 15
1709309387.1348 4956 5011 16 18
1709309387.1426 4969 5028 13 17
1709309387.1510 4982 5044 13 16
1709309387.1586 4998 5061 16 17
1709309387.1673 5014 5081 16 20
1709309387.1751 5029 5096 15 15
1709309387.1828 5040 5112 11 16
1709309387.1916 5055 5126 15 14
1709309387.1990 5071 5146 16 20
1709309387.2076 5086 5160 15 14
1709309387.2153 5100 5172 14 12
1709309387.2231 5114 5187 14 15
1709309387.2307 5127 5207 13 20
1709309387.2395 5144 5225 17 18
1709309387.2469 5161 5241 17 16
1709309387.2555 5177 5256 16 15
1709309387.2633 5191 5274 14 18
1709309387.2710 5204 5293 13 19
1709309387.2786 5218 5308 14 15
1709309387.2875 5233 5325 15 17
1709309387.2958 5252 5341 19 16
1709309387.3032 5272 5357 20 16
1709309387.3114 5289 5375 17 18
1709309387.3192 5302 5389 13 14
1709309387.3268 5313 5405 11 16
1709309387.3355 5330 5424 17 19
1709309387.3433 5348 5439 18 15
1709309387.3516 5365 5451 17 12
1709309387.3593 5381 5467 16 16
1709309387.3669 5396 5485 15 18
1709309387.3755 5411 5498 15 13
1709309387.3833 5428 5512 17 14
1709309387.3908 5446 5527 18 15
1709309387.3990 5461 5544 15 17
1709309387.4066 5475 5559 14 15
1709309387.4154 5491 5573 16 14
1709309387.4230 5509 5586 18 13
1709309387.4317 5526 5603 17 17
1709309387.4391 5541 5620 15 17
1709309387.4474 5557 5633 16 13
1709309387.4552 5577 5646 20 13
1709309387.4629 5594 5661 17 15
1709309387.4707 5609 5680 15 19
1709309387.4793 5625 5694 16 14
1709309387.4872 5643 5706 18 12
1709309387.4955 5661 5721 18 15
1709309387.5033 5677 5737 16 16
1709309387.5111 5695 5753 18 16
1709309387.5187 5712 5765 17 12
1709309387.5276 5731 5780 19 15
1709309387.5355 5745 5797 14 17
1709309387.5431 5760 5813 15 16
1709309387.5516 5779 5824 19 11
1709309387.5594 5798 5838 19 14
1709309387.5669 5816 5854 18 16
1709309387.5747 5830 5868 14 14
1709309387.5836 5843 5883 13 15
1709309387.5912 5861 5897 18 14
1709309387.5987 5879 5913 18 16
1709309387.6076 5896 5927 17 14
1709309387.6150 5912 5941 16 14
1709309387.6228 5928 5956 16 15
1709309387.6316 5945 5971 17 15
1709309387.6393 5961 5984 16 13
1709309387.6467 5976 5997 15 13
1709309387.6556 5993 6015 17 18
1709309387.6629 6011 6029 18 14
1709309387.6707 6025 6044 14 15
1709309387.6795 6042 6055 17 11
1709309387.6872 6058 6066 16 11
1709309387.6956 6076 6082 18 16
1709309387.7032 6093 6101 17 19
1709309387.7108 6109 6116 16 15
1709309387.7186 6126 6131 17 15
1709309387.7275 6143 6144 17 13
1709309387.7352 6160 6160 17 16
1709309387.7430 6178 6172 18 12
1709309387.7515 6196 6184 18 12
1709309387.7592 6211 6201 15 17
1709309387.7670 6224 6221 13 20
1709309387.7748 6239 6240 15 19
1709309387.7836 6258 6252 19 12
1709309387.7915 6277 6263 19 11
1709309387.7989 6294 6284 17 21
1709309387.8068 6311 6302 17 18
1709309387.8151 6325 6317 14 15
1709309387.8230 6337 6330 12 13
1709309387.8307 6352 6348 15 18
1709309387.8395 6372 6363 20 15
1709309387.8469 6388 6379 16 16
1709309387.8555 6403 6394 15 15
1709309387.8632 6420 6411 17 17
1709309387.8708 6435 6425 15 14
1709309387.8794 6451 6439 16 14
1709309387.8868 6466 6455 15 16
1709309387.8952 6480 6476 14 21
1709309387.9028 6495 6490 15 14
1709309387.9115 6510 6504 15 14
1709309387.9193 6521 6521 11 17
1709309387.9267 6534 6539 13 18
1709309387.9355 6548 6555 14 16
