% Edge sensor logfile normalized 'log_20240301_170943.427/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709309384.4518 0 0 0 0 0 0 0 0  0.0000
1709309384.4599 0 0 742 1000 616 62 0 0  0.0315
1709309384.4665 0 0 753 1000 619 64 0 0  0.0318
1709309384.4753 0 0 760 1000 623 55 0 0  0.0321
1709309384.4830 0 0 767 1000 616 54 0 0  0.0320
1709309384.4908 0 0 757 1000 628 60 0 0  0.0323
1709309384.4993 0 0 762 1000 618 65 0 0  0.0320
1709309384.5072 0 0 776 1000 621 62 0 0  0.0324
1709309384.5148 0 0 746 1000 603 57 0 0  0.0312
1709309384.5230 0 0 762 1000 609 47 0 0  0.0317
1709309384.5307 0 0 769 1000 633 73 0 0  0.0327
1709309384.5392 0 0 764 1000 613 50 0 0  0.0319
1709309384.5468 0 0 746 1000 609 50 0 0  0.0314
1709309384.5545 0 0 771 1000 633 62 0 0  0.0327
1709309384.5634 0 0 767 1000 611 49 0 0  0.0319
1709309384.5711 0 0 748 1000 606 60 0 0  0.0313
1709309384.5787 0 0 744 1000 606 31 0 0  0.0312
1709309384.5874 0 0 755 1000 618 57 0 0  0.0319
1709309384.5959 0 0 723 1000 598 45 0 0  0.0305
1709309384.6033 0 0 714 1000 578 52 0 0  0.0297
1709309384.6113 0 0 712 1000 571 55 0 0  0.0294
1709309384.6192 0 0 678 1000 560 68 0 0  0.0277
1709309384.6268 0 0 668 965 555 45 0 0  0.0264
1709309384.6346 0 0 673 967 566 60 0 0  0.0270
1709309384.6434 0 0 632 912 535 68 0 0  0.0226
1709309384.6507 0 18 616 864 517 50 0 0  0.0194
1709309384.6587 0 0 618 870 519 75 0 0  0.0199
1709309384.6676 0 0 593 853 499 50 0 0  0.0175
1709309384.6752 0 0 575 868 480 32 0 0  0.0173
1709309384.6830 0 22 605 844 489 45 0 0  0.0173
1709309384.6912 0 0 589 828 469 55 0 0  0.0153
1709309384.6994 0 45 586 824 467 50 0 0  0.0149
1709309384.7072 0 27 616 833 459 14 0 0  0.0166
1709309384.7148 0 63 630 829 442 31 0 0  0.0168
1709309384.7235 0 50 655 840 438 0 0 0  0.0189
1709309384.7311 0 86 691 861 447 0 0 0  0.0229
1709309384.7388 0 122 726 892 447 13 0 0  0.0253
1709309384.7473 0 118 757 937 474 0 0 0  0.0274
1709309384.7550 0 200 817 979 479 0 0 0  0.0300
1709309384.7628 0 190 847 1000 476 0 0 0  0.0308
1709309384.7714 0 190 867 1000 466 0 0 0  0.0310
1709309384.7790 0 259 910 1000 479 0 0 0  0.0325
1709309384.7871 0 281 956 1000 480 0 0 0  0.0335
1709309384.7958 0 286 938 1000 459 0 0 0  0.0329
1709309384.8028 0 336 963 1000 461 0 0 0  0.0339
1709309384.8111 0 436 1000 1000 471 0 0 0  0.0360
1709309384.8192 0 427 1000 1000 441 0 0 0  0.0353
1709309384.8276 0 436 1000 1000 446 0 0 0  0.0355
1709309384.8356 0 463 1000 1000 451 0 0 0  0.0361
1709309384.8434 0 495 1000 1000 439 0 0 0  0.0365
1709309384.8510 0 531 1000 1000 438 0 0 0  0.0373
1709309384.8588 0 513 1000 1000 431 0 0 0  0.0367
1709309384.8674 0 509 1000 1000 418 0 0 0  0.0365
1709309384.8751 0 581 1000 1000 409 0 0 0  0.0381
1709309384.8827 0 545 1000 1000 409 0 0 0  0.0371
1709309384.8913 0 472 1000 978 390 0 0 0  0.0350
1709309384.8996 0 490 1000 992 390 0 0 0  0.0355
1709309384.9073 0 563 1000 1000 411 0 0 0  0.0376
1709309384.9146 0 540 1000 1000 413 0 0 0  0.0371
1709309384.9233 0 509 1000 1000 409 0 0 0  0.0363
1709309384.9309 0 490 1000 1000 416 0 0 0  0.0360
1709309384.9392 0 490 1000 1000 413 0 0 0  0.0360
1709309384.9476 0 504 1000 987 403 0 0 0  0.0359
1709309384.9553 0 527 1000 992 400 0 0 0  0.0365
1709309384.9628 0 522 1000 972 383 0 0 0  0.0358
1709309384.9708 0 518 1000 963 395 0 0 0  0.0358
1709309384.9796 0 495 1000 992 400 0 0 0  0.0358
1709309384.9872 0 500 1000 1000 408 0 0 0  0.0361
1709309384.9957 0 486 1000 1000 413 0 0 0  0.0359
1709309385.0033 0 500 1000 1000 406 0 0 0  0.0361
1709309385.0109 0 527 1000 1000 424 0 0 0  0.0369
1709309385.0197 0 490 1000 1000 409 0 0 0  0.0359
1709309385.0273 0 504 1000 1000 408 0 0 0  0.0362
1709309385.0348 0 540 1000 1000 431 0 0 0  0.0374
1709309385.0435 0 500 1000 1000 421 0 0 0  0.0363
1709309385.0506 0 531 1000 1000 423 0 0 0  0.0370
1709309385.0593 0 581 1000 1000 438 0 0 0  0.0386
1709309385.0670 0 504 1000 1000 424 0 0 0  0.0364
1709309385.0747 0 536 1000 1000 418 0 0 0  0.0371
1709309385.0833 0 468 1000 1000 424 0 0 0  0.0357
1709309385.0908 0 436 1000 1000 404 0 0 0  0.0349
1709309385.0993 0 463 1000 989 413 0 0 0  0.0353
1709309385.1068 0 459 1000 1000 404 0 0 0  0.0353
1709309385.1156 0 436 1000 976 395 0 0 0  0.0344
1709309385.1235 0 495 1000 1000 409 0 0 0  0.0360
1709309385.1312 0 509 1000 1000 418 0 0 0  0.0365
1709309385.1388 0 490 1000 1000 416 0 0 0  0.0360
1709309385.1474 0 513 1000 1000 418 0 0 0  0.0365
1709309385.1550 0 440 1000 1000 416 0 0 0  0.0351
1709309385.1631 0 477 1000 981 413 0 0 0  0.0355
1709309385.1709 0 459 1000 976 391 0 0 0  0.0347
1709309385.1795 0 472 1000 992 404 0 0 0  0.0354
1709309385.1870 0 468 1000 1000 423 0 0 0  0.0357
1709309385.1953 0 472 1000 994 408 0 0 0  0.0355
1709309385.2028 0 518 1000 1000 408 0 0 0  0.0365
1709309385.2116 0 540 1000 1000 419 0 0 0  0.0372
1709309385.2193 0 531 1000 1000 419 0 0 0  0.0370
1709309385.2268 0 545 1000 1000 423 0 0 0  0.0374
1709309385.2355 0 609 1000 1000 421 0 0 0  0.0392
1709309385.2433 0 590 1000 1000 413 0 0 0  0.0384
1709309385.2516 0 595 1000 1000 429 0 0 0  0.0388
1709309385.2597 0 531 1000 1000 423 0 0 0  0.0370
1709309385.2674 0 568 1000 1000 413 0 0 0  0.0378
1709309385.2748 0 577 1000 1000 409 0 0 0  0.0380
1709309385.2836 0 563 1000 1000 419 0 0 0  0.0378
1709309385.2914 0 554 1000 1000 393 0 0 0  0.0371
1709309385.2996 0 581 1000 1000 391 0 0 0  0.0379
1709309385.3074 0 590 1000 1000 396 0 0 0  0.0382
1709309385.3159 0 604 1000 1000 385 0 0 0  0.0385
1709309385.3234 0 581 1000 1000 393 0 0 0  0.0379
1709309385.3311 0 609 1000 1000 406 0 0 0  0.0390
1709309385.3388 0 572 1000 1000 406 0 0 0  0.0378
1709309385.3470 0 627 1000 1000 406 0 0 0  0.0396
1709309385.3548 0 572 1000 1000 398 0 0 0  0.0377
1709309385.3633 0 568 1000 1000 388 0 0 0  0.0375
1709309385.3708 0 559 1000 987 390 0 0 0  0.0370
1709309385.3797 0 595 1000 992 391 0 0 0  0.0382
1709309385.3867 0 609 1000 1000 403 0 0 0  0.0389
1709309385.3954 0 559 1000 996 395 0 0 0  0.0372
1709309385.4031 0 604 1000 1000 396 0 0 0  0.0386
1709309385.4108 0 631 1000 1000 403 0 0 0  0.0397
1709309385.4195 0 568 1000 996 386 0 0 0  0.0374
1709309385.4272 0 581 1000 1000 383 0 0 0  0.0378
1709309385.4349 0 622 1000 1000 391 0 0 0  0.0392
1709309385.4432 0 590 1000 992 388 0 0 0  0.0380
1709309385.4515 0 581 1000 979 375 0 0 0  0.0373
1709309385.4593 0 631 1000 996 386 0 0 0  0.0394
1709309385.4668 0 650 1000 983 373 0 0 0  0.0398
1709309385.4756 0 663 1000 1000 385 0 0 0  0.0408
1709309385.4837 0 659 1000 1000 398 0 0 0  0.0408
1709309385.4916 0 581 1000 1000 400 0 0 0  0.0380
1709309385.4989 0 636 1000 1000 403 0 0 0  0.0399
1709309385.5067 0 627 1000 1000 416 0 0 0  0.0397
1709309385.5153 0 590 1000 1000 403 0 0 0  0.0383
1709309385.5231 0 618 1000 1000 414 0 0 0  0.0394
1709309385.5308 0 577 1000 1000 418 0 0 0  0.0381
1709309385.5395 0 586 1000 1000 404 0 0 0  0.0382
1709309385.5476 0 559 1000 1000 401 0 0 0  0.0374
1709309385.5554 0 540 1000 1000 398 0 0 0  0.0369
1709309385.5630 0 554 1000 956 383 0 0 0  0.0363
1709309385.5710 0 536 1000 943 366 0 0 0  0.0354
1709309385.5788 0 540 1000 972 378 0 0 0  0.0362
1709309385.5873 0 540 1000 981 393 0 0 0  0.0365
1709309385.5957 0 536 1000 948 386 0 0 0  0.0358
1709309385.6034 0 563 1000 967 376 0 0 0  0.0367
1709309385.6110 0 563 1000 970 380 0 0 0  0.0368
1709309385.6190 0 522 1000 972 378 0 0 0  0.0358
1709309385.6268 0 545 1000 976 390 0 0 0  0.0365
1709309385.6353 0 550 1000 979 378 0 0 0  0.0365
1709309385.6432 0 563 1000 957 380 0 0 0  0.0365
1709309385.6508 0 540 1000 978 380 0 0 0  0.0363
1709309385.6595 0 563 1000 1000 396 0 0 0  0.0374
1709309385.6673 0 545 1000 1000 404 0 0 0  0.0371
1709309385.6760 0 600 1000 1000 406 0 0 0  0.0387
1709309385.6837 0 609 1000 1000 419 0 0 0  0.0391
1709309385.6916 0 568 1000 1000 418 0 0 0  0.0379
1709309385.6991 0 536 1000 1000 400 0 0 0  0.0368
1709309385.7068 0 563 1000 1000 400 0 0 0  0.0375
1709309385.7157 0 559 1000 998 400 0 0 0  0.0373
1709309385.7228 0 563 1000 1000 403 0 0 0  0.0375
1709309385.7316 0 540 1000 1000 421 0 0 0  0.0372
1709309385.7395 0 490 1000 1000 403 0 0 0  0.0358
1709309385.7470 0 581 1000 1000 413 0 0 0  0.0382
1709309385.7547 0 586 1000 1000 423 0 0 0  0.0385
1709309385.7637 0 522 1000 1000 411 0 0 0  0.0366
1709309385.7713 0 486 1000 1000 408 0 0 0  0.0358
1709309385.7791 0 572 1000 1000 409 0 0 0  0.0379
1709309385.7870 0 604 1000 1000 426 0 0 0  0.0391
1709309385.7960 0 550 1000 1000 424 0 0 0  0.0375
1709309385.8037 0 586 1000 1000 421 0 0 0  0.0384
1709309385.8114 0 609 1000 1000 438 0 0 0  0.0394
1709309385.8193 0 595 1000 1000 429 0 0 0  0.0388
1709309385.8269 0 577 1000 1000 419 0 0 0  0.0382
1709309385.8348 0 618 1000 1000 429 0 0 0  0.0396
1709309385.8437 0 604 1000 1000 411 0 0 0  0.0389
1709309385.8509 0 600 1000 1000 403 0 0 0  0.0386
1709309385.8590 0 595 1000 1000 403 0 0 0  0.0385
1709309385.8673 0 563 1000 1000 395 0 0 0  0.0374
1709309385.8750 0 604 1000 1000 401 0 0 0  0.0387
1709309385.8830 0 631 1000 1000 401 0 0 0  0.0397
1709309385.8908 0 609 1000 983 386 0 0 0  0.0384
1709309385.8991 0 600 1000 998 383 0 0 0  0.0383
1709309385.9070 0 622 1000 1000 398 0 0 0  0.0393
1709309385.9148 0 622 1000 1000 398 0 0 0  0.0393
1709309385.9235 0 586 1000 1000 411 0 0 0  0.0383
1709309385.9312 0 595 1000 1000 418 0 0 0  0.0387
1709309385.9389 0 554 1000 1000 423 0 0 0  0.0376
1709309385.9471 0 527 1000 1000 421 0 0 0  0.0369
1709309385.9549 0 581 1000 1000 441 0 0 0  0.0386
1709309385.9627 0 563 1000 1000 442 0 0 0  0.0381
1709309385.9714 0 500 1000 1000 442 0 0 0  0.0366
1709309385.9791 0 531 1000 1000 447 0 0 0  0.0374
1709309385.9869 0 545 1000 1000 446 0 0 0  0.0377
1709309385.9961 0 440 1000 1000 446 0 0 0  0.0356
1709309386.0027 0 440 1000 1000 457 0 0 0  0.0358
1709309386.0115 0 381 1000 1000 457 0 0 0  0.0349
1709309386.0195 0 354 968 1000 428 0 0 0  0.0336
1709309386.0272 0 377 974 1000 429 0 0 0  0.0340
1709309386.0364 0 386 963 1000 438 0 0 0  0.0341
1709309386.0430 0 322 926 1000 442 0 0 0  0.0328
1709309386.0516 0 340 917 1000 441 0 0 0  0.0328
