% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309300.4567 0 0 0 0
1709309300.4646 0 0 0 0
1709309300.4715 0 0 0 0
1709309300.4794 0 0 0 0
1709309300.4882 0 0 0 0
1709309300.4954 0 0 0 0
1709309300.5041 0 0 0 0
1709309300.5130 0 0 0 0
1709309300.5199 0 0 0 0
1709309300.5276 0 0 0 0
1709309300.5371 0 0 0 0
1709309300.5447 0 0 0 0
1709309300.5525 0 0 0 0
1709309300.5609 0 0 0 0
1709309300.5680 0 0 0 0
1709309300.5765 1 0 1 0
1709309300.5846 8 5 7 5
1709309300.5917 16 13 8 8
1709309300.6003 23 23 7 10
1709309300.6084 29 28 6 5
1709309300.6162 37 35 8 7
1709309300.6238 49 48 12 13
1709309300.6321 61 64 12 16
1709309300.6405 73 80 12 16
1709309300.6483 87 96 14 16
1709309300.6565 103 112 16 16
1709309300.6644 120 130 17 18
1709309300.6722 138 149 18 19
1709309300.6805 159 169 21 20
1709309300.6876 181 190 22 21
1709309300.6963 203 215 22 25
1709309300.7045 227 242 24 27
1709309300.7124 250 268 23 26
1709309300.7203 275 293 25 25
1709309300.7285 299 315 24 22
1709309300.7357 323 339 24 24
1709309300.7445 346 359 23 20
1709309300.7517 367 381 21 22
1709309300.7599 391 409 24 28
1709309300.7684 413 432 22 23
1709309300.7767 434 454 21 22
1709309300.7838 459 478 25 24
1709309300.7925 483 503 24 25
1709309300.7997 504 527 21 24
1709309300.8079 527 552 23 25
1709309300.8163 550 574 23 22
1709309300.8244 570 597 20 23
1709309300.8324 593 619 23 22
1709309300.8401 616 646 23 27
1709309300.8482 640 671 24 25
1709309300.8565 661 694 21 23
1709309300.8637 679 721 18 27
1709309300.8720 701 747 22 26
1709309300.8801 723 769 22 22
1709309300.8879 742 793 19 24
1709309300.8961 761 822 19 29
1709309300.9043 783 844 22 22
1709309300.9127 807 869 24 25
1709309300.9206 828 899 21 30
1709309300.9277 849 931 21 32
1709309300.9365 865 959 16 28
1709309300.9447 884 984 19 25
1709309300.9518 905 1008 21 24
1709309300.9607 929 1034 24 26
1709309300.9683 947 1062 18 28
1709309300.9765 963 1090 16 28
1709309300.9844 988 1118 25 28
1709309300.9922 1013 1143 25 25
1709309301.0004 1035 1163 22 20
1709309301.0076 1053 1190 18 27
1709309301.0163 1070 1217 17 27
1709309301.0245 1090 1241 20 24
1709309301.0322 1112 1268 22 27
1709309301.0403 1134 1297 22 29
1709309301.0485 1153 1320 19 23
1709309301.0561 1175 1345 22 25
1709309301.0639 1197 1372 22 27
1709309301.0721 1218 1393 21 21
1709309301.0805 1241 1418 23 25
1709309301.0877 1264 1443 23 25
1709309301.0959 1285 1470 21 27
1709309301.1045 1304 1490 19 20
1709309301.1122 1326 1512 22 22
1709309301.1204 1346 1535 20 23
1709309301.1281 1367 1560 21 25
1709309301.1364 1388 1586 21 26
1709309301.1437 1407 1608 19 22
1709309301.1522 1426 1633 19 25
1709309301.1606 1449 1662 23 29
1709309301.1684 1474 1685 25 23
1709309301.1763 1496 1709 22 24
1709309301.1837 1516 1731 20 22
1709309301.1920 1536 1748 20 17
1709309301.1997 1555 1768 19 20
1709309301.2079 1578 1792 23 24
1709309301.2156 1603 1816 25 24
1709309301.2243 1628 1839 25 23
1709309301.2325 1650 1861 22 22
1709309301.2404 1674 1886 24 25
1709309301.2480 1695 1910 21 24
1709309301.2561 1717 1930 22 20
1709309301.2639 1740 1947 23 17
1709309301.2727 1762 1968 22 21
1709309301.2809 1785 1991 23 23
1709309301.2881 1810 2018 25 27
1709309301.2963 1835 2038 25 20
1709309301.3043 1857 2054 22 16
1709309301.3125 1879 2074 22 20
1709309301.3202 1901 2099 22 25
1709309301.3282 1924 2121 23 22
1709309301.3365 1953 2144 29 23
1709309301.3441 1974 2167 21 23
1709309301.3523 1998 2184 24 17
1709309301.3605 2023 2202 25 18
1709309301.3679 2048 2223 25 21
1709309301.3759 2072 2245 24 22
1709309301.3842 2095 2263 23 18
1709309301.3921 2121 2282 26 19
1709309301.4004 2146 2307 25 25
1709309301.4080 2171 2331 25 24
1709309301.4163 2195 2348 24 17
1709309301.4245 2219 2363 24 15
1709309301.4318 2243 2384 24 21
1709309301.4398 2267 2408 24 24
1709309301.4481 2294 2425 27 17
1709309301.4564 2322 2440 28 15
1709309301.4638 2348 2457 26 17
1709309301.4721 2372 2477 24 20
1709309301.4804 2399 2498 27 21
1709309301.4878 2425 2518 26 20
1709309301.4962 2452 2533 27 15
1709309301.5046 2478 2551 26 18
1709309301.5119 2499 2577 21 26
1709309301.5201 2526 2597 27 20
1709309301.5284 2549 2610 23 13
1709309301.5363 2575 2630 26 20
1709309301.5444 2600 2649 25 19
1709309301.5526 2630 2669 30 20
1709309301.5604 2656 2690 26 21
1709309301.5682 2680 2716 24 26
1709309301.5763 2708 2734 28 18
1709309301.5841 2733 2750 25 16
1709309301.5923 2757 2769 24 19
