% Edge sensor logfile normalized 'log_20240301_170819.927/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709309300.4610 0 0 0 0 0 0 0 0  0.0000
1709309300.4694 0 372 990 1000 471 0 0 0  0.0349
1709309300.4760 0 395 1000 1000 479 0 0 0  0.0355
1709309300.4841 0 450 1000 1000 500 0 0 0  0.0368
1709309300.4916 0 400 1000 1000 485 0 0 0  0.0357
1709309300.4996 0 390 1000 1000 484 0 0 0  0.0355
1709309300.5077 0 377 1000 1000 494 0 0 0  0.0356
1709309300.5161 0 372 1000 1000 484 0 0 0  0.0353
1709309300.5242 0 400 1000 1000 492 0 0 0  0.0358
1709309300.5324 0 395 1000 1000 497 0 0 0  0.0359
1709309300.5408 0 368 1000 1000 487 0 0 0  0.0353
1709309300.5480 0 400 1000 1000 484 0 0 0  0.0357
1709309300.5563 0 427 1000 1000 504 0 0 0  0.0365
1709309300.5641 0 418 1000 1000 497 0 0 0  0.0362
1709309300.5725 0 381 1000 1000 480 0 0 0  0.0353
1709309300.5803 0 377 1000 1000 497 0 0 0  0.0356
1709309300.5879 0 418 1000 1000 479 0 0 0  0.0359
1709309300.5960 0 431 997 1000 464 0 0 0  0.0357
1709309300.6043 0 390 1000 1000 472 0 0 0  0.0353
1709309300.6124 0 400 968 1000 447 0 0 0  0.0345
1709309300.6204 0 372 917 952 429 0 0 0  0.0322
1709309300.6287 0 340 890 957 418 0 0 0  0.0312
1709309300.6365 0 390 890 901 408 0 0 0  0.0306
1709309300.6438 0 390 863 831 365 0 0 0  0.0279
1709309300.6521 0 368 847 802 337 0 0 0  0.0262
1709309300.6599 0 381 817 756 302 0 0 0  0.0239
1709309300.6678 0 450 799 703 267 0 0 0  0.0221
1709309300.6760 0 477 780 632 246 0 0 0  0.0138
1709309300.6838 0 472 753 603 213 0 0 0  0.0093
1709309300.6921 0 486 668 510 185 0 0 0  0.0000
1709309300.7001 0 454 630 477 153 0 0 0  0.0000
1709309300.7080 0 468 611 453 138 0 0 0  0.0000
1709309300.7158 0 427 554 387 110 0 0 0  0.0000
1709309300.7241 0 409 509 363 87 0 0 0  0.0000
1709309300.7319 0 500 520 363 90 0 0 0  0.0000
1709309300.7411 0 468 488 318 61 0 0 0  0.0000
1709309300.7483 0 418 440 292 44 0 0 0  0.0000
1709309300.7562 0 459 454 294 47 0 0 0  0.0000
1709309300.7640 0 445 433 283 24 0 0 0  0.0000
1709309300.7722 54 513 422 263 23 0 0 0  0.0000
1709309300.7800 119 518 424 259 13 0 0 0  0.0000
1709309300.7880 65 481 404 250 0 0 0 0  0.0000
1709309300.7963 97 545 424 235 0 0 0 0  0.0000
1709309300.8041 250 622 465 268 8 0 0 0  0.0000
1709309300.8118 250 654 463 255 0 0 0 0  0.0000
1709309300.8201 250 740 488 261 0 0 0 0  0.0041
1709309300.8277 271 754 511 265 0 0 0 0  0.0057
1709309300.8357 423 840 575 292 0 0 0 0  0.0148
1709309300.8439 423 931 602 299 0 0 0 0  0.0198
1709309300.8526 467 977 639 270 0 0 0 0  0.0234
1709309300.8597 608 1000 726 305 0 0 0 0  0.0313
1709309300.8686 663 1000 748 272 0 0 0 0  0.0341
1709309300.8763 869 1000 831 297 0 0 0 0  0.0385
1709309300.8845 891 1000 945 310 0 0 0 0  0.0409
1709309300.8918 1000 1000 1000 336 0 0 0 0  0.0420
1709309300.9005 1000 1000 1000 310 0 0 0 0  0.0417
1709309300.9087 1000 1000 1000 338 0 0 0 0  0.0421
1709309300.9164 1000 1000 1000 318 0 0 0 0  0.0418
1709309300.9239 1000 1000 1000 330 0 0 0 0  0.0420
1709309300.9321 1000 1000 1000 316 0 0 0 0  0.0418
1709309300.9403 1000 1000 1000 288 0 0 0 0  0.0415
1709309300.9480 1000 1000 1000 276 0 0 0 0  0.0414
1709309300.9562 1000 1000 968 270 0 0 0 0  0.0409
1709309300.9641 1000 1000 917 250 0 0 0 0  0.0399
1709309300.9717 1000 1000 906 221 0 0 0 0  0.0394
1709309300.9799 1000 1000 961 250 0 0 0 0  0.0406
1709309300.9878 1000 1000 995 259 0 0 0 0  0.0412
1709309300.9966 1000 1000 1000 254 0 0 0 0  0.0412
1709309301.0043 1000 1000 1000 248 0 0 0 0  0.0411
1709309301.0119 1000 1000 1000 263 0 0 0 0  0.0413
1709309301.0196 1000 1000 1000 250 0 0 0 0  0.0411
1709309301.0278 1000 1000 1000 252 0 0 0 0  0.0412
1709309301.0360 1000 1000 1000 257 0 0 0 0  0.0412
1709309301.0437 1000 1000 1000 265 0 0 0 0  0.0413
1709309301.0518 1000 1000 1000 270 0 0 0 0  0.0413
1709309301.0599 1000 1000 1000 296 0 0 0 0  0.0416
1709309301.0683 1000 1000 1000 305 0 0 0 0  0.0417
1709309301.0765 1000 1000 1000 323 0 0 0 0  0.0419
1709309301.0843 1000 1000 1000 329 0 0 0 0  0.0420
1709309301.0921 1000 1000 1000 327 0 0 0 0  0.0419
1709309301.1011 1000 1000 1000 325 0 0 0 0  0.0419
1709309301.1082 1000 1000 1000 371 0 0 0 0  0.0425
1709309301.1166 1000 1000 1000 383 0 0 0 0  0.0426
