% Edge sensor logfile normalized 'log_20240301_165543.793/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308544.4472 0 0 0 0 0 0 0 0  0.0000
1709308544.4552 1000 1000 1000 255 0 0 0 0  0.0412
1709308544.4631 1000 1000 1000 254 0 0 0 0  0.0412
1709308544.4705 1000 1000 1000 265 0 0 0 0  0.0413
1709308544.4780 1000 1000 1000 270 0 0 0 0  0.0413
1709308544.4867 1000 1000 1000 265 0 0 0 0  0.0413
1709308544.4941 1000 1000 1000 257 0 0 0 0  0.0412
1709308544.5020 1000 1000 1000 261 0 0 0 0  0.0412
1709308544.5107 1000 1000 1000 261 0 0 0 0  0.0412
1709308544.5180 1000 1000 1000 265 0 0 0 0  0.0413
1709308544.5258 1000 1000 1000 261 0 0 0 0  0.0412
1709308544.5350 1000 1000 1000 266 0 0 0 0  0.0413
1709308544.5425 1000 1000 1000 265 0 0 0 0  0.0413
1709308544.5501 1000 1000 1000 272 0 0 0 0  0.0414
1709308544.5591 1000 1000 1000 268 0 0 0 0  0.0413
1709308544.5667 1000 1000 1000 279 0 0 0 0  0.0414
1709308544.5744 1000 1000 1000 274 0 0 0 0  0.0414
1709308544.5831 1000 1000 1000 250 0 0 0 0  0.0411
1709308544.5907 1000 1000 1000 272 0 0 0 0  0.0414
1709308544.5989 1000 1000 1000 276 0 0 0 0  0.0414
1709308544.6065 1000 1000 1000 294 0 0 0 0  0.0416
1709308544.6141 1000 1000 1000 244 0 0 0 0  0.0411
1709308544.6228 1000 1000 1000 232 0 0 0 0  0.0410
1709308544.6304 1000 1000 1000 301 0 0 0 0  0.0416
1709308544.6387 1000 1000 1000 287 0 0 0 0  0.0415
1709308544.6464 1000 1000 1000 272 0 0 0 0  0.0414
1709308544.6544 1000 1000 1000 307 0 0 0 0  0.0417
1709308544.6619 1000 1000 1000 354 0 0 0 0  0.0422
1709308544.6700 1000 1000 1000 338 0 0 0 0  0.0421
1709308544.6787 1000 1000 1000 372 0 0 0 0  0.0425
1709308544.6861 1000 1000 1000 416 0 0 0 0  0.0431
1709308544.6948 1000 1000 1000 451 0 0 0 0  0.0437
1709308544.7031 847 1000 1000 469 0 0 0 0  0.0440
1709308544.7106 695 1000 1000 497 0 0 0 0  0.0442
1709308544.7184 532 1000 1000 563 0 0 0 0  0.0399
1709308544.7269 347 1000 1000 601 23 0 0 0  0.0379
1709308544.7345 97 1000 1000 619 49 0 0 0  0.0363
1709308544.7421 10 1000 1000 691 89 0 0 0  0.0390
1709308544.7505 0 1000 1000 720 132 0 0 0  0.0400
1709308544.7588 0 1000 1000 771 160 0 0 0  0.0414
1709308544.7665 0 1000 1000 809 201 0 0 0  0.0425
1709308544.7751 0 1000 1000 859 241 0 0 0  0.0438
1709308544.7827 0 918 1000 903 285 0 0 0  0.0440
