% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709308544.4429 0 0 0 0
1709308544.4504 0 0 0 0
1709308544.4583 0 0 0 0
1709308544.4658 0 0 0 0
1709308544.4738 0 0 0 0
1709308544.4819 0 0 0 0
1709308544.4905 0 0 0 0
1709308544.4980 0 0 0 0
1709308544.5058 0 0 0 0
1709308544.5145 0 0 0 0
1709308544.5226 0 0 0 0
1709308544.5299 0 0 0 0
1709308544.5378 0 0 0 0
1709308544.5470 0 0 0 0
1709308544.5537 0 0 0 0
1709308544.5620 0 0 0 0
1709308544.5701 0 0 0 0
1709308544.5782 1 2 1 2
1709308544.5860 3 7 2 5
1709308544.5939 6 13 3 6
1709308544.6016 7 16 1 3
1709308544.6103 7 18 0 2
1709308544.6184 7 21 0 3
1709308544.6255 7 26 0 5
1709308544.6342 7 29 0 3
1709308544.6421 7 36 0 7
1709308544.6502 7 42 0 6
1709308544.6582 7 50 0 8
1709308544.6656 7 59 0 9
1709308544.6738 7 67 0 8
1709308544.6823 7 78 0 11
1709308544.6910 7 86 0 8
1709308544.6982 7 97 0 11
1709308544.7058 7 109 0 12
1709308544.7146 7 120 0 11
1709308544.7223 7 132 0 12
1709308544.7307 7 145 0 13
1709308544.7384 7 156 0 11
1709308544.7459 7 163 0 7
1709308544.7538 7 175 0 12
1709308544.7628 8 188 1 13
1709308544.7703 12 197 4 9
1709308544.7788 15 204 3 7
1709308544.7866 16 213 1 9
1709308544.7942 17 223 1 10
1709308544.8025 22 232 5 9
1709308544.8113 25 240 3 8
1709308544.8183 27 248 2 8
1709308544.8260 30 257 3 9
1709308544.8352 33 264 3 7
1709308544.8427 38 269 5 5
1709308544.8505 43 273 5 4
1709308544.8594 48 278 5 5
1709308544.8669 53 285 5 7
1709308544.8748 58 290 5 5
1709308544.8825 64 293 6 3
1709308544.8901 71 297 7 4
1709308544.8995 78 301 7 4
1709308544.9070 84 305 6 4
1709308544.9145 92 309 8 4
1709308544.9222 102 313 10 4
1709308544.9310 110 315 8 2
1709308544.9382 118 318 8 3
1709308544.9458 128 318 10 0
1709308544.9550 138 321 10 3
1709308544.9626 147 323 9 2
1709308544.9703 156 325 9 2
1709308544.9791 168 326 12 1
1709308544.9867 180 327 12 1
1709308544.9945 188 330 8 3
1709308545.0026 197 332 9 2
1709308545.0101 207 333 10 1
1709308545.0188 217 335 10 2
1709308545.0265 225 339 8 4
1709308545.0340 235 343 10 4
1709308545.0425 245 345 10 2
1709308545.0508 252 347 7 2
1709308545.0584 259 351 7 4
1709308545.0664 267 356 8 5
1709308545.0753 277 361 10 5
1709308545.0828 284 364 7 3
1709308545.0904 292 368 8 4
1709308545.0999 298 374 6 6
1709308545.1064 305 379 7 5
1709308545.1141 311 386 6 7
1709308545.1230 317 390 6 4
1709308545.1308 324 393 7 3
1709308545.1383 330 397 6 4
1709308545.1470 335 406 5 9
1709308545.1542 341 412 6 6
1709308545.1620 346 415 5 3
1709308545.1709 349 419 3 4
1709308545.1782 353 427 4 8
1709308545.1858 358 434 5 7
1709308545.1948 362 440 4 6
1709308545.2023 366 446 4 6
1709308545.2103 370 456 4 10
1709308545.2190 373 464 3 8
1709308545.2264 375 470 2 6
1709308545.2342 377 478 2 8
1709308545.2431 380 485 3 7
1709308545.2504 383 492 3 7
1709308545.2584 387 501 4 9
1709308545.2670 389 509 2 8
1709308545.2746 392 517 3 8
1709308545.2823 396 524 4 7
1709308545.2911 400 533 4 9
1709308545.2994 403 541 3 8
1709308545.3061 406 552 3 11
1709308545.3148 410 559 4 7
1709308545.3227 416 565 6 6
1709308545.3298 422 572 6 7
1709308545.3388 426 579 4 7
1709308545.3465 429 585 3 6
1709308545.3539 435 589 6 4
1709308545.3628 442 596 7 7
1709308545.3705 448 603 6 7
1709308545.3781 455 609 7 6
1709308545.3869 462 613 7 4
1709308545.3944 469 616 7 3
1709308545.4026 477 619 8 3
1709308545.4114 484 623 7 4
1709308545.4179 491 626 7 3
1709308545.4267 496 628 5 2
1709308545.4351 502 632 6 4
1709308545.4419 513 634 11 2
1709308545.4503 522 636 9 2
1709308545.4592 528 637 6 1
1709308545.4667 538 641 10 4
1709308545.4745 549 644 11 3
1709308545.4832 557 645 8 1
1709308545.4908 566 647 9 2
1709308545.4992 576 650 10 3
1709308545.5071 586 652 10 2
1709308545.5148 597 653 11 1
1709308545.5218 606 655 9 2
1709308545.5306 614 656 8 1
1709308545.5380 626 656 12 0
1709308545.5468 635 658 9 2
1709308545.5552 641 660 6 2
1709308545.5628 650 664 9 4
1709308545.5707 663 667 13 3
1709308545.5785 672 669 9 2
1709308545.5861 679 671 7 2
1709308545.5938 687 673 8 2
1709308545.6034 696 675 9 2
1709308545.6100 706 678 10 3
1709308545.6178 714 683 8 5
1709308545.6278 722 685 8 2
1709308545.6343 729 686 7 1
1709308545.6422 738 691 9 5
1709308545.6508 746 697 8 6
1709308545.6585 751 702 5 5
1709308545.6664 759 705 8 3
1709308545.6750 767 708 8 3
1709308545.6827 776 712 9 4
1709308545.6904 782 719 6 7
1709308545.7001 787 725 5 6
1709308545.7067 793 726 6 1
1709308545.7145 800 730 7 4
1709308545.7232 808 734 8 4
1709308545.7308 813 739 5 5
1709308545.7386 819 744 6 5
1709308545.7465 825 749 6 5
1709308545.7548 831 754 6 5
1709308545.7624 836 757 5 3
1709308545.7714 840 763 4 6
1709308545.7780 846 770 6 7
1709308545.7858 852 775 6 5
1709308545.7947 856 780 4 5
1709308545.8019 861 787 5 7
1709308545.8107 867 794 6 7
1709308545.8185 873 797 6 3
1709308545.8261 881 803 8 6
1709308545.8340 886 809 5 6
1709308545.8429 890 814 4 5
1709308545.8500 897 818 7 4
1709308545.8587 906 823 9 5
1709308545.8667 912 827 6 4
1709308545.8743 916 834 4 7
1709308545.8822 921 840 5 6
1709308545.8911 928 844 7 4
1709308545.8993 936 848 8 4
1709308545.9061 943 853 7 5
1709308545.9150 949 860 6 7
1709308545.9227 954 865 5 5
1709308545.9305 960 869 6 4
1709308545.9391 966 875 6 6
1709308545.9468 972 881 6 6
1709308545.9544 981 884 9 3
1709308545.9635 990 886 9 2
1709308545.9702 997 891 7 5
1709308545.9782 1002 896 5 5
1709308545.9871 1007 900 5 4
1709308545.9948 1016 902 9 2
1709308546.0023 1023 907 7 5
1709308546.0115 1030 914 7 7
1709308546.0180 1037 917 7 3
1709308546.0259 1044 920 7 3
1709308546.0347 1051 923 7 3
1709308546.0423 1058 926 7 3
1709308546.0500 1067 929 9 3
1709308546.0589 1076 932 9 3
1709308546.0666 1082 934 6 2
1709308546.0745 1090 939 8 5
1709308546.0831 1099 943 9 4
1709308546.0906 1106 946 7 3
1709308546.0983 1113 949 7 3
