% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709308769.4651 0 0 0 0
1709308769.4731 0 0 0 0
1709308769.4802 0 0 0 0
1709308769.4878 0 0 0 0
1709308769.4958 0 0 0 0
1709308769.5038 0 0 0 0
1709308769.5124 0 0 0 0
1709308769.5205 0 0 0 0
1709308769.5279 0 0 0 0
1709308769.5355 0 0 0 0
1709308769.5444 0 0 0 0
1709308769.5516 0 0 0 0
1709308769.5606 0 0 0 0
1709308769.5679 0 0 0 0
1709308769.5763 0 0 0 0
1709308769.5836 1 0 1 0
1709308769.5918 6 7 5 7
1709308769.6001 17 22 11 15
1709308769.6089 23 31 6 9
1709308769.6169 26 36 3 5
1709308769.6247 32 42 6 6
1709308769.6325 36 50 4 8
1709308769.6407 43 64 7 14
1709308769.6490 51 77 8 13
1709308769.6569 60 89 9 12
1709308769.6650 69 102 9 13
1709308769.6728 77 122 8 20
1709308769.6808 88 141 11 19
1709308769.6890 97 159 9 18
1709308769.6962 105 179 8 20
1709308769.7048 114 202 9 23
1709308769.7130 122 222 8 20
1709308769.7208 132 247 10 25
1709308769.7286 141 270 9 23
1709308769.7367 150 289 9 19
1709308769.7449 160 313 10 24
1709308769.7523 169 336 9 23
1709308769.7605 178 359 9 23
1709308769.7687 187 378 9 19
1709308769.7771 197 402 10 24
1709308769.7842 210 429 13 27
1709308769.7923 222 454 12 25
1709308769.8007 235 473 13 19
1709308769.8088 249 494 14 21
1709308769.8170 266 520 17 26
1709308769.8242 281 541 15 21
1709308769.8329 293 559 12 18
1709308769.8409 307 581 14 22
1709308769.8490 325 598 18 17
1709308769.8561 344 617 19 19
1709308769.8643 359 636 15 19
1709308769.8726 373 649 14 13
1709308769.8808 391 663 18 14
1709308769.8887 409 676 18 13
1709308769.8965 428 688 19 12
1709308769.9046 446 702 18 14
1709308769.9128 464 717 18 15
1709308769.9203 481 731 17 14
1709308769.9285 500 746 19 15
1709308769.9367 518 755 18 9
1709308769.9445 535 765 17 10
1709308769.9527 555 778 20 13
1709308769.9606 574 793 19 15
1709308769.9685 592 806 18 13
1709308769.9763 611 819 19 13
1709308769.9846 629 834 18 15
1709308769.9926 646 846 17 12
1709308770.0009 664 858 18 12
1709308770.0082 683 872 19 14
1709308770.0160 702 886 19 14
1709308770.0247 719 900 17 14
1709308770.0320 735 914 16 14
1709308770.0408 753 925 18 11
1709308770.0490 771 939 18 14
1709308770.0561 786 955 15 16
1709308770.0649 807 971 21 16
1709308770.0728 824 983 17 12
1709308770.0810 840 999 16 16
1709308770.0887 857 1016 17 17
1709308770.0968 874 1031 17 15
1709308770.1050 892 1046 18 15
1709308770.1127 908 1060 16 14
1709308770.1215 923 1074 15 14
1709308770.1282 940 1088 17 14
1709308770.1361 959 1101 19 13
1709308770.1446 974 1115 15 14
1709308770.1521 989 1129 15 14
1709308770.1609 1005 1148 16 19
1709308770.1690 1020 1164 15 16
1709308770.1761 1035 1179 15 15
1709308770.1851 1051 1196 16 17
1709308770.1924 1066 1214 15 18
1709308770.2005 1083 1226 17 12
1709308770.2084 1097 1238 14 12
1709308770.2167 1112 1255 15 17
1709308770.2247 1130 1275 18 20
1709308770.2327 1146 1286 16 11
1709308770.2409 1162 1301 16 15
1709308770.2481 1179 1319 17 18
1709308770.2570 1194 1336 15 17
1709308770.2641 1208 1350 14 14
1709308770.2721 1223 1367 15 17
1709308770.2808 1239 1386 16 19
1709308770.2890 1252 1405 13 19
1709308770.2970 1269 1421 17 16
1709308770.3046 1288 1433 19 12
1709308770.3126 1304 1448 16 15
1709308770.3214 1317 1465 13 17
1709308770.3291 1330 1482 13 17
1709308770.3370 1346 1498 16 16
1709308770.3440 1363 1513 17 15
1709308770.3521 1379 1526 16 13
1709308770.3602 1392 1546 13 20
