% Edge sensor logfile normalized 'log_20240301_165928.695/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308769.4695 0 0 0 0 0 0 0 0  0.0000
1709308769.4781 0 195 878 1000 514 0 0 0  0.0322
1709308769.4844 0 186 878 1000 507 0 0 0  0.0320
1709308769.4924 0 200 892 1000 515 0 0 0  0.0325
1709308769.5011 0 195 872 1000 515 0 0 0  0.0321
1709308769.5091 0 209 881 1000 509 0 0 0  0.0322
1709308769.5161 0 227 894 1000 520 0 0 0  0.0328
1709308769.5251 0 204 890 1000 520 0 0 0  0.0326
1709308769.5321 0 186 874 1000 504 0 0 0  0.0318
1709308769.5403 0 209 883 1000 520 0 0 0  0.0325
1709308769.5488 0 236 904 1000 522 0 0 0  0.0331
1709308769.5571 0 209 885 1000 515 0 0 0  0.0324
1709308769.5654 0 181 883 1000 507 0 0 0  0.0320
1709308769.5732 0 213 894 1000 517 0 0 0  0.0327
1709308769.5807 0 190 885 1000 519 0 0 0  0.0324
1709308769.5885 0 227 874 1000 500 0 0 0  0.0320
1709308769.5963 0 227 876 1000 514 0 0 0  0.0324
1709308769.6045 0 218 878 1000 517 0 0 0  0.0324
1709308769.6126 0 209 858 1000 502 0 0 0  0.0316
1709308769.6209 0 154 844 1000 505 0 0 0  0.0311
1709308769.6291 0 250 819 989 502 14 0 0  0.0309
1709308769.6363 0 231 792 978 484 27 0 0  0.0296
1709308769.6441 0 109 778 959 489 4 0 0  0.0286
1709308769.6524 0 95 778 950 500 0 0 0  0.0286
1709308769.6605 0 50 723 976 504 21 0 0  0.0278
1709308769.6683 0 72 687 965 514 50 0 0  0.0264
1709308769.6762 0 0 657 946 537 45 0 0  0.0249
1709308769.6846 0 0 591 884 520 52 0 0  0.0194
1709308769.6923 0 0 573 862 547 131 0 0  0.0184
1709308769.7005 0 0 527 886 580 118 0 0  0.0193
1709308769.7085 0 0 463 817 580 141 0 0  0.0141
1709308769.7163 0 0 415 820 624 157 0 0  0.0156
1709308769.7241 0 0 378 809 674 206 0 0  0.0182
1709308769.7323 0 0 294 749 699 274 0 0  0.0186
1709308769.7411 0 0 235 727 743 328 0 0  0.0199
1709308769.7481 0 0 159 641 786 371 0 0  0.0137
1709308769.7561 0 0 66 603 821 464 24 0  0.0153
1709308769.7648 0 0 0 544 847 523 100 0  0.0161
1709308769.7726 0 0 0 489 854 658 187 0  0.0207
1709308769.7809 0 0 0 407 839 783 285 0  0.0255
1709308769.7885 0 0 0 310 763 881 391 0  0.0259
1709308769.7964 0 0 0 202 664 954 492 0  0.0244
1709308769.8045 0 0 0 84 530 954 624 108  0.0235
1709308769.8121 0 0 0 0 363 834 675 214  0.0193
1709308769.8209 0 0 0 0 267 727 791 343  0.0216
1709308769.8295 0 0 0 0 165 619 859 472  0.0184
1709308769.8362 0 0 0 0 62 490 805 513  0.0119
1709308769.8442 0 0 0 0 0 384 761 629  0.0107
1709308769.8528 0 0 0 0 0 288 700 719  0.0171
1709308769.8605 0 0 0 0 0 152 578 693  0.0000
1709308769.8686 0 0 0 0 0 59 480 680  0.0000
1709308769.8764 0 0 0 0 0 0 349 607  0.0000
1709308769.8850 0 0 0 0 0 0 247 486  0.0000
1709308769.8931 0 0 0 0 0 0 156 398  0.0000
1709308769.9003 0 0 0 0 0 0 66 288  0.0000
1709308769.9090 0 0 0 0 0 0 0 194  0.0000
1709308769.9162 0 0 0 0 0 0 0 114  0.0000
1709308769.9241 0 0 0 0 0 0 0 77  0.0000
1709308769.9329 0 0 0 0 0 0 0 10  0.0000
1709308769.9411 0 0 0 0 0 0 0 0  0.0000
1709308769.9483 0 0 0 0 0 0 0 0  0.0000
1709308769.9561 0 0 0 0 0 0 0 0  0.0000
1709308769.9651 0 0 0 0 0 0 0 0  0.0000
1709308769.9731 0 0 0 0 0 0 0 0  0.0000
1709308769.9808 0 0 0 0 0 0 0 0  0.0000
1709308769.9881 0 0 0 0 0 0 0 0  0.0000
1709308769.9965 0 0 0 0 0 0 0 0  0.0000
1709308770.0044 0 0 0 0 0 0 0 0  0.0000
1709308770.0126 0 0 0 0 0 0 0 0  0.0000
1709308770.0204 0 0 0 0 0 0 0 0  0.0000
1709308770.0282 0 0 0 0 0 0 0 0  0.0000
1709308770.0364 0 0 0 0 0 0 0 0  0.0000
1709308770.0446 0 0 0 0 0 0 0 0  0.0000
1709308770.0524 0 0 0 0 0 0 0 0  0.0000
1709308770.0606 0 0 0 0 0 0 0 0  0.0000
1709308770.0687 0 0 0 0 0 0 0 0  0.0000
1709308770.0762 0 0 0 0 0 0 0 0  0.0000
1709308770.0843 0 0 0 0 0 0 0 0  0.0000
1709308770.0925 0 0 0 0 0 0 0 0  0.0000
1709308770.1002 0 0 0 0 0 0 0 0  0.0000
1709308770.1084 0 0 0 0 0 0 0 0  0.0000
1709308770.1165 0 0 0 0 0 0 0 0  0.0000
1709308770.1245 0 0 0 0 0 0 0 0  0.0000
1709308770.1327 0 0 0 0 0 0 0 0  0.0000
1709308770.1402 0 0 0 0 0 0 0 0  0.0000
1709308770.1491 0 0 0 0 0 0 0 0  0.0000
1709308770.1564 0 0 0 0 0 0 0 0  0.0000
1709308770.1647 0 0 0 0 0 0 0 0  0.0000
1709308770.1723 0 0 0 0 0 0 0 0  0.0000
1709308770.1806 0 0 0 0 0 0 0 0  0.0000
1709308770.1890 0 0 0 0 0 0 0 0  0.0000
1709308770.1969 0 0 0 0 0 0 0 0  0.0000
1709308770.2050 0 0 0 0 0 0 0 0  0.0000
1709308770.2123 0 0 0 0 0 0 0 0  0.0000
1709308770.2209 0 0 0 0 0 0 0 0  0.0000
1709308770.2282 0 0 0 0 0 0 0 0  0.0000
1709308770.2365 0 0 0 0 0 0 0 0  0.0000
1709308770.2443 0 0 0 0 0 0 0 0  0.0000
1709308770.2525 0 0 0 0 0 0 0 0  0.0000
1709308770.2608 0 0 0 0 0 0 0 0  0.0000
1709308770.2688 0 0 0 0 0 0 0 0  0.0000
1709308770.2765 0 0 0 0 0 0 0 0  0.0000
1709308770.2847 0 0 0 0 0 0 0 0  0.0000
1709308770.2922 0 0 0 0 0 0 0 0  0.0000
1709308770.3002 0 0 0 0 0 0 0 0  0.0000
1709308770.3084 0 0 0 0 0 0 0 0  0.0000
1709308770.3170 0 0 0 0 0 0 0 0  0.0000
1709308770.3247 0 0 0 0 0 0 0 0  0.0000
1709308770.3329 0 0 0 0 0 0 0 0  0.0000
1709308770.3403 0 0 0 0 0 0 0 0  0.0000
1709308770.3487 0 0 0 0 0 0 0 0  0.0000
1709308770.3569 0 0 0 0 0 0 0 0  0.0000
