% Edge sensor logfile normalized 'log_20240301_170042.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308843.3136 0 1000 1000 727 160 0 0 0  0.0402
1709308843.3207 0 1000 1000 709 143 0 0 0  0.0397
1709308843.3295 0 1000 1000 707 140 0 0 0  0.0396
1709308843.3373 0 1000 1000 707 132 0 0 0  0.0396
1709308843.3454 0 1000 1000 723 143 0 0 0  0.0401
1709308843.3529 0 1000 1000 711 122 0 0 0  0.0397
1709308843.3610 0 1000 1000 700 117 0 0 0  0.0394
1709308843.3692 0 1000 1000 723 138 0 0 0  0.0401
1709308843.3769 0 1000 1000 738 135 0 0 0  0.0405
1709308843.3853 0 1000 1000 736 127 0 0 0  0.0404
1709308843.3933 0 1000 1000 782 142 0 0 0  0.0416
1709308843.4010 0 1000 1000 798 147 0 0 0  0.0420
1709308843.4092 0 1000 1000 775 150 0 0 0  0.0415
1709308843.4174 0 1000 1000 769 153 0 0 0  0.0413
1709308843.4251 0 1000 1000 786 161 0 0 0  0.0418
1709308843.4339 0 1000 1000 765 163 0 0 0  0.0413
1709308843.4413 0 1000 1000 776 175 0 0 0  0.0416
1709308843.4495 0 1000 1000 795 183 0 0 0  0.0421
1709308843.4576 0 1000 1000 815 203 0 0 0  0.0426
1709308843.4647 0 1000 1000 831 204 0 0 0  0.0430
1709308843.4736 0 1000 1000 844 224 0 0 0  0.0434
1709308843.4816 0 1000 1000 857 241 0 0 0  0.0438
1709308843.4886 0 1000 1000 868 247 0 0 0  0.0441
1709308843.4974 0 986 1000 890 277 0 0 0  0.0446
1709308843.5055 0 918 1000 921 290 0 0 0  0.0444
1709308843.5127 0 918 1000 912 302 0 0 0  0.0443
1709308843.5214 0 868 1000 967 333 0 0 0  0.0448
1709308843.5295 0 831 1000 990 360 0 0 0  0.0449
1709308843.5372 0 759 1000 981 380 0 0 0  0.0436
1709308843.5449 0 695 1000 1000 371 0 0 0  0.0422
1709308843.5530 0 681 1000 1000 413 0 0 0  0.0420
1709308843.5615 0 600 1000 1000 423 0 0 0  0.0389
1709308843.5690 0 504 1000 1000 438 0 0 0  0.0367
1709308843.5772 0 440 1000 1000 471 0 0 0  0.0360
1709308843.5850 0 422 970 1000 471 0 0 0  0.0353
1709308843.5926 0 354 945 1000 482 0 0 0  0.0342
1709308843.6008 0 340 929 1000 515 0 0 0  0.0344
1709308843.6089 0 227 883 1000 500 0 0 0  0.0322
1709308843.6176 0 227 897 1000 548 0 0 0  0.0336
1709308843.6246 0 154 881 1000 576 16 0 0  0.0335
1709308843.6335 0 59 821 1000 593 26 0 0  0.0325
1709308843.6414 0 45 817 1000 618 37 0 0  0.0332
1709308843.6497 0 22 805 1000 623 60 0 0  0.0331
1709308843.6567 0 0 767 1000 641 72 0 0  0.0330
1709308843.6653 0 0 730 1000 664 100 0 0  0.0332
1709308843.6735 0 0 698 1000 680 111 0 0  0.0331
1709308843.6807 0 0 714 1000 714 126 0 0  0.0350
1709308843.6892 0 0 691 1000 707 124 0 0  0.0340
1709308843.6968 0 0 710 1000 719 129 0 0  0.0351
1709308843.7056 0 0 698 1000 732 147 0 0  0.0351
1709308843.7132 0 0 646 1000 704 155 0 0  0.0318
1709308843.7213 0 0 621 1000 704 147 0 0  0.0308
1709308843.7295 0 0 602 1000 695 152 0 0  0.0298
1709308843.7370 0 0 566 1000 672 154 0 0  0.0275
1709308843.7456 0 0 575 1000 671 137 0 0  0.0277
1709308843.7532 0 0 593 1000 676 124 0 0  0.0285
1709308843.7613 0 0 589 1000 656 123 0 0  0.0275
1709308843.7695 0 0 621 1000 671 137 0 0  0.0292
1709308843.7769 0 0 650 1000 671 121 0 0  0.0303
1709308843.7855 0 0 659 1000 646 103 0 0  0.0296
1709308843.7936 0 0 684 1000 639 91 0 0  0.0305
1709308843.8006 0 0 712 1000 638 91 0 0  0.0316
1709308843.8096 0 0 712 1000 621 82 0 0  0.0310
1709308843.8167 0 0 737 1000 618 65 0 0  0.0315
1709308843.8249 0 0 785 1000 624 44 0 0  0.0327
1709308843.8333 0 9 789 1000 626 42 0 0  0.0328
1709308843.8413 0 40 831 1000 604 26 0 0  0.0330
1709308843.8494 0 122 860 1000 591 18 0 0  0.0334
1709308843.8572 0 159 890 1000 580 0 0 0  0.0338
1709308843.8655 0 177 913 1000 552 0 0 0  0.0336
1709308843.8726 0 250 956 1000 553 0 0 0  0.0349
1709308843.8813 0 272 1000 1000 533 0 0 0  0.0352
1709308843.8889 0 313 986 1000 482 0 0 0  0.0344
1709308843.8971 0 422 1000 1000 456 0 0 0  0.0355
1709308843.9049 0 518 1000 1000 428 0 0 0  0.0368
1709308843.9132 0 581 1000 1000 395 0 0 0  0.0379
1709308843.9214 0 650 1000 1000 370 0 0 0  0.0400
1709308843.9293 0 745 1000 987 348 0 0 0  0.0430
1709308843.9370 0 809 1000 948 310 0 0 0  0.0433
1709308843.9452 0 868 1000 906 294 0 0 0  0.0434
1709308843.9529 0 854 1000 903 282 0 0 0  0.0430
1709308843.9612 0 900 1000 866 261 0 0 0  0.0428
1709308843.9696 0 986 1000 857 238 0 0 0  0.0436
1709308843.9773 0 1000 1000 835 226 0 0 0  0.0432
1709308843.9851 0 1000 1000 800 204 0 0 0  0.0423
1709308843.9934 0 1000 1000 797 190 0 0 0  0.0422
1709308844.0011 0 1000 1000 778 186 0 0 0  0.0417
1709308844.0095 0 1000 1000 731 152 0 0 0  0.0403
1709308844.0168 0 1000 1000 700 133 0 0 0  0.0394
1709308844.0246 0 1000 1000 716 115 0 0 0  0.0399
1709308844.0335 0 1000 1000 683 95 0 0 0  0.0385
1709308844.0408 0 1000 1000 714 99 0 0 0  0.0398
1709308844.0486 0 1000 1000 712 79 0 0 0  0.0398
1709308844.0569 21 1000 1000 680 72 0 0 0  0.0385
1709308844.0652 32 1000 1000 652 57 0 0 0  0.0372
1709308844.0730 0 1000 1000 661 69 0 0 0  0.0375
1709308844.0816 54 1000 1000 676 66 0 0 0  0.0385
1709308844.0888 43 1000 1000 616 41 0 0 0  0.0359
1709308844.0974 163 1000 1000 599 24 0 0 0  0.0361
1709308844.1048 163 1000 1000 592 19 0 0 0  0.0359
1709308844.1131 141 1000 1000 559 14 0 0 0  0.0348
1709308844.1213 260 1000 1000 579 13 0 0 0  0.0363
1709308844.1297 347 1000 1000 574 3 0 0 0  0.0371
1709308844.1376 326 1000 1000 526 0 0 0 0  0.0356
1709308844.1455 380 1000 1000 541 0 0 0 0  0.0366
1709308844.1529 413 1000 1000 533 0 0 0 0  0.0369
1709308844.1611 369 1000 1000 521 0 0 0 0  0.0360
1709308844.1689 369 1000 1000 535 0 0 0 0  0.0364
1709308844.1772 391 1000 1000 544 0 0 0 0  0.0369
1709308844.1851 402 1000 1000 539 0 0 0 0  0.0369
1709308844.1928 369 1000 1000 559 0 0 0 0  0.0370
1709308844.2019 326 1000 1000 570 0 0 0 0  0.0367
1709308844.2090 423 1000 1000 601 14 0 0 0  0.0389
1709308844.2171 402 1000 1000 581 8 0 0 0  0.0380
1709308844.2247 380 1000 1000 595 16 0 0 0  0.0381
1709308844.2340 239 1000 1000 585 13 0 0 0  0.0363
1709308844.2410 206 1000 1000 614 26 0 0 0  0.0369
1709308844.2492 239 1000 1000 612 41 0 0 0  0.0372
1709308844.2575 141 1000 1000 621 44 0 0 0  0.0367
1709308844.2654 0 1000 1000 594 39 0 0 0  0.0350
1709308844.2727 0 1000 1000 627 64 0 0 0  0.0361
1709308844.2811 0 1000 1000 658 72 0 0 0  0.0373
1709308844.2887 0 1000 1000 663 76 0 0 0  0.0375
1709308844.2968 0 1000 1000 698 99 0 0 0  0.0393
1709308844.3051 0 1000 1000 716 112 0 0 0  0.0399
1709308844.3127 0 1000 1000 720 125 0 0 0  0.0400
1709308844.3209 0 1000 1000 749 150 0 0 0  0.0408
1709308844.3290 0 1000 1000 771 165 0 0 0  0.0414
1709308844.3371 0 1000 1000 787 178 0 0 0  0.0419
1709308844.3453 0 1000 1000 822 206 0 0 0  0.0428
1709308844.3534 0 963 1000 826 229 0 0 0  0.0426
1709308844.3617 0 922 1000 844 246 0 0 0  0.0425
1709308844.3687 0 877 1000 879 277 0 0 0  0.0428
1709308844.3769 0 831 1000 926 314 0 0 0  0.0433
