% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709308842.4356 0 0 0 0
1709308842.4431 0 0 0 0
1709308842.4504 4294967295 4294967294 -1 -2
1709308842.4587 4294967293 4294967293 -2 -1
1709308842.4669 4294967293 4294967293 0 0
1709308842.4751 4294967293 4294967294 0 1
1709308842.4835 4294967293 4294967294 0 0
1709308842.4918 4294967293 4294967294 0 0
1709308842.4983 4294967293 4294967294 0 0
1709308842.5069 4294967293 4294967294 0 0
1709308842.5147 4294967293 4294967294 0 0
1709308842.5226 4294967293 4294967294 0 0
1709308842.5302 4294967293 4294967294 0 0
1709308842.5385 4294967293 4294967294 0 0
1709308842.5465 4294967293 4294967294 0 0
1709308842.5552 4294967293 4294967294 0 0
1709308842.5629 4294967294 4294967295 1 1
1709308842.5707 6 8 8 9
1709308842.5793 17 18 11 10
1709308842.5874 23 25 6 7
1709308842.5950 27 28 4 3
1709308842.6037 34 36 7 8
1709308842.6113 42 45 8 9
1709308842.6190 57 56 15 11
1709308842.6275 68 70 11 14
1709308842.6347 79 83 11 13
1709308842.6427 92 94 13 11
1709308842.6513 107 108 15 14
1709308842.6590 122 120 15 12
1709308842.6668 137 135 15 15
1709308842.6752 151 152 14 17
1709308842.6828 168 165 17 13
1709308842.6909 183 180 15 15
1709308842.6987 201 196 18 16
1709308842.7068 221 210 20 14
1709308842.7147 237 226 16 16
1709308842.7234 252 247 15 21
1709308842.7313 267 262 15 15
1709308842.7387 282 277 15 15
1709308842.7473 297 291 15 14
1709308842.7550 312 307 15 16
1709308842.7626 327 323 15 16
1709308842.7717 344 342 17 19
1709308842.7787 361 361 17 19
1709308842.7875 379 379 18 18
1709308842.7951 396 395 17 16
1709308842.8027 414 412 18 17
1709308842.8114 432 430 18 18
1709308842.8189 449 448 17 18
1709308842.8267 468 465 19 17
1709308842.8352 486 484 18 19
1709308842.8429 502 496 16 12
1709308842.8516 519 512 17 16
1709308842.8595 536 530 17 18
1709308842.8671 554 546 18 16
1709308842.8749 575 561 21 15
1709308842.8830 594 574 19 13
1709308842.8907 611 586 17 12
1709308842.8994 626 602 15 16
1709308842.9073 644 618 18 16
1709308842.9149 664 634 20 16
1709308842.9227 680 648 16 14
1709308842.9315 694 661 14 13
1709308842.9388 708 674 14 13
1709308842.9469 728 693 20 19
