% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309483.7367 2272 2215 16 19
1709309483.7456 2285 2232 13 17
1709309483.7528 2300 2247 15 15
1709309483.7614 2311 2265 11 18
1709309483.7694 2321 2282 10 17
1709309483.7770 2334 2301 13 19
1709309483.7848 2348 2321 14 20
1709309483.7937 2363 2339 15 18
1709309483.8010 2375 2357 12 18
1709309483.8087 2384 2376 9 19
1709309483.8176 2393 2395 9 19
1709309483.8252 2405 2416 12 21
1709309483.8332 2418 2435 13 19
1709309483.8421 2429 2456 11 21
1709309483.8494 2443 2481 14 25
1709309483.8573 2454 2504 11 23
1709309483.8663 2466 2517 12 13
1709309483.8729 2476 2535 10 18
1709309483.8807 2488 2557 12 22
1709309483.8897 2498 2580 10 23
1709309483.8968 2508 2599 10 19
1709309483.9050 2523 2618 15 19
1709309483.9139 2537 2635 14 17
1709309483.9216 2548 2657 11 22
1709309483.9294 2561 2674 13 17
1709309483.9383 2574 2692 13 18
1709309483.9447 2584 2713 10 21
1709309483.9533 2594 2735 10 22
1709309483.9622 2608 2749 14 14
1709309483.9687 2623 2765 15 16
1709309483.9775 2637 2784 14 19
1709309483.9864 2648 2802 11 18
1709309483.9930 2659 2822 11 20
1709309484.0017 2673 2843 14 21
1709309484.0096 2689 2857 16 14
1709309484.0173 2703 2873 14 16
1709309484.0252 2715 2888 12 15
1709309484.0341 2728 2906 13 18
1709309484.0407 2742 2926 14 20
1709309484.0492 2758 2945 16 19
1709309484.0582 2772 2958 14 13
1709309484.0647 2787 2971 15 13
1709309484.0730 2803 2990 16 19
1709309484.0819 2820 3008 17 18
1709309484.0895 2833 3026 13 18
1709309484.0971 2848 3038 15 12
1709309484.1057 2864 3053 16 15
1709309484.1133 2879 3069 15 16
1709309484.1209 2892 3087 13 18
1709309484.1302 2907 3099 15 12
1709309484.1369 2925 3111 18 12
1709309484.1448 2941 3128 16 17
1709309484.1536 2959 3141 18 13
1709309484.1613 2974 3154 15 13
1709309484.1691 2991 3167 17 13
1709309484.1781 3010 3181 19 14
1709309484.1847 3027 3191 17 10
1709309484.1928 3046 3204 19 13
1709309484.2020 3063 3216 17 12
1709309484.2092 3081 3226 18 10
1709309484.2176 3101 3241 20 15
1709309484.2275 3120 3255 19 14
1709309484.2340 3140 3265 20 10
1709309484.2413 3159 3278 19 13
