% Edge sensor logfile normalized 'log_20240301_171122.043/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709309482.4456 0 0 0 0 0 0 0 0  0.0000
1709309482.4523 0 0 365 945 889 313 0 0  0.0300
1709309482.4610 0 0 349 936 897 318 0 0  0.0299
1709309482.4691 0 0 344 936 895 307 0 0  0.0297
1709309482.4768 0 0 365 950 909 320 0 0  0.0306
1709309482.4849 0 0 360 945 894 321 0 0  0.0301
1709309482.4929 0 0 356 932 897 320 0 0  0.0299
1709309482.5010 0 0 356 948 895 313 0 0  0.0301
1709309482.5090 0 0 372 941 894 318 0 0  0.0302
1709309482.5162 0 0 356 934 885 320 0 0  0.0297
1709309482.5242 0 0 372 954 902 318 0 0  0.0306
1709309482.5324 0 0 351 941 887 318 0 0  0.0298
1709309482.5406 0 0 351 937 879 307 0 0  0.0294
1709309482.5490 0 0 372 948 907 321 0 0  0.0306
1709309482.5562 0 0 358 943 889 320 0 0  0.0300
1709309482.5644 0 0 351 930 872 302 0 0  0.0291
1709309482.5722 0 0 365 917 889 318 0 0  0.0296
1709309482.5805 0 0 353 937 880 315 0 0  0.0296
1709309482.5887 0 0 344 914 874 321 0 0  0.0290
1709309482.5972 0 0 351 906 854 295 0 0  0.0282
1709309482.6062 0 0 340 926 846 321 0 0  0.0285
1709309482.6129 0 0 331 890 829 313 0 0  0.0273
1709309482.6212 0 0 324 857 800 269 0 0  0.0254
1709309482.6295 0 0 315 862 790 297 0 0  0.0253
1709309482.6373 0 0 331 798 748 280 0 0  0.0225
1709309482.6456 0 0 319 804 735 239 0 0  0.0220
1709309482.6542 0 0 328 808 733 280 0 0  0.0222
1709309482.6608 0 0 317 809 702 257 0 0  0.0210
1709309482.6687 0 0 319 771 690 254 0 0  0.0177
1709309482.6778 0 0 340 773 690 259 0 0  0.0180
1709309482.6853 0 0 358 771 667 251 0 0  0.0147
1709309482.6933 0 0 369 745 641 215 0 0  0.0095
1709309482.7019 0 0 413 833 659 205 0 0  0.0185
1709309482.7096 0 0 413 817 639 195 0 0  0.0162
1709309482.7176 0 0 438 851 628 157 0 0  0.0179
1709309482.7265 0 0 486 886 652 164 0 0  0.0216
1709309482.7331 0 0 547 946 638 142 0 0  0.0243
1709309482.7411 0 0 600 983 636 116 0 0  0.0266
