% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709308746.4653 0 0 0 0
1709308746.4736 0 0 0 0
1709308746.4809 0 0 0 0
1709308746.4886 0 0 0 0
1709308746.4967 0 0 0 0
1709308746.5048 0 0 0 0
1709308746.5124 0 0 0 0
1709308746.5206 0 0 0 0
1709308746.5282 0 0 0 0
1709308746.5360 0 0 0 0
1709308746.5447 0 0 0 0
1709308746.5521 0 0 0 0
1709308746.5601 0 0 0 0
1709308746.5685 0 0 0 0
1709308746.5759 0 0 0 0
1709308746.5846 1 1 1 1
1709308746.5928 8 9 7 8
1709308746.5999 21 17 13 8
1709308746.6086 26 21 5 4
1709308746.6165 27 25 1 4
1709308746.6242 33 31 6 6
1709308746.6329 41 41 8 10
1709308746.6410 50 54 9 13
1709308746.6491 57 64 7 10
1709308746.6567 64 78 7 14
1709308746.6646 73 91 9 13
1709308746.6723 81 107 8 16
1709308746.6810 90 128 9 21
1709308746.6882 100 149 10 21
1709308746.6964 110 168 10 19
1709308746.7052 120 183 10 15
1709308746.7124 132 205 12 22
1709308746.7214 145 223 13 18
1709308746.7284 155 242 10 19
1709308746.7367 166 265 11 23
1709308746.7451 176 283 10 18
1709308746.7528 189 301 13 18
1709308746.7610 201 326 12 25
1709308746.7682 211 348 10 22
1709308746.7767 222 368 11 20
1709308746.7850 234 387 12 19
1709308746.7921 248 409 14 22
1709308746.8010 264 428 16 19
1709308746.8082 278 451 14 23
1709308746.8164 291 470 13 19
1709308746.8250 307 489 16 19
1709308746.8322 323 508 16 19
1709308746.8403 339 527 16 19
1709308746.8491 356 550 17 23
1709308746.8562 372 566 16 16
1709308746.8648 391 580 19 14
1709308746.8722 411 594 20 14
1709308746.8805 428 611 17 17
1709308746.8886 444 624 16 13
1709308746.8971 464 643 20 19
1709308746.9042 487 659 23 16
1709308746.9125 505 674 18 15
1709308746.9208 517 687 12 13
1709308746.9288 536 700 19 13
1709308746.9368 558 715 22 15
1709308746.9445 574 730 16 15
1709308746.9526 590 743 16 13
1709308746.9604 609 757 19 14
1709308746.9692 627 767 18 10
1709308746.9767 646 782 19 15
1709308746.9851 664 795 18 13
1709308746.9924 679 807 15 12
1709308747.0012 697 824 18 17
1709308747.0086 712 838 15 14
1709308747.0164 729 849 17 11
1709308747.0241 746 860 17 11
1709308747.0324 763 878 17 18
1709308747.0403 783 898 20 20
1709308747.0484 799 912 16 14
1709308747.0566 815 923 16 11
1709308747.0652 831 937 16 14
1709308747.0730 851 956 20 19
1709308747.0802 867 970 16 14
1709308747.0891 881 982 14 12
1709308747.0963 898 991 17 9
1709308747.1050 916 1005 18 14
1709308747.1130 932 1021 16 16
1709308747.1211 950 1033 18 12
1709308747.1284 969 1049 19 16
1709308747.1371 985 1065 16 16
1709308747.1445 999 1084 14 19
1709308747.1528 1015 1097 16 13
1709308747.1608 1033 1111 18 14
1709308747.1690 1049 1128 16 17
1709308747.1770 1063 1148 14 20
1709308747.1847 1078 1164 15 16
1709308747.1929 1098 1178 20 14
1709308747.2009 1114 1194 16 16
1709308747.2082 1129 1208 15 14
1709308747.2163 1144 1222 15 14
1709308747.2245 1159 1239 15 17
1709308747.2322 1177 1255 18 16
1709308747.2404 1195 1271 18 16
1709308747.2485 1211 1286 16 15
1709308747.2566 1227 1298 16 12
1709308747.2648 1243 1314 16 16
1709308747.2726 1258 1332 15 18
1709308747.2803 1274 1349 16 17
1709308747.2884 1288 1360 14 11
1709308747.2969 1301 1373 13 13
1709308747.3047 1316 1390 15 17
1709308747.3128 1332 1412 16 22
1709308747.3217 1348 1426 16 14
1709308747.3284 1364 1436 16 10
1709308747.3364 1380 1450 16 14
1709308747.3446 1393 1467 13 17
1709308747.3523 1407 1485 14 18
1709308747.3604 1422 1501 15 16
1709308747.3687 1438 1514 16 13
1709308747.3771 1458 1526 20 12
1709308747.3852 1474 1546 16 20
1709308747.3922 1487 1562 13 16
1709308747.4003 1501 1577 14 15
1709308747.4085 1516 1590 15 13
1709308747.4168 1533 1607 17 17
1709308747.4250 1550 1624 17 17
1709308747.4332 1566 1641 16 17
1709308747.4403 1580 1657 14 16
1709308747.4482 1592 1674 12 17
1709308747.4570 1610 1693 18 19
1709308747.4652 1627 1709 17 16
1709308747.4726 1642 1728 15 19
1709308747.4807 1658 1744 16 16
1709308747.4890 1670 1757 12 13
1709308747.4972 1685 1776 15 19
1709308747.5043 1706 1793 21 17
1709308747.5126 1722 1809 16 16
1709308747.5210 1737 1821 15 12
1709308747.5288 1755 1839 18 18
1709308747.5371 1771 1858 16 19
1709308747.5443 1785 1874 14 16
1709308747.5524 1799 1891 14 17
1709308747.5605 1814 1902 15 11
1709308747.5682 1830 1916 16 14
1709308747.5770 1846 1934 16 18
1709308747.5851 1863 1954 17 20
1709308747.5930 1879 1975 16 21
1709308747.6011 1894 1990 15 15
1709308747.6092 1910 2002 16 12
1709308747.6169 1925 2016 15 14
1709308747.6245 1940 2028 15 12
1709308747.6327 1955 2046 15 18
1709308747.6404 1970 2062 15 16
1709308747.6485 1987 2079 17 17
1709308747.6565 2002 2094 15 15
1709308747.6642 2017 2109 15 15
1709308747.6731 2034 2123 17 14
1709308747.6803 2051 2141 17 18
1709308747.6890 2069 2160 18 19
1709308747.6970 2083 2173 14 13
1709308747.7051 2099 2186 16 13
1709308747.7128 2115 2203 16 17
1709308747.7216 2131 2222 16 19
