% Edge sensor logfile normalized 'log_20240301_165905.642/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308746.4698 0 0 0 0 0 0 0 0  0.0000
1709308746.4763 0 0 200 842 950 384 0 0  0.0285
1709308746.4852 0 0 228 868 985 413 0 0  0.0302
1709308746.4922 0 0 221 844 960 390 0 0  0.0289
1709308746.5010 0 0 210 857 968 400 0 0  0.0294
1709308746.5090 0 0 237 861 976 408 0 0  0.0299
1709308746.5172 0 0 228 851 965 399 0 0  0.0293
1709308746.5255 0 0 232 851 978 407 0 0  0.0297
1709308746.5324 0 0 235 857 976 407 0 0  0.0298
1709308746.5408 0 0 226 846 965 395 0 0  0.0291
1709308746.5486 0 0 228 870 981 417 0 0  0.0302
1709308746.5564 0 0 221 857 968 407 0 0  0.0296
1709308746.5650 0 0 214 857 966 413 0 0  0.0296
1709308746.5732 0 0 226 846 950 403 0 0  0.0290
1709308746.5813 0 0 226 868 960 418 0 0  0.0299
1709308746.5884 0 0 230 875 958 453 0 0  0.0306
1709308746.5972 0 0 216 822 943 394 0 0  0.0282
1709308746.6042 0 0 221 839 950 385 0 0  0.0286
1709308746.6123 0 0 214 839 938 415 0 0  0.0288
1709308746.6214 0 0 196 813 905 405 0 0  0.0273
1709308746.6285 0 0 203 797 892 412 0 0  0.0268
1709308746.6366 0 0 203 767 884 387 0 0  0.0255
1709308746.6443 0 0 171 736 859 413 0 0  0.0243
1709308746.6524 0 0 157 738 852 389 0 0  0.0239
1709308746.6603 0 0 123 674 828 408 0 0  0.0195
1709308746.6690 0 0 118 630 808 399 0 0  0.0149
1709308746.6766 0 0 118 658 786 422 0 0  0.0156
1709308746.6848 0 0 86 588 768 408 10 0  0.0097
1709308746.6925 0 0 59 541 757 425 14 0  0.0075
1709308746.7008 0 0 43 530 760 474 36 0  0.0081
1709308746.7090 0 0 0 504 738 443 36 0  0.0050
1709308746.7169 0 0 0 447 710 513 59 0  0.0015
1709308746.7249 0 0 0 436 712 535 114 0  0.0019
1709308746.7322 0 0 0 407 728 605 138 0  0.0054
1709308746.7412 0 0 0 360 709 582 178 0  0.0017
1709308746.7484 0 0 0 338 694 660 214 0  0.0000
1709308746.7565 0 0 0 307 689 737 257 0  0.0145
1709308746.7644 0 0 0 268 671 756 315 0  0.0135
1709308746.7723 0 0 0 212 642 798 352 0  0.0145
1709308746.7805 0 0 0 170 621 866 400 0  0.0177
1709308746.7883 0 0 0 102 557 880 489 0  0.0174
1709308746.7964 0 0 0 36 464 880 550 51  0.0168
1709308746.8048 0 0 0 0 391 829 615 108  0.0154
1709308746.8126 0 0 0 0 310 760 650 175  0.0116
