% Edge sensor logfile normalized 'log_20240301_170759.362/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709309280.0416 0 0 0 0 0 435 821 605  0.0150
1709309280.0505 0 0 0 0 0 413 796 591  0.0123
1709309280.0581 0 0 0 0 0 418 789 582  0.0115
1709309280.0659 0 0 0 0 0 426 805 597  0.0134
1709309280.0746 0 0 0 0 0 422 791 582  0.0117
1709309280.0818 0 0 0 0 0 413 796 584  0.0121
1709309280.0903 0 0 0 0 0 426 803 595  0.0132
1709309280.0982 0 0 0 0 0 423 798 582  0.0123
1709309280.1056 0 0 0 0 0 423 787 582  0.0114
1709309280.1143 0 0 0 0 0 428 807 595  0.0135
1709309280.1227 0 0 0 0 0 418 794 588  0.0121
1709309280.1301 0 0 0 0 0 417 801 588  0.0126
1709309280.1382 0 0 0 0 0 423 803 591  0.0130
1709309280.1459 0 0 0 0 0 418 789 580  0.0114
1709309280.1543 0 0 0 0 0 422 791 574  0.0114
1709309280.1619 0 0 0 0 0 435 815 605  0.0146
1709309280.1703 0 0 0 0 0 418 796 580  0.0120
1709309280.1778 0 0 0 0 0 422 800 582  0.0124
1709309280.1861 0 0 0 0 0 426 805 593  0.0132
1709309280.1937 0 0 0 0 0 428 808 607  0.0141
1709309280.2022 0 0 0 0 0 408 785 586  0.0112
1709309280.2099 0 0 0 0 0 415 791 578  0.0115
1709309280.2179 0 0 0 0 0 422 808 591  0.0133
1709309280.2265 0 0 0 0 0 425 801 599  0.0132
1709309280.2347 0 0 0 0 0 423 796 591  0.0124
1709309280.2423 0 0 0 0 0 425 798 595  0.0128
1709309280.2496 0 0 0 0 0 420 801 586  0.0126
1709309280.2582 0 0 0 0 0 417 792 595  0.0122
1709309280.2658 0 0 0 0 0 430 815 603  0.0144
1709309280.2742 0 0 0 0 0 420 792 580  0.0117
1709309280.2819 0 0 0 0 0 422 789 582  0.0115
1709309280.2902 0 0 0 0 0 436 815 597  0.0142
1709309280.2977 0 0 0 0 0 423 798 578  0.0121
1709309280.3061 0 0 0 0 0 412 791 578  0.0114
1709309280.3137 0 0 0 0 0 433 808 607  0.0141
1709309280.3222 0 0 0 0 0 425 800 580  0.0124
1709309280.3298 0 0 0 0 0 422 796 584  0.0122
1709309280.3381 0 0 0 0 0 428 808 607  0.0141
1709309280.3464 0 0 0 0 0 418 796 582  0.0120
1709309280.3539 0 0 0 0 0 431 808 588  0.0133
1709309280.3618 0 0 0 0 0 431 807 599  0.0137
1709309280.3703 0 0 0 0 0 418 791 576  0.0114
1709309280.3778 0 0 0 0 0 425 792 584  0.0119
1709309280.3861 0 0 0 0 0 422 800 580  0.0123
1709309280.3944 0 0 0 0 0 435 810 605  0.0142
1709309280.4020 0 0 0 0 0 420 803 582  0.0126
1709309280.4096 0 0 0 0 0 426 789 576  0.0114
1709309280.4180 0 0 0 0 0 433 810 595  0.0138
1709309280.4263 0 0 0 0 0 417 794 580  0.0118
1709309280.4345 0 0 0 0 0 420 791 591  0.0120
1709309280.4417 0 0 0 0 0 435 814 609  0.0147
1709309280.4503 0 0 0 0 0 417 791 572  0.0113
1709309280.4578 0 0 0 0 0 426 796 578  0.0120
1709309280.4663 0 0 0 0 0 436 812 591  0.0138
1709309280.4738 0 0 0 0 0 430 798 595  0.0128
1709309280.4822 0 0 0 0 0 425 796 584  0.0122
1709309280.4903 0 0 0 0 0 430 815 593  0.0140
1709309280.4981 0 0 0 0 0 423 794 580  0.0119
1709309280.5057 0 0 0 0 0 426 807 586  0.0131
1709309280.5141 0 0 0 0 0 423 810 595  0.0136
1709309280.5217 0 0 0 0 0 403 791 588  0.0117
1709309280.5302 0 0 0 0 0 423 796 584  0.0122
1709309280.5382 0 0 0 0 0 435 817 597  0.0144
1709309280.5457 0 0 0 0 0 425 796 574  0.0118
1709309280.5544 0 0 0 0 0 422 789 580  0.0115
1709309280.5618 0 0 0 0 0 428 812 603  0.0142
1709309280.5705 0 0 0 0 0 430 801 578  0.0124
1709309280.5779 0 0 0 0 0 417 789 584  0.0115
1709309280.5861 0 0 0 0 0 425 785 574  0.0110
1709309280.5938 0 0 0 0 0 430 812 599  0.0140
1709309280.6016 0 0 0 0 0 423 805 593  0.0132
1709309280.6101 0 0 0 0 0 422 798 586  0.0124
1709309280.6176 0 0 0 0 0 425 807 582  0.0130
1709309280.6265 0 0 0 0 0 428 794 586  0.0122
1709309280.6336 0 0 0 0 0 430 801 580  0.0125
1709309280.6425 0 0 0 0 0 423 807 597  0.0135
1709309280.6502 0 0 0 0 0 422 798 593  0.0127
1709309280.6577 0 0 0 0 0 422 796 578  0.0119
1709309280.6663 0 0 0 0 0 435 812 605  0.0144
1709309280.6740 0 0 0 0 0 425 794 586  0.0121
1709309280.6825 0 0 0 0 0 417 794 580  0.0118
1709309280.6899 0 0 0 0 0 438 814 615  0.0150
1709309280.6986 0 0 0 0 0 423 805 582  0.0128
1709309280.7070 0 0 0 0 0 417 791 576  0.0114
1709309280.7147 0 0 0 0 0 428 812 601  0.0141
1709309280.7226 0 0 0 0 0 420 796 591  0.0124
1709309280.7300 0 0 0 0 0 418 800 586  0.0125
1709309280.7384 0 0 0 0 0 425 810 597  0.0138
1709309280.7460 0 0 0 0 0 415 796 584  0.0121
1709309280.7544 0 0 0 0 0 428 803 591  0.0130
1709309280.7624 0 0 0 0 0 422 810 599  0.0138
1709309280.7704 0 0 0 0 0 415 794 574  0.0116
1709309280.7779 0 0 0 0 0 422 805 580  0.0127
1709309280.7862 0 0 0 0 0 420 789 584  0.0116
1709309280.7940 0 0 0 0 0 426 805 603  0.0137
1709309280.8024 0 0 0 0 0 422 785 576  0.0110
1709309280.8101 0 0 0 0 0 420 796 576  0.0119
1709309280.8178 0 0 0 0 0 441 819 603  0.0148
1709309280.8263 0 0 0 0 0 413 792 578  0.0115
1709309280.8336 0 0 0 0 0 418 789 572  0.0111
1709309280.8423 0 0 0 0 0 433 810 601  0.0140
1709309280.8497 0 0 0 0 0 423 805 597  0.0134
1709309280.8585 0 0 0 0 0 420 796 593  0.0125
1709309280.8661 0 0 0 0 0 418 805 599  0.0134
1709309280.8746 0 0 0 0 0 417 801 582  0.0124
1709309280.8824 0 0 0 0 0 426 801 580  0.0125
1709309280.8897 0 0 0 0 0 422 814 603  0.0142
1709309280.8994 0 0 0 0 0 423 801 586  0.0126
1709309280.9058 0 0 0 0 0 426 789 582  0.0116
1709309280.9137 0 0 0 0 0 435 808 599  0.0138
1709309280.9218 0 0 0 0 0 423 798 588  0.0125
1709309280.9297 0 0 0 0 0 417 787 578  0.0112
1709309280.9383 0 0 0 0 0 433 810 599  0.0139
1709309280.9457 0 0 0 0 0 423 808 588  0.0132
1709309280.9544 0 0 0 0 0 418 792 576  0.0115
1709309280.9619 0 0 0 0 0 433 805 605  0.0138
1709309280.9704 0 0 0 0 0 425 800 586  0.0126
1709309280.9777 0 0 0 0 0 425 796 584  0.0122
1709309280.9859 0 0 0 0 0 422 801 582  0.0125
1709309280.9943 0 0 0 0 0 422 805 593  0.0132
1709309281.0018 0 0 0 0 0 415 794 588  0.0121
1709309281.0104 0 0 0 0 0 417 794 578  0.0117
1709309281.0177 0 0 0 0 0 422 800 591  0.0127
1709309281.0262 0 0 0 0 0 436 801 599  0.0133
1709309281.0343 0 0 0 0 0 418 794 578  0.0117
1709309281.0417 0 0 0 0 0 426 805 593  0.0132
1709309281.0504 0 0 0 0 0 425 785 582  0.0112
1709309281.0579 0 0 0 0 0 415 800 584  0.0124
1709309281.0672 0 0 0 0 0 436 810 605  0.0142
1709309281.0737 0 0 0 0 0 426 801 584  0.0126
1709309281.0823 0 0 0 0 0 412 787 576  0.0110
1709309281.0903 0 0 0 0 0 431 814 597  0.0141
1709309281.0978 0 0 0 0 0 422 803 588  0.0128
1709309281.1066 0 0 0 0 0 420 792 586  0.0119
1709309281.1139 0 0 0 0 0 425 803 599  0.0133
1709309281.1226 0 0 0 0 0 422 791 580  0.0116
1709309281.1302 0 0 0 0 0 422 807 584  0.0130
1709309281.1383 0 0 0 0 0 430 815 599  0.0142
1709309281.1458 0 0 0 0 0 422 796 570  0.0117
1709309281.1545 0 0 0 0 0 422 807 580  0.0128
1709309281.1617 0 0 0 0 0 433 812 599  0.0141
1709309281.1706 0 0 0 0 0 422 801 582  0.0125
1709309281.1782 0 0 0 0 0 420 789 582  0.0115
1709309281.1867 0 0 0 0 0 418 792 586  0.0119
1709309281.1942 0 0 0 0 0 438 815 601  0.0144
1709309281.2026 0 0 0 0 0 423 796 570  0.0117
1709309281.2100 0 0 0 0 0 415 782 574  0.0106
1709309281.2186 0 0 0 0 0 438 815 611  0.0149
1709309281.2262 0 0 0 0 0 423 798 582  0.0123
1709309281.2343 0 0 0 0 0 420 798 570  0.0118
1709309281.2420 0 0 0 0 0 428 801 595  0.0130
1709309281.2498 0 0 0 0 0 418 800 584  0.0124
1709309281.2583 0 0 0 0 0 423 801 593  0.0129
1709309281.2658 0 0 0 0 0 426 801 595  0.0130
1709309281.2744 0 0 0 0 0 422 798 582  0.0122
1709309281.2818 0 0 0 0 0 435 805 586  0.0131
1709309281.2901 0 0 0 0 0 420 805 593  0.0132
1709309281.2984 0 0 0 0 0 420 791 588  0.0119
1709309281.3058 0 0 0 0 0 422 807 584  0.0130
1709309281.3144 0 0 0 0 0 433 812 607  0.0144
1709309281.3224 0 0 0 0 0 422 801 578  0.0123
1709309281.3298 0 0 0 0 0 410 784 580  0.0109
1709309281.3378 0 0 0 0 0 431 807 599  0.0137
1709309281.3464 0 0 0 0 0 426 801 588  0.0127
1709309281.3538 0 0 0 0 0 423 792 578  0.0116
1709309281.3625 0 0 0 0 0 430 815 597  0.0142
1709309281.3701 0 0 0 0 0 423 801 588  0.0127
1709309281.3777 0 0 0 0 0 423 787 578  0.0112
1709309281.3857 0 0 0 0 0 420 803 584  0.0127
1709309281.3943 0 0 0 0 0 428 810 591  0.0135
1709309281.4017 0 0 0 0 0 428 798 586  0.0125
1709309281.4103 0 0 0 0 0 425 798 597  0.0129
1709309281.4179 0 0 0 0 0 426 803 591  0.0130
1709309281.4270 0 0 0 0 0 413 796 578  0.0118
1709309281.4341 0 0 0 0 0 425 800 588  0.0127
1709309281.4416 0 0 0 0 0 438 815 603  0.0145
1709309281.4501 0 0 0 0 0 423 798 580  0.0122
1709309281.4578 0 0 0 0 0 422 796 570  0.0117
1709309281.4657 0 0 0 0 0 435 814 601  0.0143
1709309281.4740 0 0 0 0 0 423 805 591  0.0131
1709309281.4827 0 0 0 0 0 422 798 580  0.0122
1709309281.4899 0 0 0 0 0 426 800 595  0.0129
1709309281.4983 0 0 0 0 0 422 798 595  0.0127
1709309281.5059 0 0 0 0 0 420 801 576  0.0122
1709309281.5145 0 0 0 0 0 428 805 599  0.0135
1709309281.5217 0 0 0 0 0 415 789 574  0.0112
1709309281.5303 0 0 0 0 0 426 791 582  0.0117
1709309281.5387 0 0 0 0 0 430 812 601  0.0141
1709309281.5461 0 0 0 0 0 418 789 582  0.0115
1709309281.5537 0 0 0 0 0 415 791 582  0.0116
1709309281.5632 0 0 0 0 0 428 810 595  0.0137
1709309281.5705 0 0 0 0 0 435 785 578  0.0112
1709309281.5780 0 0 0 0 0 417 798 576  0.0120
1709309281.5862 0 0 0 0 0 420 796 580  0.0120
1709309281.5946 0 0 0 0 0 431 810 611  0.0145
1709309281.6022 0 0 0 0 0 420 791 584  0.0117
1709309281.6105 0 0 0 0 0 415 792 582  0.0117
1709309281.6183 0 0 0 0 0 438 812 599  0.0141
1709309281.6259 0 0 0 0 0 430 798 578  0.0122
1709309281.6342 0 0 0 0 0 423 796 586  0.0122
1709309281.6417 0 0 0 0 0 422 808 586  0.0131
1709309281.6505 0 0 0 0 0 425 794 578  0.0118
1709309281.6579 0 0 0 0 0 431 805 597  0.0135
1709309281.6663 0 0 0 0 0 417 808 593  0.0133
1709309281.6739 0 0 0 0 0 412 792 578  0.0115
1709309281.6817 0 0 0 0 0 425 798 586  0.0124
1709309281.6898 0 0 0 0 0 428 808 601  0.0138
1709309281.6982 0 0 0 0 0 418 803 580  0.0125
1709309281.7058 0 0 0 0 0 418 792 574  0.0115
1709309281.7143 0 0 0 0 0 433 803 597  0.0133
1709309281.7219 0 0 0 0 0 420 798 595  0.0127
1709309281.7297 0 0 0 0 0 420 794 578  0.0118
1709309281.7382 0 0 0 0 0 425 807 586  0.0131
1709309281.7466 0 0 0 0 0 420 787 591  0.0117
1709309281.7543 0 0 0 0 0 426 800 584  0.0125
1709309281.7617 0 0 0 0 0 431 814 601  0.0143
1709309281.7703 0 0 0 0 0 423 792 586  0.0119
1709309281.7780 0 0 0 0 0 423 796 574  0.0118
1709309281.7861 0 0 0 0 0 423 807 588  0.0132
1709309281.7945 0 0 0 0 0 425 803 595  0.0132
1709309281.8020 0 0 0 0 0 425 803 586  0.0128
1709309281.8105 0 0 0 0 0 422 794 580  0.0119
1709309281.8182 0 0 0 0 0 435 814 601  0.0143
1709309281.8257 0 0 0 0 0 418 780 582  0.0107
1709309281.8346 0 0 0 0 0 418 796 582  0.0120
1709309281.8422 0 0 0 0 0 422 807 603  0.0138
1709309281.8498 0 0 0 0 0 428 789 591  0.0119
1709309281.8582 0 0 0 0 0 412 789 580  0.0113
1709309281.8658 0 0 0 0 0 431 805 601  0.0136
1709309281.8744 0 0 0 0 0 422 792 591  0.0121
1709309281.8827 0 0 0 0 0 422 794 576  0.0117
1709309281.8898 0 0 0 0 0 423 810 601  0.0139
1709309281.8984 0 0 0 0 0 410 800 588  0.0125
1709309281.9058 0 0 0 0 0 433 803 591  0.0131
1709309281.9144 0 0 0 0 0 428 810 603  0.0140
1709309281.9226 0 0 0 0 0 417 798 584  0.0123
1709309281.9301 0 0 0 0 0 425 801 591  0.0128
1709309281.9383 0 0 0 0 0 428 810 603  0.0140
1709309281.9458 0 0 0 0 0 415 792 570  0.0113
1709309281.9543 0 0 0 0 0 422 794 582  0.0119
1709309281.9619 0 0 0 0 0 418 807 591  0.0132
1709309281.9704 0 0 0 0 0 430 805 597  0.0135
1709309281.9778 0 0 0 0 0 417 792 582  0.0117
1709309281.9861 0 0 0 0 0 418 791 584  0.0117
1709309281.9947 0 0 0 0 0 428 810 601  0.0140
1709309282.0024 0 0 0 0 0 420 794 572  0.0116
1709309282.0103 0 0 0 0 0 420 800 578  0.0122
1709309282.0177 0 0 0 0 0 426 805 593  0.0132
1709309282.0262 0 0 0 0 0 418 794 588  0.0121
1709309282.0344 0 0 0 0 0 425 794 582  0.0120
1709309282.0421 0 0 0 0 0 430 810 599  0.0139
1709309282.0506 0 0 0 0 0 412 785 568  0.0106
1709309282.0579 0 0 0 0 0 433 805 591  0.0132
1709309282.0665 0 0 0 0 0 430 812 601  0.0141
1709309282.0739 0 0 0 0 0 420 796 582  0.0121
1709309282.0826 0 0 0 0 0 420 794 582  0.0119
1709309282.0898 0 0 0 0 0 426 810 584  0.0133
1709309282.0983 0 0 0 0 0 425 791 595  0.0122
1709309282.1067 0 0 0 0 0 413 789 580  0.0114
1709309282.1143 0 0 0 0 0 428 808 599  0.0137
1709309282.1227 0 0 0 0 0 426 792 593  0.0122
1709309282.1303 0 0 0 0 0 420 792 568  0.0113
1709309282.1385 0 0 0 0 0 433 810 599  0.0139
1709309282.1460 0 0 0 0 0 420 801 595  0.0129
1709309282.1544 0 0 0 0 0 415 789 588  0.0117
1709309282.1620 0 0 0 0 0 423 807 603  0.0138
1709309282.1704 0 0 0 0 0 415 800 566  0.0118
1709309282.1781 0 0 0 0 0 418 794 588  0.0121
1709309282.1863 0 0 0 0 0 420 805 595  0.0132
1709309282.1946 0 0 0 0 0 430 808 605  0.0140
1709309282.2021 0 0 0 0 0 412 782 574  0.0106
1709309282.2107 0 0 0 0 0 430 801 580  0.0125
1709309282.2180 0 0 0 0 0 433 808 597  0.0137
1709309282.2266 0 0 0 0 0 418 796 578  0.0119
1709309282.2347 0 0 0 0 0 423 789 584  0.0116
1709309282.2420 0 0 0 0 0 430 814 603  0.0144
1709309282.2506 0 0 0 0 0 431 800 599  0.0132
1709309282.2582 0 0 0 0 0 418 792 574  0.0115
1709309282.2666 0 0 0 0 0 430 805 593  0.0133
1709309282.2742 0 0 0 0 0 415 796 586  0.0122
1709309282.2828 0 0 0 0 0 422 792 599  0.0124
1709309282.2898 0 0 0 0 0 436 807 599  0.0138
1709309282.2984 0 0 0 0 0 412 792 574  0.0114
1709309282.3061 0 0 0 0 0 420 791 580  0.0116
1709309282.3146 0 0 0 0 0 430 800 599  0.0132
1709309282.3222 0 0 0 0 0 422 796 584  0.0122
1709309282.3306 0 0 0 0 0 420 801 578  0.0123
1709309282.3387 0 0 0 0 0 426 801 603  0.0134
1709309282.3462 0 0 0 0 0 428 791 584  0.0118
1709309282.3538 0 0 0 0 0 426 803 586  0.0128
1709309282.3623 0 0 0 0 0 425 805 595  0.0133
1709309282.3699 0 0 0 0 0 425 794 588  0.0122
1709309282.3783 0 0 0 0 0 417 787 582  0.0113
1709309282.3863 0 0 0 0 0 428 792 582  0.0118
1709309282.3938 0 0 0 0 0 433 812 593  0.0138
1709309282.4024 0 0 0 0 0 420 794 595  0.0124
1709309282.4098 0 0 0 0 0 418 801 586  0.0126
1709309282.4183 0 0 0 0 0 422 801 601  0.0132
1709309282.4266 0 0 0 0 0 417 792 580  0.0116
1709309282.4347 0 0 0 0 0 428 798 574  0.0120
1709309282.4423 0 0 0 0 0 428 801 595  0.0130
1709309282.4499 0 0 0 0 0 407 782 578  0.0106
1709309282.4583 0 0 0 0 0 425 803 586  0.0128
1709309282.4667 0 0 0 0 0 420 800 582  0.0124
1709309282.4742 0 0 0 0 0 422 798 582  0.0122
1709309282.4826 0 0 0 0 0 418 794 570  0.0115
1709309282.4897 0 0 0 0 0 428 808 593  0.0135
1709309282.4984 0 0 0 0 0 417 796 591  0.0124
1709309282.5057 0 0 0 0 0 422 789 574  0.0113
1709309282.5141 0 0 0 0 0 423 805 593  0.0132
1709309282.5217 0 0 0 0 0 423 800 582  0.0124
1709309282.5301 0 0 0 0 0 425 800 595  0.0129
1709309282.5383 0 0 0 0 0 435 810 605  0.0142
1709309282.5459 0 0 0 0 0 422 787 582  0.0114
1709309282.5541 0 0 0 0 0 422 791 568  0.0112
1709309282.5617 0 0 0 0 0 443 808 601  0.0140
1709309282.5703 0 0 0 0 0 422 789 576  0.0113
1709309282.5787 0 0 0 0 0 417 792 568  0.0112
1709309282.5858 0 0 0 0 0 425 800 588  0.0127
1709309282.5944 0 0 0 0 0 426 812 603  0.0142
1709309282.6026 0 0 0 0 0 423 800 580  0.0123
1709309282.6101 0 0 0 0 0 420 789 580  0.0114
1709309282.6187 0 0 0 0 0 436 814 597  0.0142
1709309282.6260 0 0 0 0 0 422 796 580  0.0120
1709309282.6343 0 0 0 0 0 415 791 578  0.0115
1709309282.6427 0 0 0 0 0 431 821 595  0.0145
1709309282.6501 0 0 0 0 0 415 803 586  0.0127
1709309282.6577 0 0 0 0 0 415 794 584  0.0119
1709309282.6663 0 0 0 0 0 433 812 603  0.0143
1709309282.6737 0 0 0 0 0 412 798 574  0.0119
1709309282.6822 0 0 0 0 0 425 794 586  0.0121
1709309282.6906 0 0 0 0 0 433 810 597  0.0139
1709309282.6980 0 0 0 0 0 417 789 586  0.0116
1709309282.7067 0 0 0 0 0 420 798 586  0.0124
1709309282.7142 0 0 0 0 0 435 822 609  0.0152
1709309282.7227 0 0 0 0 0 423 787 578  0.0112
1709309282.7302 0 0 0 0 0 420 792 586  0.0119
1709309282.7386 0 0 0 0 0 426 812 599  0.0140
1709309282.7462 0 0 0 0 0 422 796 584  0.0122
1709309282.7538 0 0 0 0 0 420 794 584  0.0120
1709309282.7626 0 0 0 0 0 425 798 593  0.0127
1709309282.7700 0 0 0 0 0 423 798 582  0.0123
1709309282.7786 0 0 0 0 0 415 792 578  0.0116
1709309282.7859 0 0 0 0 0 417 796 574  0.0118
1709309282.7944 0 0 0 0 0 426 814 595  0.0140
1709309282.8022 0 0 0 0 0 413 792 580  0.0116
1709309282.8097 0 0 0 0 0 435 805 591  0.0133
1709309282.8182 0 0 0 0 0 426 814 597  0.0140
1709309282.8258 0 0 0 0 0 410 789 570  0.0110
1709309282.8342 0 0 0 0 0 428 803 595  0.0132
1709309282.8416 0 0 0 0 0 426 805 601  0.0136
1709309282.8503 0 0 0 0 0 417 794 576  0.0117
1709309282.8580 0 0 0 0 0 422 801 586  0.0126
1709309282.8664 0 0 0 0 0 433 810 597  0.0139
1709309282.8738 0 0 0 0 0 425 798 580  0.0122
1709309282.8824 0 0 0 0 0 422 785 584  0.0113
1709309282.8904 0 0 0 0 0 423 803 597  0.0132
1709309282.8979 0 0 0 0 0 420 787 584  0.0114
1709309282.9066 0 0 0 0 0 420 800 588  0.0126
1709309282.9137 0 0 0 0 0 423 807 597  0.0135
1709309282.9220 0 0 0 0 0 425 789 580  0.0115
1709309282.9306 0 0 0 0 0 413 798 584  0.0122
1709309282.9386 0 0 0 0 0 430 805 609  0.0140
1709309282.9462 0 0 0 0 0 410 796 584  0.0120
1709309282.9538 0 0 0 0 0 423 792 586  0.0119
1709309282.9621 0 0 0 0 0 436 819 611  0.0151
1709309282.9697 0 0 0 0 0 415 792 580  0.0116
1709309282.9784 0 0 0 0 0 418 791 568  0.0112
1709309282.9864 0 0 0 0 0 426 798 584  0.0124
1709309282.9940 0 0 0 0 0 438 814 607  0.0146
1709309283.0026 0 0 0 0 0 418 787 582  0.0113
1709309283.0106 0 0 0 0 0 422 792 584  0.0118
1709309283.0177 0 0 0 0 0 431 807 601  0.0138
1709309283.0268 0 0 0 0 0 417 791 593  0.0120
1709309283.0345 0 0 0 0 0 426 796 582  0.0121
1709309283.0421 0 0 0 0 0 431 808 595  0.0136
1709309283.0509 0 0 0 0 0 418 789 578  0.0113
1709309283.0584 0 0 0 0 0 426 796 582  0.0121
1709309283.0662 0 0 0 0 0 431 814 601  0.0143
1709309283.0752 0 0 0 0 0 417 785 578  0.0110
1709309283.0825 0 0 0 0 0 423 800 576  0.0122
1709309283.0906 0 0 0 0 0 431 822 601  0.0148
1709309283.0991 0 0 0 0 0 413 800 582  0.0123
1709309283.1066 0 0 0 0 0 413 796 582  0.0120
1709309283.1141 0 0 0 0 0 428 807 603  0.0138
1709309283.1217 0 0 0 0 0 425 796 591  0.0125
1709309283.1301 0 0 0 0 0 428 796 582  0.0122
1709309283.1383 0 0 0 0 0 420 807 586  0.0130
1709309283.1460 0 0 0 0 0 412 789 586  0.0116
1709309283.1545 0 0 0 0 0 430 800 591  0.0128
1709309283.1622 0 0 0 0 0 430 812 595  0.0139
1709309283.1700 0 0 0 0 0 422 798 591  0.0126
1709309283.1784 0 0 0 0 0 417 794 593  0.0123
1709309283.1866 0 0 0 0 0 418 794 570  0.0115
1709309283.1942 0 0 0 0 0 426 800 588  0.0127
1709309283.2017 0 0 0 0 0 412 784 574  0.0107
1709309283.2105 0 0 0 0 0 426 803 588  0.0129
1709309283.2181 0 0 0 0 0 431 817 599  0.0144
1709309283.2266 0 0 0 0 0 412 782 566  0.0103
1709309283.2340 0 0 0 0 0 418 796 593  0.0125
1709309283.2419 0 0 0 0 0 426 810 588  0.0134
1709309283.2504 0 0 0 0 0 408 780 572  0.0103
1709309283.2582 0 0 0 0 0 415 798 584  0.0122
1709309283.2659 0 0 0 0 0 433 812 588  0.0136
1709309283.2742 0 0 0 0 0 417 800 578  0.0122
1709309283.2819 0 0 0 0 0 418 796 574  0.0118
