% Edge sensor logfile normalized 'log_20240301_170759.362/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709309279.4823 0 0 0 0 0 0 0 0  0.0000
1709309279.4902 0 0 0 0 0 415 800 584  0.0124
1709309279.4981 0 0 0 0 0 408 796 578  0.0118
1709309279.5065 0 0 0 0 0 408 796 578  0.0118
1709309279.5140 0 0 0 0 0 415 814 607  0.0143
1709309279.5226 0 0 0 0 0 402 794 584  0.0118
1709309279.5300 0 0 0 0 0 410 796 570  0.0115
1709309279.5380 0 0 0 0 0 422 812 601  0.0140
1709309279.5466 0 0 0 0 0 413 798 580  0.0121
1709309279.5541 0 0 0 0 0 408 800 582  0.0122
1709309279.5618 0 0 0 0 0 417 817 597  0.0141
1709309279.5705 0 0 0 0 0 410 803 580  0.0124
1709309279.5781 0 0 0 0 0 420 805 593  0.0132
1709309279.5861 0 0 0 0 0 399 787 580  0.0110
1709309279.5937 0 0 0 0 0 418 815 595  0.0139
1709309279.6022 0 0 0 0 0 420 800 588  0.0126
1709309279.6099 0 0 0 0 0 410 792 578  0.0115
1709309279.6186 0 0 0 0 0 430 801 593  0.0130
1709309279.6270 0 0 0 0 0 423 796 570  0.0117
1709309279.6342 0 0 0 0 0 418 787 586  0.0115
1709309279.6419 0 0 0 0 0 431 807 603  0.0139
1709309279.6504 0 0 0 0 0 412 785 580  0.0110
1709309279.6580 0 0 0 0 0 420 794 586  0.0121
1709309279.6657 0 0 0 0 0 430 817 607  0.0147
1709309279.6741 0 0 0 0 0 418 789 574  0.0112
1709309279.6817 0 0 0 0 0 412 798 572  0.0118
1709309279.6900 0 0 0 0 0 428 817 591  0.0140
1709309279.6985 0 0 0 0 0 418 792 591  0.0121
1709309279.7061 0 0 0 0 0 418 796 586  0.0122
1709309279.7137 0 0 0 0 0 430 810 599  0.0139
1709309279.7221 0 0 0 0 0 431 791 593  0.0122
1709309279.7298 0 0 0 0 0 423 800 582  0.0124
1709309279.7381 0 0 0 0 0 422 798 586  0.0124
1709309279.7466 0 0 0 0 0 422 785 578  0.0111
1709309279.7542 0 0 0 0 0 425 791 586  0.0119
1709309279.7628 0 0 0 0 0 435 812 599  0.0141
1709309279.7702 0 0 0 0 0 425 800 570  0.0120
1709309279.7778 0 0 0 0 0 418 791 578  0.0115
1709309279.7862 0 0 0 0 0 425 792 582  0.0118
1709309279.7947 0 0 0 0 0 426 810 601  0.0139
1709309279.8023 0 0 0 0 0 425 800 580  0.0124
1709309279.8100 0 0 0 0 0 422 796 574  0.0118
1709309279.8185 0 0 0 0 0 417 807 591  0.0132
1709309279.8261 0 0 0 0 0 420 796 580  0.0120
1709309279.8350 0 0 0 0 0 422 791 580  0.0116
1709309279.8426 0 0 0 0 0 428 803 593  0.0131
1709309279.8505 0 0 0 0 0 428 800 588  0.0127
1709309279.8582 0 0 0 0 0 423 789 582  0.0115
1709309279.8658 0 0 0 0 0 425 800 601  0.0132
1709309279.8737 0 0 0 0 0 426 800 591  0.0128
1709309279.8826 0 0 0 0 0 422 801 578  0.0123
1709309279.8898 0 0 0 0 0 435 805 601  0.0137
1709309279.8985 0 0 0 0 0 422 789 574  0.0113
1709309279.9063 0 0 0 0 0 420 792 580  0.0117
1709309279.9136 0 0 0 0 0 426 815 603  0.0144
1709309279.9221 0 0 0 0 0 420 791 582  0.0117
1709309279.9297 0 0 0 0 0 418 789 570  0.0111
1709309279.9378 0 0 0 0 0 423 803 595  0.0131
1709309279.9463 0 0 0 0 0 418 794 580  0.0118
1709309279.9539 0 0 0 0 0 418 800 597  0.0129
1709309279.9624 0 0 0 0 0 422 812 588  0.0135
1709309279.9700 0 0 0 0 0 418 791 578  0.0115
1709309279.9776 0 0 0 0 0 430 798 586  0.0125
1709309279.9866 0 0 0 0 0 417 789 586  0.0116
1709309279.9944 0 0 0 0 0 423 807 593  0.0133
1709309280.0021 0 0 0 0 0 423 800 580  0.0123
1709309280.0106 0 0 0 0 0 420 800 593  0.0128
1709309280.0182 0 0 0 0 0 426 807 591  0.0133
1709309280.0258 0 0 0 0 0 415 794 580  0.0118
1709309280.0339 0 0 0 0 0 415 791 588  0.0118
