% Edge sensor logfile normalized 'log_20240301_165655.447/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308616.4734 0 0 0 0 0 0 0 0  0.0000
1709308616.4814 0 0 531 1000 700 159 0 0  0.0281
1709308616.4893 0 0 550 1000 702 165 0 0  0.0286
1709308616.4967 0 0 550 1000 714 165 0 0  0.0290
1709308616.5042 0 0 545 1000 720 172 0 0  0.0291
1709308616.5128 0 0 550 1000 704 157 0 0  0.0287
1709308616.5201 0 0 559 1000 719 164 0 0  0.0294
1709308616.5281 0 0 561 1000 723 170 0 0  0.0296
1709308616.5367 0 0 541 1000 699 154 0 0  0.0283
1709308616.5453 0 0 552 1000 714 170 0 0  0.0291
1709308616.5532 0 0 536 1000 709 167 0 0  0.0285
1709308616.5610 0 0 552 1000 704 169 0 0  0.0288
1709308616.5687 0 0 561 1000 714 165 0 0  0.0293
1709308616.5771 0 0 550 1000 712 155 0 0  0.0289
1709308616.5852 0 0 554 1000 710 165 0 0  0.0290
1709308616.5928 0 0 552 1000 722 174 0 0  0.0293
1709308616.6008 0 0 543 1000 704 151 0 0  0.0285
1709308616.6089 0 0 545 1000 704 144 0 0  0.0286
1709308616.6169 0 0 547 1000 709 152 0 0  0.0288
1709308616.6246 0 0 554 1000 712 167 0 0  0.0291
1709308616.6328 0 0 543 1000 714 160 0 0  0.0288
1709308616.6407 0 0 527 1000 715 177 0 0  0.0285
1709308616.6486 0 0 529 1000 720 167 0 0  0.0287
1709308616.6575 0 0 529 1000 719 165 0 0  0.0286
1709308616.6648 0 0 534 1000 715 180 0 0  0.0287
1709308616.6725 0 0 529 1000 733 180 0 0  0.0291
1709308616.6807 0 0 543 1000 738 170 0 0  0.0295
1709308616.6882 0 0 531 1000 730 177 0 0  0.0290
1709308616.6970 0 0 534 1000 740 192 0 0  0.0294
1709308616.7057 0 0 536 1000 743 193 0 0  0.0296
1709308616.7121 0 0 538 1000 740 198 0 0  0.0295
1709308616.7210 0 0 531 1000 737 188 0 0  0.0293
1709308616.7293 0 0 536 1000 742 185 0 0  0.0295
1709308616.7369 0 0 527 1000 745 211 0 0  0.0295
1709308616.7451 0 0 547 1000 758 215 0 0  0.0303
1709308616.7537 0 0 552 1000 775 208 0 0  0.0309
1709308616.7612 0 0 543 1000 771 211 0 0  0.0306
1709308616.7689 0 0 552 1000 775 205 0 0  0.0309
1709308616.7771 0 0 552 1000 786 215 0 0  0.0312
1709308616.7847 0 0 518 1000 778 208 0 0  0.0302
1709308616.7924 0 0 531 1000 785 201 0 0  0.0306
1709308616.8009 0 0 531 1000 790 215 0 0  0.0308
1709308616.8084 0 0 513 1000 783 215 0 0  0.0302
1709308616.8171 0 0 536 1000 790 211 0 0  0.0309
1709308616.8254 0 0 520 1000 788 213 0 0  0.0305
1709308616.8330 0 0 520 1000 785 216 0 0  0.0304
1709308616.8408 0 0 543 1000 804 228 0 0  0.0315
1709308616.8494 0 0 522 1000 795 216 0 0  0.0307
1709308616.8571 0 0 522 1000 781 206 0 0  0.0303
1709308616.8652 0 0 527 1000 800 231 0 0  0.0310
1709308616.8732 0 0 525 1000 800 228 0 0  0.0310
1709308616.8804 0 0 543 1000 800 221 0 0  0.0314
1709308616.8890 0 0 534 1000 783 210 0 0  0.0307
1709308616.8969 0 0 538 1000 786 193 0 0  0.0308
1709308616.9044 0 0 543 1000 790 211 0 0  0.0311
1709308616.9132 0 0 534 1000 763 187 0 0  0.0301
1709308616.9209 0 0 545 1000 776 198 0 0  0.0307
1709308616.9292 0 0 568 1000 770 213 0 0  0.0312
1709308616.9367 0 0 552 1000 752 174 0 0  0.0302
1709308616.9455 0 0 563 1000 761 182 0 0  0.0307
1709308616.9531 0 0 561 1000 757 180 0 0  0.0306
1709308616.9605 0 0 566 1000 745 182 0 0  0.0304
1709308616.9693 0 0 575 1000 742 187 0 0  0.0305
1709308616.9765 0 0 575 1000 723 172 0 0  0.0300
1709308616.9852 0 0 568 1000 727 169 0 0  0.0299
1709308616.9928 0 0 593 1000 725 162 0 0  0.0305
1709308617.0004 0 0 573 1000 735 162 0 0  0.0302
1709308617.0088 0 0 575 1000 737 157 0 0  0.0303
1709308617.0176 0 0 605 1000 750 162 0 0  0.0316
1709308617.0246 0 0 616 1000 750 177 0 0  0.0320
1709308617.0323 0 0 616 1000 738 155 0 0  0.0317
1709308617.0411 0 0 598 1000 737 142 0 0  0.0310
1709308617.0487 0 0 611 1000 738 151 0 0  0.0315
1709308617.0565 0 0 600 1000 715 146 0 0  0.0305
1709308617.0652 0 0 595 1000 714 146 0 0  0.0303
1709308617.0726 0 0 602 1000 714 151 0 0  0.0305
1709308617.0810 0 0 611 1000 727 165 0 0  0.0312
1709308617.0888 0 0 607 1000 732 151 0 0  0.0312
1709308617.0964 0 0 609 1000 733 157 0 0  0.0313
1709308617.1043 0 0 602 1000 722 152 0 0  0.0307
1709308617.1135 0 0 607 1000 723 149 0 0  0.0309
1709308617.1210 0 0 614 1000 719 147 0 0  0.0310
1709308617.1285 0 0 609 1000 719 146 0 0  0.0309
1709308617.1374 0 0 609 1000 705 147 0 0  0.0304
1709308617.1442 0 0 607 1000 714 152 0 0  0.0307
1709308617.1522 0 0 632 1000 725 159 0 0  0.0319
1709308617.1612 0 0 609 1000 732 141 0 0  0.0312
1709308617.1688 0 0 600 1000 740 164 0 0  0.0312
1709308617.1763 0 0 616 1000 757 183 0 0  0.0322
1709308617.1852 0 0 575 1000 760 177 0 0  0.0310
1709308617.1929 0 0 577 1000 770 169 0 0  0.0313
1709308617.2008 0 0 573 1000 776 195 0 0  0.0314
1709308617.2096 0 0 552 1000 766 192 0 0  0.0306
1709308617.2164 0 0 568 1000 778 195 0 0  0.0313
1709308617.2250 0 0 552 1000 781 203 0 0  0.0310
1709308617.2327 0 0 538 1000 783 206 0 0  0.0307
1709308617.2403 0 0 538 1000 803 218 0 0  0.0313
1709308617.2489 0 0 522 1000 811 238 0 0  0.0312
1709308617.2577 0 0 513 1000 803 228 0 0  0.0308
1709308617.2652 0 0 513 1000 829 236 0 0  0.0314
1709308617.2729 0 0 497 1000 816 236 0 0  0.0308
1709308617.2814 0 0 479 1000 834 249 0 0  0.0309
1709308617.2890 0 0 463 1000 811 239 0 0  0.0300
1709308617.2964 0 0 472 1000 826 251 0 0  0.0306
1709308617.3051 0 0 465 1000 836 269 0 0  0.0309
1709308617.3127 0 0 442 1000 818 239 0 0  0.0299
1709308617.3204 0 0 438 981 826 257 0 0  0.0298
1709308617.3297 0 0 429 978 836 257 0 0  0.0299
1709308617.3365 0 0 404 963 824 264 0 0  0.0290
1709308617.3452 0 0 399 948 826 272 0 0  0.0288
1709308617.3529 0 0 383 948 823 279 0 0  0.0285
1709308617.3610 0 0 374 926 818 264 0 0  0.0278
1709308617.3687 0 0 388 932 846 295 0 0  0.0290
1709308617.3772 0 0 374 941 854 292 0 0  0.0291
1709308617.3847 0 0 381 946 857 290 0 0  0.0294
1709308617.3927 0 0 383 956 887 313 0 0  0.0304
1709308617.4016 0 0 381 963 895 330 0 0  0.0308
1709308617.4085 0 0 365 952 914 334 0 0  0.0308
1709308617.4166 0 0 337 936 914 356 0 0  0.0305
1709308617.4254 0 0 331 908 909 374 0 0  0.0300
1709308617.4330 0 0 312 888 914 382 0 0  0.0296
1709308617.4408 0 0 289 864 920 397 0 0  0.0292
1709308617.4496 0 0 264 848 932 410 0 0  0.0291
1709308617.4572 0 0 255 846 943 425 0 0  0.0294
1709308617.4646 0 0 251 851 965 417 0 0  0.0297
1709308617.4734 0 0 226 831 971 461 0 0  0.0300
1709308617.4807 0 0 196 817 973 467 0 0  0.0296
1709308617.4884 0 0 189 800 975 474 0 0  0.0294
1709308617.4975 0 0 187 800 990 499 0 0  0.0301
1709308617.5042 0 0 152 769 975 507 3 0  0.0291
1709308617.5124 0 0 127 742 966 517 10 0  0.0285
1709308617.5214 0 0 127 742 978 515 22 0  0.0286
1709308617.5286 0 0 111 727 973 522 17 0  0.0283
1709308617.5365 0 0 105 725 973 518 17 0  0.0281
1709308617.5456 0 0 109 723 991 532 33 0  0.0287
1709308617.5522 0 0 98 734 1000 541 38 0  0.0293
