% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709308616.4692 0 0 0 0
1709308616.4767 0 0 0 0
1709308616.4845 0 0 0 0
1709308616.4920 0 0 0 0
1709308616.4999 0 0 0 0
1709308616.5079 0 0 0 0
1709308616.5166 0 0 0 0
1709308616.5252 0 0 0 0
1709308616.5319 0 0 0 0
1709308616.5405 0 0 0 0
1709308616.5488 0 0 0 0
1709308616.5560 0 0 0 0
1709308616.5638 0 0 0 0
1709308616.5735 0 0 0 0
1709308616.5800 0 0 0 0
1709308616.5891 0 0 0 0
1709308616.5971 0 0 0 0
1709308616.6046 2 2 2 2
1709308616.6129 5 4 3 2
1709308616.6210 11 9 6 5
1709308616.6285 15 10 4 1
1709308616.6368 16 10 1 0
1709308616.6448 17 12 1 2
1709308616.6525 20 14 3 2
1709308616.6602 24 18 4 4
1709308616.6687 28 20 4 2
1709308616.6769 32 22 4 2
1709308616.6845 38 24 6 2
1709308616.6932 43 27 5 3
1709308616.7007 49 31 6 4
1709308616.7082 55 34 6 3
1709308616.7172 62 37 7 3
1709308616.7243 67 39 5 2
1709308616.7331 73 43 6 4
1709308616.7412 81 49 8 6
1709308616.7489 89 52 8 3
1709308616.7564 98 53 9 1
1709308616.7651 106 58 8 5
1709308616.7726 113 62 7 4
1709308616.7810 120 66 7 4
1709308616.7886 128 69 8 3
1709308616.7961 136 75 8 6
1709308616.8047 143 81 7 6
1709308616.8134 151 87 8 6
1709308616.8209 158 90 7 3
1709308616.8282 166 93 8 3
1709308616.8370 175 98 9 5
1709308616.8444 181 103 6 5
1709308616.8522 187 108 6 5
1709308616.8613 195 111 8 3
1709308616.8690 201 117 6 6
1709308616.8767 210 122 9 5
1709308616.8855 215 124 5 2
1709308616.8929 221 127 6 3
1709308616.9007 230 133 9 6
1709308616.9094 238 138 8 5
1709308616.9170 243 141 5 3
1709308616.9243 250 144 7 3
1709308616.9340 258 150 8 6
1709308616.9405 264 154 6 4
1709308616.9482 270 159 6 5
1709308616.9571 276 162 6 3
1709308616.9643 284 166 8 4
1709308616.9731 290 174 6 8
1709308616.9814 295 181 5 7
1709308616.9890 301 185 6 4
1709308616.9966 309 188 8 3
1709308617.0060 316 193 7 5
1709308617.0126 321 200 5 7
1709308617.0203 327 205 6 5
1709308617.0296 335 208 8 3
1709308617.0361 341 213 6 5
1709308617.0449 348 221 7 8
1709308617.0527 352 227 4 6
1709308617.0603 358 231 6 4
1709308617.0689 367 233 9 2
1709308617.0773 374 237 7 4
1709308617.0848 379 245 5 8
1709308617.0926 385 252 6 7
1709308617.1016 390 255 5 3
1709308617.1081 396 256 6 1
1709308617.1162 402 263 6 7
1709308617.1258 407 270 5 7
1709308617.1324 411 274 4 4
1709308617.1404 418 278 7 4
1709308617.1494 423 283 5 5
1709308617.1571 428 290 5 7
1709308617.1650 435 294 7 4
1709308617.1730 441 298 6 4
1709308617.1812 446 303 5 5
1709308617.1891 450 309 4 6
1709308617.1970 455 314 5 5
1709308617.2045 463 318 8 4
1709308617.2124 469 324 6 6
1709308617.2216 474 330 5 6
1709308617.2288 479 337 5 7
1709308617.2365 485 341 6 4
1709308617.2453 493 347 8 6
1709308617.2527 498 355 5 8
1709308617.2604 503 360 5 5
1709308617.2691 510 365 7 5
1709308617.2764 517 371 7 6
1709308617.2852 526 379 9 8
1709308617.2938 531 384 5 5
1709308617.3002 536 387 5 3
1709308617.3089 542 392 6 5
1709308617.3177 549 398 7 6
1709308617.3248 555 403 6 5
1709308617.3325 561 408 6 5
1709308617.3414 566 413 5 5
1709308617.3490 572 418 6 5
1709308617.3571 578 425 6 7
1709308617.3649 586 430 8 5
1709308617.3724 594 434 8 4
1709308617.3810 599 437 5 3
1709308617.3888 604 440 5 3
1709308617.3966 610 447 6 7
1709308617.4044 619 455 9 8
1709308617.4136 625 458 6 3
1709308617.4208 630 459 5 1
1709308617.4292 636 463 6 4
1709308617.4370 645 469 9 6
1709308617.4446 653 475 8 6
1709308617.4523 657 478 4 3
1709308617.4609 661 480 4 2
1709308617.4684 670 485 9 5
1709308617.4769 677 490 7 5
1709308617.4857 684 494 7 4
1709308617.4923 691 497 7 3
1709308617.5003 699 499 8 2
1709308617.5095 707 504 8 5
1709308617.5163 715 508 8 4
1709308617.5248 722 514 7 6
1709308617.5337 728 517 6 3
1709308617.5406 735 517 7 0
1709308617.5484 743 522 8 5
1709308617.5572 749 529 6 7
1709308617.5647 757 535 8 6
1709308617.5724 766 539 9 4
1709308617.5808 772 540 6 1
1709308617.5885 778 543 6 3
1709308617.5967 785 547 7 4
1709308617.6055 793 552 8 5
1709308617.6129 801 556 8 4
1709308617.6206 809 559 8 3
1709308617.6290 819 562 10 3
1709308617.6365 828 565 9 3
1709308617.6447 835 569 7 4
1709308617.6537 845 572 10 3
1709308617.6602 854 575 9 3
1709308617.6690 862 578 8 3
1709308617.6775 868 582 6 4
1709308617.6851 876 585 8 3
1709308617.6922 884 587 8 2
1709308617.7009 893 592 9 5
1709308617.7085 900 597 7 5
1709308617.7163 906 602 6 5
1709308617.7263 914 605 8 3
1709308617.7329 923 607 9 2
1709308617.7409 932 611 9 4
1709308617.7497 937 617 5 6
1709308617.7563 943 622 6 5
1709308617.7652 950 627 7 5
1709308617.7731 957 628 7 1
1709308617.7804 968 631 11 3
1709308617.7882 973 636 5 5
1709308617.7970 978 642 5 6
1709308617.8046 985 646 7 4
1709308617.8123 993 649 8 3
1709308617.8211 999 654 6 5
1709308617.8282 1004 661 5 7
1709308617.8369 1010 667 6 6
1709308617.8459 1018 668 8 1
1709308617.8524 1027 670 9 2
1709308617.8602 1033 675 6 5
1709308617.8691 1037 680 4 5
1709308617.8764 1043 684 6 4
1709308617.8851 1051 687 8 3
1709308617.8929 1057 693 6 6
1709308617.9006 1066 699 9 6
1709308617.9085 1073 703 7 4
1709308617.9173 1079 705 6 2
1709308617.9244 1084 710 5 5
1709308617.9332 1090 717 6 7
1709308617.9409 1097 722 7 5
1709308617.9491 1106 726 9 4
1709308617.9570 1113 728 7 2
1709308617.9648 1117 734 4 6
1709308617.9721 1122 741 5 7
1709308617.9805 1130 743 8 2
1709308617.9893 1139 744 9 1
1709308617.9969 1148 749 9 5
1709308618.0046 1154 756 6 7
1709308618.0133 1160 761 6 5
1709308618.0208 1167 762 7 1
1709308618.0292 1176 765 9 3
1709308618.0369 1183 771 7 6
1709308618.0445 1188 777 5 6
1709308618.0522 1195 782 7 5
1709308618.0618 1202 784 7 2
1709308618.0683 1208 789 6 5
1709308618.0766 1215 793 7 4
1709308618.0853 1221 797 6 4
1709308618.0929 1229 801 8 4
1709308618.1007 1236 804 7 3
1709308618.1093 1243 809 7 5
1709308618.1168 1250 815 7 6
1709308618.1252 1256 819 6 4
1709308618.1329 1263 822 7 3
1709308618.1407 1270 827 7 5
1709308618.1492 1276 830 6 3
1709308618.1569 1283 836 7 6
1709308618.1645 1290 841 7 5
1709308618.1725 1297 845 7 4
1709308618.1809 1304 846 7 1
1709308618.1885 1312 851 8 5
1709308618.1972 1319 857 7 6
1709308618.2049 1325 861 6 4
1709308618.2124 1332 865 7 4
1709308618.2212 1339 869 7 4
1709308618.2298 1347 875 8 6
1709308618.2363 1354 880 7 5
1709308618.2450 1361 883 7 3
1709308618.2538 1367 886 6 3
1709308618.2603 1374 890 7 4
1709308618.2691 1381 897 7 7
1709308618.2775 1388 901 7 4
1709308618.2849 1395 905 7 4
1709308618.2927 1404 908 9 3
1709308618.3016 1410 915 6 7
1709308618.3091 1415 920 5 5
1709308618.3171 1422 923 7 3
1709308618.3262 1430 925 8 2
1709308618.3325 1437 929 7 4
1709308618.3405 1445 935 8 6
1709308618.3493 1451 940 6 5
1709308618.3569 1456 945 5 5
1709308618.3647 1463 948 7 3
1709308618.3733 1471 951 8 3
1709308618.3804 1477 957 6 6
1709308618.3892 1484 961 7 4
1709308618.3970 1490 963 6 2
1709308618.4045 1499 967 9 4
1709308618.4123 1506 971 7 4
1709308618.4208 1512 974 6 3
1709308618.4291 1518 977 6 3
1709308618.4369 1526 982 8 5
1709308618.4457 1534 988 8 6
1709308618.4522 1541 993 7 5
1709308618.4610 1547 995 6 2
1709308618.4695 1554 998 7 3
1709308618.4767 1561 1002 7 4
1709308618.4844 1568 1010 7 8
1709308618.4932 1575 1015 7 5
1709308618.5008 1582 1016 7 1
1709308618.5084 1589 1020 7 4
1709308618.5184 1596 1025 7 5
1709308618.5264 1602 1029 6 4
1709308618.5322 1610 1034 8 5
1709308618.5417 1618 1038 8 4
1709308618.5483 1623 1041 5 3
1709308618.5571 1629 1046 6 5
1709308618.5663 1636 1051 7 5
1709308618.5729 1645 1056 9 5
1709308618.5810 1654 1060 9 4
1709308618.5900 1659 1063 5 3
1709308618.5966 1664 1068 5 5
1709308618.6043 1671 1071 7 3
1709308618.6147 1678 1076 7 5
1709308618.6202 1685 1081 7 5
1709308618.6285 1691 1086 6 5
1709308618.6373 1695 1090 4 4
1709308618.6447 1702 1095 7 5
1709308618.6524 1710 1100 8 5
1709308618.6612 1717 1105 7 5
1709308618.6688 1722 1109 5 4
1709308618.6772 1728 1112 6 3
1709308618.6850 1734 1116 6 4
1709308618.6924 1741 1122 7 6
1709308618.7004 1747 1126 6 4
1709308618.7092 1753 1131 6 5
1709308618.7167 1760 1137 7 6
1709308618.7251 1767 1143 7 6
1709308618.7338 1773 1147 6 4
1709308618.7402 1778 1153 5 6
1709308618.7490 1786 1159 8 6
1709308618.7569 1792 1162 6 3
1709308618.7645 1798 1166 6 4
1709308618.7723 1804 1171 6 5
1709308618.7816 1810 1177 6 6
1709308618.7892 1817 1182 7 5
1709308618.7970 1824 1186 7 4
1709308618.8058 1829 1191 5 5
1709308618.8123 1835 1196 6 5
1709308618.8211 1843 1201 8 5
1709308618.8298 1850 1203 7 2
1709308618.8363 1857 1207 7 4
1709308618.8452 1863 1213 6 6
1709308618.8529 1869 1217 6 4
1709308618.8605 1877 1221 8 4
1709308618.8691 1886 1223 9 2
1709308618.8775 1891 1229 5 6
1709308618.8851 1898 1234 7 5
1709308618.8928 1906 1239 8 5
1709308618.9017 1914 1241 8 2
1709308618.9082 1921 1243 7 2
1709308618.9168 1928 1245 7 2
1709308618.9257 1934 1251 6 6
1709308618.9322 1941 1256 7 5
1709308618.9409 1948 1261 7 5
1709308618.9498 1955 1263 7 2
1709308618.9565 1964 1266 9 3
1709308618.9651 1971 1270 7 4
1709308618.9729 1976 1275 5 5
1709308618.9811 1985 1278 9 3
1709308618.9890 1993 1280 8 2
1709308618.9969 2000 1284 7 4
1709308619.0043 2007 1288 7 4
1709308619.0130 2015 1291 8 3
1709308619.0219 2022 1295 7 4
1709308619.0291 2028 1301 6 6
1709308619.0369 2036 1308 8 7
1709308619.0458 2043 1311 7 3
1709308619.0531 2050 1312 7 1
1709308619.0609 2057 1317 7 5
1709308619.0710 2065 1324 8 7
1709308619.0771 2072 1331 7 7
1709308619.0850 2080 1335 8 4
1709308619.0936 2086 1338 6 3
1709308619.1012 2093 1342 7 4
1709308619.1090 2101 1349 8 7
1709308619.1179 2106 1352 5 3
1709308619.1250 2114 1355 8 3
1709308619.1328 2121 1361 7 6
1709308619.1415 2128 1365 7 4
1709308619.1492 2133 1369 5 4
1709308619.1571 2140 1375 7 6
1709308619.1649 2147 1379 7 4
1709308619.1726 2153 1382 6 3
1709308619.1812 2159 1388 6 6
1709308619.1889 2166 1392 7 4
1709308619.1966 2173 1397 7 5
1709308619.2044 2178 1402 5 5
1709308619.2133 2183 1407 5 5
1709308619.2209 2189 1411 6 4
1709308619.2291 2197 1413 8 2
1709308619.2368 2203 1418 6 5
1709308619.2444 2207 1423 4 5
1709308619.2522 2214 1426 7 3
1709308619.2610 2223 1431 9 5
1709308619.2685 2230 1437 7 6
1709308619.2767 2233 1442 3 5
1709308619.2858 2238 1448 5 6
1709308619.2929 2245 1452 7 4
1709308619.3007 2255 1459 10 7
1709308619.3094 2260 1465 5 6
1709308619.3170 2264 1470 4 5
1709308619.3252 2270 1473 6 3
1709308619.3330 2278 1480 8 7
1709308619.3406 2285 1487 7 7
1709308619.3483 2292 1490 7 3
1709308619.3576 2297 1494 5 4
1709308619.3650 2303 1498 6 4
1709308619.3727 2309 1504 6 6
1709308619.3811 2315 1511 6 7
1709308619.3887 2323 1516 8 5
1709308619.3966 2329 1518 6 2
1709308619.4055 2335 1522 6 4
1709308619.4128 2342 1527 7 5
1709308619.4207 2349 1535 7 8
1709308619.4292 2356 1542 7 7
1709308619.4368 2361 1544 5 2
1709308619.4446 2366 1548 5 4
1709308619.4532 2374 1553 8 5
1709308619.4605 2382 1560 8 7
1709308619.4683 2390 1565 8 5
1709308619.4778 2395 1568 5 3
1709308619.4844 2398 1571 3 3
1709308619.4922 2405 1577 7 6
1709308619.5008 2413 1582 8 5
1709308619.5083 2419 1588 6 6
1709308619.5172 2424 1591 5 3
1709308619.5265 2430 1594 6 3
1709308619.5331 2436 1599 6 5
1709308619.5411 2445 1605 9 6
1709308619.5497 2450 1610 5 5
1709308619.5562 2455 1613 5 3
1709308619.5650 2461 1616 6 3
1709308619.5728 2468 1619 7 3
1709308619.5802 2475 1627 7 8
1709308619.5888 2481 1632 6 5
1709308619.5977 2487 1634 6 2
1709308619.6042 2495 1637 8 3
1709308619.6132 2501 1644 6 7
1709308619.6210 2507 1651 6 7
1709308619.6282 2514 1656 7 5
1709308619.6371 2522 1658 8 2
1709308619.6450 2528 1659 6 1
1709308619.6527 2536 1664 8 5
1709308619.6604 2544 1670 8 6
1709308619.6692 2549 1674 5 4
1709308619.6764 2553 1678 4 4
1709308619.6851 2562 1683 9 5
1709308619.6929 2570 1688 8 5
1709308619.7005 2578 1691 8 3
1709308619.7082 2583 1694 5 3
1709308619.7171 2590 1699 7 5
1709308619.7251 2597 1703 7 4
1709308619.7328 2605 1708 8 5
1709308619.7418 2611 1711 6 3
1709308619.7484 2618 1714 7 3
1709308619.7564 2625 1718 7 4
1709308619.7652 2631 1725 6 7
1709308619.7726 2640 1731 9 6
1709308619.7811 2649 1736 9 5
1709308619.7890 2654 1739 5 3
1709308619.7968 2658 1743 4 4
1709308619.8050 2666 1751 8 8
1709308619.8137 2675 1757 9 6
1709308619.8203 2683 1761 8 4
1709308619.8290 2687 1763 4 2
1709308619.8371 2693 1767 6 4
1709308619.8449 2699 1772 6 5
1709308619.8526 2707 1778 8 6
1709308619.8612 2715 1783 8 5
1709308619.8691 2722 1785 7 2
1709308619.8765 2728 1788 6 3
1709308619.8851 2734 1796 6 8
1709308619.8930 2740 1803 6 7
1709308619.9010 2748 1806 8 3
1709308619.9098 2752 1808 4 2
1709308619.9165 2759 1812 7 4
1709308619.9251 2767 1818 8 6
1709308619.9333 2775 1820 8 2
1709308619.9410 2782 1822 7 2
1709308619.9486 2790 1826 8 4
1709308619.9574 2799 1832 9 6
1709308619.9648 2806 1836 7 4
1709308619.9726 2813 1837 7 1
1709308619.9817 2821 1840 8 3
1709308619.9881 2828 1846 7 6
1709308619.9967 2836 1853 8 7
1709308620.0054 2842 1856 6 3
1709308620.0131 2849 1859 7 3
1709308620.0208 2857 1864 8 5
1709308620.0291 2865 1868 8 4
1709308620.0367 2870 1871 5 3
1709308620.0442 2878 1874 8 3
1709308620.0529 2887 1878 9 4
1709308620.0605 2894 1882 7 4
1709308620.0682 2900 1885 6 3
1709308620.0776 2906 1888 6 3
1709308620.0850 2914 1894 8 6
1709308620.0927 2921 1899 7 5
1709308620.1015 2926 1902 5 3
1709308620.1092 2934 1903 8 1
1709308620.1170 2942 1910 8 7
1709308620.1264 2948 1916 6 6
1709308620.1328 2954 1918 6 2
1709308620.1411 2961 1920 7 2
1709308620.1488 2967 1927 6 7
1709308620.1564 2974 1936 7 9
1709308620.1646 2983 1942 9 6
1709308620.1733 2990 1943 7 1
1709308620.1804 2997 1945 7 2
1709308620.1882 3002 1951 5 6
1709308620.1970 3008 1957 6 6
1709308620.2046 3016 1963 8 6
1709308620.2123 3024 1966 8 3
1709308620.2214 3030 1967 6 1
1709308620.2286 3033 1974 3 7
1709308620.2363 3038 1980 5 6
1709308620.2451 3045 1985 7 5
1709308620.2527 3052 1988 7 3
1709308620.2603 3058 1992 6 4
1709308620.2688 3062 1998 4 6
1709308620.2771 3068 2003 6 5
1709308620.2848 3076 2008 8 5
1709308620.2935 3083 2014 7 6
1709308620.3010 3087 2021 4 7
1709308620.3085 3091 2027 4 6
1709308620.3174 3097 2031 6 4
1709308620.3263 3104 2037 7 6
1709308620.3331 3111 2043 7 6
1709308620.3408 3116 2048 5 5
1709308620.3484 3121 2053 5 5
1709308620.3570 3127 2060 6 7
1709308620.3658 3134 2066 7 6
1709308620.3723 3140 2070 6 4
1709308620.3808 3146 2077 6 7
1709308620.3896 3150 2082 4 5
1709308620.3972 3155 2089 5 7
1709308620.4048 3162 2096 7 7
1709308620.4131 3167 2100 5 4
1709308620.4206 3170 2105 3 5
1709308620.4282 3175 2111 5 6
1709308620.4373 3181 2117 6 6
1709308620.4451 3186 2121 5 4
1709308620.4529 3190 2126 4 5
1709308620.4616 3193 2131 3 5
1709308620.4692 3200 2137 7 6
1709308620.4765 3207 2143 7 6
1709308620.4853 3211 2149 4 6
1709308620.4930 3214 2157 3 8
1709308620.5007 3219 2165 5 8
1709308620.5096 3225 2169 6 4
1709308620.5172 3230 2176 5 7
1709308620.5256 3234 2183 4 7
1709308620.5342 3238 2190 4 7
1709308620.5411 3244 2196 6 6
1709308620.5488 3251 2203 7 7
1709308620.5576 3256 2209 5 6
1709308620.5643 3259 2214 3 5
1709308620.5726 3265 2219 6 5
1709308620.5818 3273 2225 8 6
1709308620.5883 3279 2234 6 9
1709308620.5972 3285 2239 6 5
1709308620.6049 3290 2244 5 5
1709308620.6125 3296 2250 6 6
1709308620.6203 3302 2255 6 5
1709308620.6298 3308 2260 6 5
1709308620.6364 3313 2265 5 5
1709308620.6443 3319 2270 6 5
1709308620.6532 3326 2275 7 5
1709308620.6608 3331 2280 5 5
1709308620.6686 3336 2286 5 6
1709308620.6772 3343 2292 7 6
1709308620.6848 3350 2297 7 5
1709308620.6929 3355 2301 5 4
1709308620.7018 3359 2306 4 5
1709308620.7084 3366 2313 7 7
1709308620.7170 3374 2319 8 6
1709308620.7258 3378 2323 4 4
1709308620.7323 3384 2324 6 1
1709308620.7403 3389 2328 5 4
1709308620.7492 3396 2335 7 7
1709308620.7569 3402 2343 6 8
1709308620.7646 3408 2350 6 7
1709308620.7734 3414 2352 6 2
1709308620.7806 3420 2354 6 2
1709308620.7885 3426 2359 6 5
1709308620.7974 3433 2366 7 7
1709308620.8050 3439 2372 6 6
1709308620.8131 3444 2376 5 4
1709308620.8210 3451 2379 7 3
1709308620.8283 3458 2386 7 7
1709308620.8363 3464 2391 6 5
1709308620.8454 3471 2395 7 4
1709308620.8528 3479 2398 8 3
1709308620.8608 3485 2406 6 8
1709308620.8698 3490 2412 5 6
1709308620.8770 3496 2419 6 7
1709308620.8849 3503 2425 7 6
1709308620.8937 3508 2429 5 4
1709308620.9002 3512 2433 4 4
1709308620.9092 3519 2438 7 5
1709308620.9170 3527 2444 8 6
1709308620.9253 3532 2448 5 4
1709308620.9322 3537 2454 5 6
1709308620.9418 3543 2462 6 8
1709308620.9486 3551 2468 8 6
1709308620.9565 3557 2470 6 2
1709308620.9653 3560 2476 3 6
1709308620.9730 3565 2483 5 7
1709308620.9804 3571 2488 6 5
1709308620.9893 3577 2494 6 6
1709308620.9971 3581 2501 4 7
1709308621.0052 3588 2509 7 8
1709308621.0134 3594 2514 6 5
1709308621.0211 3599 2518 5 4
1709308621.0282 3604 2521 5 3
1709308621.0370 3609 2528 5 7
1709308621.0446 3614 2536 5 8
1709308621.0523 3620 2543 6 7
1709308621.0611 3625 2546 5 3
1709308621.0691 3629 2549 4 3
1709308621.0762 3635 2557 6 8
1709308621.0849 3642 2566 7 9
1709308621.0925 3645 2572 3 6
1709308621.1002 3650 2578 5 6
1709308621.1089 3655 2583 5 5
1709308621.1166 3661 2589 6 6
1709308621.1248 3666 2598 5 9
1709308621.1332 3672 2604 6 6
1709308621.1410 3676 2608 4 4
1709308621.1491 3680 2615 4 7
1709308621.1570 3686 2620 6 5
1709308621.1644 3691 2626 5 6
1709308621.1722 3696 2632 5 6
1709308621.1808 3700 2637 4 5
1709308621.1885 3705 2642 5 5
1709308621.1964 3712 2650 7 8
1709308621.2054 3717 2656 5 6
1709308621.2129 3721 2660 4 4
1709308621.2207 3726 2668 5 8
1709308621.2293 3732 2675 6 7
1709308621.2370 3737 2678 5 3
1709308621.2450 3741 2683 4 5
1709308621.2541 3746 2689 5 6
1709308621.2607 3752 2696 6 7
1709308621.2686 3758 2702 6 6
1709308621.2771 3764 2706 6 4
1709308621.2848 3767 2711 3 5
1709308621.2928 3771 2721 4 10
1709308621.3016 3776 2729 5 8
1709308621.3083 3783 2733 7 4
1709308621.3162 3788 2739 5 6
1709308621.3262 3792 2747 4 8
1709308621.3329 3797 2755 5 8
1709308621.3409 3804 2762 7 7
1709308621.3499 3809 2765 5 3
1709308621.3565 3814 2770 5 5
1709308621.3642 3821 2777 7 7
1709308621.3731 3824 2785 3 8
1709308621.3805 3828 2789 4 4
1709308621.3882 3833 2795 5 6
1709308621.3971 3839 2803 6 8
1709308621.4048 3843 2811 4 8
1709308621.4126 3847 2816 4 5
1709308621.4214 3853 2820 6 4
1709308621.4285 3858 2827 5 7
1709308621.4371 3863 2832 5 5
1709308621.4450 3868 2838 5 6
1709308621.4526 3873 2843 5 5
1709308621.4607 3878 2850 5 7
1709308621.4697 3882 2855 4 5
1709308621.4769 3887 2862 5 7
1709308621.4847 3894 2869 7 7
1709308621.4936 3900 2874 6 5
1709308621.5003 3903 2881 3 7
1709308621.5082 3907 2889 4 8
1709308621.5171 3912 2894 5 5
1709308621.5254 3919 2897 7 3
1709308621.5322 3925 2904 6 7
1709308621.5411 3929 2912 4 8
1709308621.5487 3934 2917 5 5
1709308621.5567 3940 2922 6 5
1709308621.5652 3945 2928 5 6
1709308621.5727 3950 2934 5 6
1709308621.5811 3955 2940 5 6
1709308621.5897 3960 2947 5 7
1709308621.5963 3964 2956 4 9
1709308621.6042 3968 2962 4 6
1709308621.6140 3972 2967 4 5
1709308621.6205 3978 2973 6 6
1709308621.6290 3985 2980 7 7
1709308621.6378 3989 2987 4 7
1709308621.6443 3993 2992 4 5
1709308621.6531 3999 2999 6 7
1709308621.6613 4006 3004 7 5
1709308621.6690 4011 3009 5 5
1709308621.6765 4015 3015 4 6
1709308621.6854 4019 3022 4 7
1709308621.6931 4026 3028 7 6
1709308621.7010 4033 3034 7 6
1709308621.7097 4038 3040 5 6
1709308621.7163 4042 3044 4 4
1709308621.7242 4047 3050 5 6
1709308621.7330 4052 3057 5 7
1709308621.7410 4057 3063 5 6
1709308621.7488 4063 3068 6 5
1709308621.7578 4069 3074 6 6
