% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709308526.4429 0 0 0 0
1709308526.4508 0 0 0 0
1709308526.4577 0 0 0 0
1709308526.4663 0 0 0 0
1709308526.4743 0 0 0 0
1709308526.4822 0 0 0 0
1709308526.4908 0 0 0 0
1709308526.4983 0 0 0 0
1709308526.5062 0 0 0 0
1709308526.5148 0 0 0 0
1709308526.5222 0 0 0 0
1709308526.5307 0 0 0 0
1709308526.5385 0 0 0 0
1709308526.5477 0 0 0 0
1709308526.5545 0 0 0 0
1709308526.5627 0 0 0 0
1709308526.5707 0 0 0 0
1709308526.5788 0 0 0 0
1709308526.5868 0 0 0 0
1709308526.5939 0 0 0 0
1709308526.6028 0 0 0 0
1709308526.6100 0 0 0 0
1709308526.6181 0 0 0 0
1709308526.6261 0 0 0 0
1709308526.6339 0 0 0 0
1709308526.6428 4294967295 1 -1 1
1709308526.6505 4294967294 5 -1 4
1709308526.6581 4294967293 6 -1 1
1709308526.6662 4294967293 6 0 0
1709308526.6743 4294967293 7 0 1
1709308526.6829 4294967292 10 -1 3
1709308526.6899 4294967290 10 -2 0
1709308526.6989 4294967289 10 -1 0
1709308526.7061 4294967288 13 -1 3
1709308526.7141 4294967286 16 -2 3
1709308526.7220 4294967285 19 -1 3
1709308526.7309 4294967283 22 -2 3
1709308526.7389 4294967280 24 -3 2
1709308526.7463 4294967276 28 -4 4
1709308526.7546 4294967273 33 -3 5
1709308526.7621 4294967271 37 -2 4
1709308526.7704 4294967267 43 -4 6
1709308526.7780 4294967262 49 -5 6
1709308526.7861 4294967258 53 -4 4
1709308526.7942 4294967254 59 -4 6
1709308526.8026 4294967251 67 -3 8
1709308526.8106 4294967245 75 -6 8
1709308526.8185 4294967241 79 -4 4
1709308526.8262 4294967235 83 -6 4
1709308526.8343 4294967227 92 -8 9
1709308526.8424 4294967222 99 -5 7
1709308526.8508 4294967218 107 -4 8
1709308526.8580 4294967208 113 -10 6
1709308526.8661 4294967200 122 -8 9
1709308526.8739 4294967193 129 -7 7
1709308526.8822 4294967185 137 -8 8
1709308526.8905 4294967177 147 -8 10
1709308526.8991 4294967167 155 -10 8
1709308526.9073 4294967157 164 -10 9
1709308526.9144 4294967149 170 -8 6
1709308526.9221 4294967142 179 -7 9
1709308526.9302 4294967133 188 -9 9
1709308526.9381 4294967124 196 -9 8
1709308526.9469 4294967114 204 -10 8
1709308526.9543 4294967107 213 -7 9
1709308526.9624 4294967101 222 -6 9
1709308526.9700 4294967092 230 -9 8
1709308526.9782 4294967084 237 -8 7
1709308526.9863 4294967077 249 -7 12
1709308526.9945 4294967069 257 -8 8
1709308527.0022 4294967060 265 -9 8
1709308527.0105 4294967052 271 -8 6
1709308527.0183 4294967044 280 -8 9
1709308527.0264 4294967035 288 -9 8
1709308527.0344 4294967028 297 -7 9
1709308527.0422 4294967018 305 -10 8
1709308527.0500 4294967010 313 -8 8
1709308527.0584 4294967002 321 -8 8
1709308527.0661 4294966994 331 -8 10
1709308527.0745 4294966987 340 -7 9
1709308527.0828 4294966978 347 -9 7
1709308527.0903 4294966971 357 -7 10
1709308527.0992 4294966963 366 -8 9
1709308527.1062 4294966954 374 -9 8
1709308527.1148 4294966946 381 -8 7
1709308527.1229 4294966939 391 -7 10
1709308527.1299 4294966931 402 -8 11
1709308527.1386 4294966922 411 -9 9
1709308527.1468 4294966915 418 -7 7
1709308527.1546 4294966908 425 -7 7
1709308527.1623 4294966905 428 -3 3
1709308527.1704 4294966903 431 -2 3
1709308527.1782 4294966900 434 -3 3
1709308527.1869 4294966896 440 -4 6
1709308527.1942 4294966892 442 -4 2
1709308527.2021 4294966889 446 -3 4
1709308527.2109 4294966885 449 -4 3
1709308527.2180 4294966883 452 -2 3
1709308527.2261 4294966881 454 -2 2
1709308527.2340 4294966879 455 -2 1
1709308527.2421 4294966877 457 -2 2
1709308527.2500 4294966876 458 -1 1
1709308527.2588 4294966874 460 -2 2
1709308527.2670 4294966873 462 -1 2
1709308527.2740 4294966872 462 -1 0
1709308527.2829 4294966871 464 -1 2
1709308527.2902 4294966871 464 0 0
1709308527.2992 4294966871 464 0 0
1709308527.3069 4294966871 464 0 0
1709308527.3148 4294966871 464 0 0
1709308527.3228 4294966871 465 0 1
1709308527.3306 4294966870 468 -1 3
1709308527.3387 4294966867 471 -3 3
1709308527.3467 4294966865 471 -2 0
1709308527.3549 4294966865 470 0 -1
1709308527.3628 4294966865 471 0 1
1709308527.3709 4294966864 473 -1 2
1709308527.3786 4294966863 475 -1 2
1709308527.3866 4294966860 476 -3 1
1709308527.3947 4294966857 478 -3 2
1709308527.4028 4294966855 480 -2 2
1709308527.4102 4294966853 483 -2 3
1709308527.4182 4294966850 486 -3 3
1709308527.4262 4294966848 489 -2 3
1709308527.4349 4294966844 493 -4 4
1709308527.4429 4294966840 496 -4 3
1709308527.4508 4294966837 500 -3 4
1709308527.4589 4294966834 505 -3 5
1709308527.4669 4294966829 510 -5 5
1709308527.4745 4294966824 517 -5 7
1709308527.4825 4294966819 523 -5 6
1709308527.4905 4294966814 527 -5 4
1709308527.4988 4294966810 534 -4 7
1709308527.5068 4294966806 540 -4 6
1709308527.5148 4294966800 547 -6 7
1709308527.5225 4294966795 555 -5 8
1709308527.5306 4294966789 561 -6 6
1709308527.5386 4294966782 567 -7 6
1709308527.5462 4294966774 576 -8 9
1709308527.5548 4294966768 584 -6 8
1709308527.5628 4294966761 589 -7 5
1709308527.5708 4294966752 595 -9 6
1709308527.5788 4294966744 603 -8 8
1709308527.5867 4294966737 614 -7 11
1709308527.5946 4294966728 622 -9 8
1709308527.6026 4294966720 629 -8 7
1709308527.6107 4294966714 637 -6 8
1709308527.6182 4294966705 647 -9 10
1709308527.6272 4294966696 655 -9 8
1709308527.6341 4294966691 665 -5 10
1709308527.6421 4294966683 674 -8 9
1709308527.6501 4294966672 681 -11 7
1709308527.6584 4294966663 689 -9 8
1709308527.6665 4294966657 700 -6 11
1709308527.6745 4294966651 708 -6 8
1709308527.6829 4294966640 715 -11 7
1709308527.6907 4294966630 722 -10 7
1709308527.6991 4294966625 732 -5 10
1709308527.7063 4294966618 743 -7 11
1709308527.7141 4294966610 751 -8 8
1709308527.7222 4294966601 756 -9 5
1709308527.7309 4294966591 765 -10 9
1709308527.7387 4294966584 776 -7 11
1709308527.7469 4294966577 784 -7 8
1709308527.7542 4294966570 791 -7 7
1709308527.7623 4294966562 800 -8 9
1709308527.7709 4294966554 808 -8 8
1709308527.7781 4294966547 816 -7 8
1709308527.7859 4294966539 824 -8 8
1709308527.7944 4294966532 831 -7 7
1709308527.8022 4294966525 841 -7 10
1709308527.8100 4294966520 846 -5 5
1709308527.8185 4294966517 849 -3 3
1709308527.8261 4294966515 855 -2 6
1709308527.8345 4294966513 858 -2 3
1709308527.8427 4294966509 862 -4 4
1709308527.8505 4294966503 866 -6 4
1709308527.8582 4294966500 868 -3 2
1709308527.8662 4294966498 869 -2 1
1709308527.8743 4294966496 870 -2 1
1709308527.8822 4294966494 873 -2 3
1709308527.8902 4294966492 874 -2 1
1709308527.8991 4294966492 874 0 0
1709308527.9068 4294966492 875 0 1
1709308527.9149 4294966492 876 0 1
1709308527.9220 4294966491 877 -1 1
1709308527.9310 4294966490 877 -1 0
1709308527.9388 4294966487 877 -3 0
1709308527.9468 4294966485 879 -2 2
1709308527.9541 4294966485 883 0 4
1709308527.9623 4294966485 885 0 2
1709308527.9707 4294966485 886 0 1
1709308527.9783 4294966484 886 -1 0
1709308527.9873 4294966482 888 -2 2
1709308527.9943 4294966479 889 -3 1
1709308528.0027 4294966476 891 -3 2
1709308528.0107 4294966475 894 -1 3
1709308528.0187 4294966473 898 -2 4
1709308528.0263 4294966469 902 -4 4
1709308528.0341 4294966466 904 -3 2
1709308528.0421 4294966463 909 -3 5
1709308528.0505 4294966460 915 -3 6
1709308528.0586 4294966456 919 -4 4
1709308528.0667 4294966452 924 -4 5
1709308528.0742 4294966449 929 -3 5
1709308528.0821 4294966442 936 -7 7
1709308528.0902 4294966438 941 -4 5
1709308528.0987 4294966434 947 -4 6
1709308528.1067 4294966428 952 -6 5
1709308528.1147 4294966421 959 -7 7
1709308528.1226 4294966416 965 -5 6
1709308528.1306 4294966410 972 -6 7
1709308528.1390 4294966404 982 -6 10
1709308528.1470 4294966396 993 -8 11
1709308528.1547 4294966390 1000 -6 7
1709308528.1620 4294966385 1004 -5 4
1709308528.1702 4294966377 1010 -8 6
1709308528.1783 4294966369 1020 -8 10
1709308528.1869 4294966361 1025 -8 5
1709308528.1946 4294966354 1034 -7 9
1709308528.2022 4294966345 1041 -9 7
1709308528.2103 4294966335 1049 -10 8
1709308528.2189 4294966327 1057 -8 8
1709308528.2269 4294966321 1065 -6 8
1709308528.2341 4294966312 1074 -9 9
1709308528.2419 4294966302 1084 -10 10
1709308528.2508 4294966295 1092 -7 8
1709308528.2589 4294966289 1098 -6 6
1709308528.2669 4294966280 1110 -9 12
1709308528.2742 4294966271 1121 -9 11
1709308528.2827 4294966262 1128 -9 7
1709308528.2905 4294966255 1136 -7 8
1709308528.2993 4294966247 1145 -8 9
1709308528.3063 4294966240 1153 -7 8
1709308528.3142 4294966233 1161 -7 8
1709308528.3224 4294966224 1168 -9 7
1709308528.3307 4294966216 1175 -8 7
1709308528.3385 4294966208 1190 -8 15
1709308528.3476 4294966202 1198 -6 8
1709308528.3545 4294966195 1206 -7 8
1709308528.3624 4294966185 1215 -10 9
1709308528.3705 4294966177 1221 -8 6
1709308528.3782 4294966171 1230 -6 9
1709308528.3865 4294966163 1241 -8 11
1709308528.3944 4294966155 1248 -8 7
1709308528.4022 4294966148 1257 -7 9
1709308528.4110 4294966139 1267 -9 10
1709308528.4180 4294966131 1277 -8 10
1709308528.4262 4294966123 1284 -8 7
1709308528.4346 4294966115 1290 -8 6
1709308528.4424 4294966105 1299 -10 9
1709308528.4501 4294966098 1308 -7 9
1709308528.4588 4294966094 1315 -4 7
1709308528.4668 4294966086 1319 -8 4
1709308528.4749 4294966074 1328 -12 9
1709308528.4823 4294966066 1337 -8 9
1709308528.4904 4294966060 1345 -6 8
1709308528.4990 4294966052 1353 -8 8
1709308528.5060 4294966048 1357 -4 4
1709308528.5140 4294966046 1360 -2 3
1709308528.5221 4294966044 1363 -2 3
1709308528.5307 4294966039 1367 -5 4
1709308528.5389 4294966033 1371 -6 4
1709308528.5460 4294966030 1374 -3 3
1709308528.5544 4294966028 1376 -2 2
1709308528.5626 4294966027 1377 -1 1
1709308528.5700 4294966025 1378 -2 1
1709308528.5789 4294966023 1382 -2 4
1709308528.5861 4294966021 1384 -2 2
1709308528.5943 4294966019 1387 -2 3
1709308528.6021 4294966017 1388 -2 1
1709308528.6104 4294966016 1390 -1 2
1709308528.6187 4294966016 1390 0 0
1709308528.6263 4294966016 1390 0 0
1709308528.6344 4294966016 1391 0 1
1709308528.6424 4294966016 1391 0 0
1709308528.6508 4294966016 1392 0 1
1709308528.6580 4294966016 1392 0 0
1709308528.6660 4294966014 1394 -2 2
1709308528.6748 4294966011 1395 -3 1
1709308528.6828 4294966009 1399 -2 4
1709308528.6909 4294966009 1401 0 2
1709308528.6995 4294966008 1401 -1 0
1709308528.7076 4294966006 1401 -2 0
1709308528.7148 4294966003 1403 -3 2
1709308528.7224 4294966002 1405 -1 2
1709308528.7306 4294966001 1407 -1 2
1709308528.7386 4294965997 1410 -4 3
1709308528.7462 4294965995 1413 -2 3
1709308528.7547 4294965995 1417 0 4
1709308528.7628 4294965991 1421 -4 4
1709308528.7704 4294965986 1425 -5 4
1709308528.7787 4294965981 1429 -5 4
1709308528.7869 4294965978 1432 -3 3
1709308528.7949 4294965972 1439 -6 7
1709308528.8024 4294965967 1446 -5 7
1709308528.8109 4294965962 1450 -5 4
1709308528.8186 4294965958 1455 -4 5
1709308528.8270 4294965955 1457 -3 2
1709308528.8341 4294965953 1459 -2 2
1709308528.8429 4294965953 1461 0 2
1709308528.8507 4294965952 1465 -1 4
1709308528.8588 4294965950 1467 -2 2
1709308528.8667 4294965947 1470 -3 3
1709308528.8740 4294965944 1472 -3 2
1709308528.8822 4294965943 1474 -1 2
1709308528.8909 4294965942 1476 -1 2
1709308528.8987 4294965939 1477 -3 1
1709308528.9068 4294965937 1480 -2 3
1709308528.9147 4294965937 1483 0 3
1709308528.9228 4294965935 1486 -2 3
1709308528.9299 4294965931 1488 -4 2
1709308528.9387 4294965928 1489 -3 1
1709308528.9469 4294965927 1492 -1 3
1709308528.9547 4294965926 1496 -1 4
1709308528.9622 4294965924 1498 -2 2
1709308528.9703 4294965920 1499 -4 1
1709308528.9781 4294965917 1500 -3 1
1709308528.9869 4294965915 1505 -2 5
1709308528.9950 4294965915 1507 0 2
1709308529.0028 4294965914 1508 -1 1
1709308529.0106 4294965914 1508 0 0
1709308529.0180 4294965913 1508 -1 0
1709308529.0263 4294965913 1512 0 4
1709308529.0350 4294965912 1515 -1 3
1709308529.0421 4294965910 1517 -2 2
1709308529.0510 4294965909 1518 -1 1
1709308529.0587 4294965908 1519 -1 1
1709308529.0669 4294965908 1519 0 0
1709308529.0741 4294965908 1519 0 0
1709308529.0829 4294965908 1520 0 1
1709308529.0902 4294965908 1521 0 1
1709308529.0991 4294965908 1521 0 0
1709308529.1068 4294965908 1521 0 0
1709308529.1149 4294965908 1521 0 0
1709308529.1223 4294965908 1521 0 0
1709308529.1301 4294965908 1523 0 2
1709308529.1383 4294965907 1526 -1 3
1709308529.1466 4294965906 1528 -1 2
1709308529.1541 4294965905 1528 -1 0
1709308529.1622 4294965903 1528 -2 0
1709308529.1703 4294965902 1530 -1 2
1709308529.1782 4294965902 1533 0 3
1709308529.1863 4294965902 1534 0 1
1709308529.1944 4294965901 1534 -1 0
1709308529.2028 4294965900 1535 -1 1
1709308529.2109 4294965898 1539 -2 4
1709308529.2181 4294965895 1541 -3 2
1709308529.2268 4294965894 1543 -1 2
1709308529.2349 4294965892 1546 -2 3
1709308529.2420 4294965889 1550 -3 4
1709308529.2501 4294965885 1553 -4 3
1709308529.2583 4294965883 1556 -2 3
1709308529.2667 4294965880 1562 -3 6
1709308529.2743 4294965875 1566 -5 4
1709308529.2823 4294965872 1571 -3 5
1709308529.2904 4294965869 1577 -3 6
1709308529.2986 4294965864 1584 -5 7
1709308529.3067 4294965860 1588 -4 4
1709308529.3149 4294965855 1592 -5 4
1709308529.3227 4294965852 1599 -3 7
1709308529.3310 4294965847 1604 -5 5
1709308529.3388 4294965842 1610 -5 6
1709308529.3465 4294965837 1616 -5 6
1709308529.3543 4294965830 1623 -7 7
1709308529.3625 4294965824 1631 -6 8
1709308529.3702 4294965816 1637 -8 6
1709308529.3784 4294965810 1643 -6 6
1709308529.3869 4294965804 1649 -6 6
1709308529.3948 4294965797 1662 -7 13
1709308529.4025 4294965792 1670 -5 8
1709308529.4109 4294965785 1675 -7 5
1709308529.4188 4294965778 1681 -7 6
1709308529.4271 4294965770 1691 -8 10
1709308529.4344 4294965764 1700 -6 9
1709308529.4423 4294965758 1710 -6 10
1709308529.4504 4294965749 1716 -9 6
1709308529.4579 4294965739 1722 -10 6
1709308529.4662 4294965732 1731 -7 9
1709308529.4743 4294965726 1741 -6 10
1709308529.4825 4294965717 1749 -9 8
1709308529.4903 4294965709 1757 -8 8
1709308529.4996 4294965701 1766 -8 9
1709308529.5065 4294965693 1772 -8 6
1709308529.5143 4294965686 1781 -7 9
1709308529.5225 4294965679 1788 -7 7
1709308529.5310 4294965671 1795 -8 7
1709308529.5387 4294965663 1806 -8 11
1709308529.5459 4294965656 1817 -7 11
1709308529.5542 4294965648 1825 -8 8
1709308529.5628 4294965640 1832 -8 7
1709308529.5709 4294965633 1841 -7 9
1709308529.5780 4294965624 1851 -9 10
1709308529.5862 4294965621 1854 -3 3
1709308529.5946 4294965620 1857 -1 3
1709308529.6020 4294965618 1859 -2 2
1709308529.6106 4294965615 1863 -3 4
1709308529.6187 4294965610 1866 -5 3
1709308529.6259 4294965606 1869 -4 3
1709308529.6349 4294965604 1870 -2 1
1709308529.6426 4294965602 1872 -2 2
1709308529.6503 4294965600 1874 -2 2
1709308529.6589 4294965597 1877 -3 3
1709308529.6661 4294965595 1879 -2 2
1709308529.6741 4294965592 1881 -3 2
1709308529.6830 4294965591 1883 -1 2
1709308529.6902 4294965590 1885 -1 2
1709308529.6990 4294965585 1889 -5 4
1709308529.7068 4294965580 1892 -5 3
1709308529.7150 4294965577 1893 -3 1
1709308529.7226 4294965575 1896 -2 3
1709308529.7304 4294965573 1900 -2 4
1709308529.7385 4294965570 1904 -3 4
1709308529.7464 4294965569 1905 -1 1
1709308529.7547 4294965569 1905 0 0
1709308529.7619 4294965569 1905 0 0
1709308529.7700 4294965566 1905 -3 0
1709308529.7789 4294965565 1909 -1 4
1709308529.7868 4294965564 1913 -1 4
1709308529.7946 4294965563 1916 -1 3
1709308529.8019 4294965562 1917 -1 1
1709308529.8101 4294965561 1917 -1 0
1709308529.8182 4294965560 1919 -1 2
1709308529.8260 4294965559 1923 -1 4
1709308529.8340 4294965557 1926 -2 3
1709308529.8421 4294965556 1927 -1 1
1709308529.8506 4294965554 1927 -2 0
1709308529.8588 4294965553 1931 -1 4
1709308529.8660 4294965549 1936 -4 5
1709308529.8741 4294965547 1938 -2 2
1709308529.8825 4294965545 1939 -2 1
1709308529.8900 4294965541 1941 -4 2
1709308529.8989 4294965539 1947 -2 6
1709308529.9062 4294965536 1951 -3 4
1709308529.9144 4294965533 1954 -3 3
1709308529.9221 4294965529 1957 -4 3
1709308529.9302 4294965524 1962 -5 5
1709308529.9380 4294965520 1969 -4 7
1709308529.9460 4294965517 1974 -3 5
1709308529.9549 4294965511 1977 -6 3
1709308529.9622 4294965506 1983 -5 6
1709308529.9701 4294965500 1990 -6 7
1709308529.9783 4294965494 1994 -6 4
1709308529.9860 4294965487 2000 -7 6
1709308529.9945 4294965482 2008 -5 8
1709308530.0027 4294965477 2014 -5 6
1709308530.0108 4294965471 2019 -6 5
1709308530.0188 4294965463 2027 -8 8
1709308530.0268 4294965457 2036 -6 9
1709308530.0349 4294965451 2044 -6 8
1709308530.0419 4294965445 2052 -6 8
1709308530.0508 4294965437 2057 -8 5
1709308530.0588 4294965430 2068 -7 11
1709308530.0668 4294965423 2076 -7 8
1709308530.0740 4294965415 2084 -8 8
1709308530.0825 4294965408 2093 -7 9
1709308530.0903 4294965401 2100 -7 7
1709308530.0992 4294965392 2108 -9 8
1709308530.1065 4294965384 2117 -8 9
1709308530.1148 4294965376 2125 -8 8
1709308530.1219 4294965368 2134 -8 9
1709308530.1301 4294965361 2144 -7 10
1709308530.1379 4294965352 2151 -9 7
1709308530.1472 4294965341 2161 -11 10
1709308530.1542 4294965334 2170 -7 9
1709308530.1629 4294965328 2179 -6 9
1709308530.1711 4294965320 2187 -8 8
1709308530.1788 4294965311 2195 -9 8
1709308530.1868 4294965300 2201 -11 6
1709308530.1953 4294965294 2209 -6 8
1709308530.2021 4294965286 2219 -8 10
1709308530.2110 4294965279 2226 -7 7
1709308530.2193 4294965271 2234 -8 8
1709308530.2262 4294965261 2242 -10 8
1709308530.2348 4294965253 2251 -8 9
1709308530.2431 4294965247 2258 -6 7
1709308530.2501 4294965240 2265 -7 7
1709308530.2580 4294965231 2275 -9 10
1709308530.2667 4294965223 2284 -8 9
1709308530.2749 4294965216 2293 -7 9
1709308530.2828 4294965206 2299 -10 6
1709308530.2899 4294965199 2307 -7 8
1709308530.2987 4294965190 2318 -9 11
1709308530.3063 4294965182 2328 -8 10
1709308530.3145 4294965175 2336 -7 8
1709308530.3226 4294965168 2341 -7 5
1709308530.3303 4294965161 2350 -7 9
