% Mission PlanIRTEST logfile
% 1 	Time (sec)
% 2 	Mission state
% 3 	% Mission status (mostly for debug)
1709308527.4130 1 % No Line
1709308527.4171 1 % No Line
1709308527.4213 1 % No Line
1709308527.4254 1 % No Line
1709308527.4296 1 % No Line
1709308527.4337 1 % No Line
1709308527.4378 1 % No Line
1709308527.4420 1 % No Line
1709308527.4461 1 % No Line
1709308527.4502 1 % No Line
1709308527.4543 1 % No Line
1709308527.4585 1 % No Line
1709308527.4626 1 % No Line
1709308527.4668 1 % No Line
1709308527.4709 1 % No Line
1709308527.4751 1 % No Line
1709308527.4792 1 % No Line
1709308527.4834 1 % No Line
1709308527.4875 1 % No Line
1709308527.4916 1 % No Line
1709308527.4958 1 % No Line
1709308527.4999 1 % No Line
1709308527.5040 1 % No Line
1709308527.5082 1 % No Line
1709308527.5123 1 % No Line
1709308527.5165 1 % No Line
1709308527.5206 1 % No Line
1709308527.5247 1 % No Line
1709308527.5288 1 % No Line
1709308527.5330 1 % No Line
1709308527.5371 1 % No Line
1709308527.5412 1 % No Line
1709308527.5454 1 % No Line
1709308527.5496 1 % No Line
1709308527.5537 1 % No Line
1709308527.5578 1 % No Line
1709308527.5620 1 % No Line
1709308527.5661 1 % No Line
1709308527.5702 1 % No Line
1709308527.5743 1 % No Line
1709308527.5784 1 % No Line
1709308527.5826 1 % No Line
1709308527.5868 1 % No Line
1709308527.5909 1 % No Line
1709308527.5950 1 % No Line
1709308527.5993 1 % No Line
1709308527.6034 1 % No Line
1709308527.6075 1 % No Line
1709308527.6116 1 % No Line
1709308527.6158 1 % No Line
1709308527.6199 1 % No Line
1709308527.6240 1 % No Line
1709308527.6282 1 % No Line
1709308527.6324 1 % No Line
1709308527.6365 1 % No Line
1709308527.6406 1 % No Line
1709308527.6448 1 % No Line
1709308527.6489 1 % No Line
1709308527.6531 1 % No Line
1709308527.6572 1 % No Line
1709308527.6615 1 % No Line
1709308527.6658 1 % No Line
1709308527.6699 1 % No Line
1709308527.6740 1 % No Line
1709308527.6786 1 % No Line
1709308527.6828 1 % No Line
1709308527.6869 1 % No Line
1709308527.6912 1 % No Line
1709308527.6953 1 % No Line
1709308527.6995 1 % No Line
1709308527.7037 1 % No Line
1709308527.7079 1 % No Line
1709308527.7124 1 % No Line
1709308527.7165 1 % No Line
1709308527.7207 1 % No Line
1709308527.7249 1 % No Line
1709308527.7290 1 % No Line
1709308527.7332 1 % No Line
1709308527.7373 1 % No Line
1709308527.7414 1 % No Line
1709308527.7457 1 % No Line
1709308527.7499 1 % No Line
1709308527.7541 1 % No Line
1709308527.7582 1 % No Line
1709308527.7624 1 % No Line
1709308527.7666 1 % No Line
1709308527.7708 1 % No Line
1709308527.7749 1 % No Line
1709308527.7791 1 % No Line
1709308527.7832 1 % No Line
1709308527.7875 1 % No Line
1709308527.7917 1 % No Line
1709308527.7959 1 % No Line
1709308527.8003 1 % No Line
1709308527.8047 1 % No Line
1709308527.8091 1 % No Line
1709308527.8134 1 % No Line
1709308527.8178 1 % No Line
1709308527.8221 1 % No Line
1709308527.8265 1 % No Line
1709308527.8310 1 % No Line
1709308527.8354 1 % No Line
1709308527.8397 1 % No Line
1709308527.8440 1 % No Line
1709308527.8482 1 % No Line
1709308527.8524 1 % No Line
1709308527.8565 1 % No Line
1709308527.8606 1 % No Line
1709308527.8648 1 % No Line
1709308527.8690 1 % No Line
1709308527.8732 1 % No Line
1709308527.8776 1 % No Line
1709308527.8821 1 % No Line
1709308527.8864 1 % No Line
1709308527.8909 1 % No Line
1709308527.8953 1 % No Line
1709308527.8996 1 % No Line
1709308527.9040 1 % No Line
1709308527.9082 1 % No Line
1709308527.9127 1 % No Line
1709308527.9172 1 % No Line
1709308527.9216 1 % No Line
1709308527.9261 1 % No Line
1709308527.9304 1 % No Line
1709308527.9350 1 % No Line
1709308527.9393 1 % No Line
1709308527.9436 1 % No Line
1709308527.9479 1 % No Line
1709308527.9522 1 % No Line
1709308527.9567 1 % No Line
1709308527.9612 1 % No Line
1709308527.9656 1 % No Line
1709308527.9701 1 % No Line
1709308527.9745 1 % No Line
1709308527.9790 1 % No Line
1709308527.9834 1 % No Line
1709308527.9879 1 % No Line
1709308527.9923 1 % No Line
1709308527.9967 1 % No Line
1709308528.0012 1 % No Line
1709308528.0055 1 % No Line
1709308528.0099 1 % No Line
1709308528.0142 1 % No Line
1709308528.0185 1 % No Line
1709308528.0230 1 % No Line
1709308528.0273 1 % No Line
1709308528.0316 1 % No Line
1709308528.0359 1 % No Line
1709308528.0403 1 % No Line
1709308528.0451 1 % No Line
1709308528.0495 1 % No Line
1709308528.0541 1 % No Line
1709308528.0585 1 % No Line
1709308528.0630 1 % No Line
1709308528.0674 1 % No Line
1709308528.0716 1 % No Line
1709308528.0758 1 % No Line
1709308528.0800 1 % No Line
1709308528.0842 1 % No Line
1709308528.0884 1 % No Line
1709308528.0925 1 % No Line
1709308528.0966 1 % No Line
1709308528.1008 1 % No Line
1709308528.1049 1 % No Line
1709308528.1091 1 % No Line
1709308528.1132 1 % No Line
1709308528.1174 1 % No Line
1709308528.1216 1 % No Line
1709308528.1258 1 % No Line
1709308528.1299 1 % No Line
1709308528.1341 1 % No Line
1709308528.1382 1 % No Line
1709308528.1424 1 % No Line
1709308528.1466 1 % No Line
1709308528.1507 1 % No Line
1709308528.1549 1 % No Line
1709308528.1590 1 % No Line
1709308528.1632 1 % No Line
1709308528.1674 1 % No Line
1709308528.1716 1 % No Line
1709308528.1757 1 % No Line
1709308528.1799 1 % No Line
1709308528.1840 1 % No Line
1709308528.1882 1 % No Line
1709308528.1923 1 % No Line
1709308528.1965 1 % No Line
1709308528.2006 1 % No Line
