% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309588.4788 0 0 0 0
1709309588.4868 0 0 0 0
1709309588.4934 0 0 0 0
1709309588.5026 0 0 0 0
1709309588.5100 0 0 0 0
1709309588.5186 0 0 0 0
1709309588.5257 0 0 0 0
1709309588.5364 0 0 0 0
1709309588.5423 0 0 0 0
1709309588.5502 0 0 0 0
1709309588.5584 0 0 0 0
1709309588.5667 0 0 0 0
1709309588.5745 0 0 0 0
1709309588.5824 0 0 0 0
1709309588.5899 0 0 0 0
1709309588.5987 0 0 0 0
1709309588.6057 1 1 1 1
1709309588.6138 8 6 7 5
1709309588.6226 21 12 13 6
1709309588.6298 28 17 7 5
1709309588.6377 31 22 3 5
1709309588.6465 37 29 6 7
1709309588.6537 47 36 10 7
1709309588.6621 58 46 11 10
1709309588.6698 66 58 8 12
1709309588.6781 78 70 12 12
1709309588.6860 90 84 12 14
1709309588.6942 103 98 13 14
1709309588.7022 116 111 13 13
1709309588.7103 134 127 18 16
1709309588.7179 152 143 18 16
1709309588.7262 169 155 17 12
1709309588.7352 185 167 16 12
1709309588.7422 203 179 18 12
1709309588.7505 221 193 18 14
1709309588.7579 235 208 14 15
1709309588.7657 253 224 18 16
1709309588.7739 268 237 15 13
1709309588.7822 287 253 19 16
1709309588.7897 304 265 17 12
1709309588.7980 321 279 17 14
1709309588.8062 339 297 18 18
1709309588.8142 356 311 17 14
1709309588.8224 375 323 19 12
1709309588.8296 394 340 19 17
1709309588.8380 411 364 17 24
1709309588.8462 429 382 18 18
1709309588.8545 446 395 17 13
1709309588.8617 466 408 20 13
1709309588.8703 484 427 18 19
1709309588.8779 500 451 16 24
1709309588.8858 518 463 18 12
1709309588.8954 536 474 18 11
1709309588.9027 552 487 16 13
1709309588.9104 570 504 18 17
1709309588.9176 588 521 18 17
1709309588.9259 605 537 17 16
1709309588.9346 622 547 17 10
1709309588.9417 640 561 18 14
1709309588.9501 657 583 17 22
1709309588.9583 673 601 16 18
1709309588.9666 688 614 15 13
1709309588.9744 703 627 15 13
1709309588.9824 719 642 16 15
1709309588.9896 737 661 18 19
1709309588.9981 750 679 13 18
1709309589.0060 764 693 14 14
1709309589.0136 779 711 15 18
1709309589.0220 792 731 13 20
1709309589.0306 808 746 16 15
1709309589.0383 823 761 15 15
1709309589.0466 840 774 17 13
1709309589.0544 855 789 15 15
1709309589.0616 870 805 15 16
