% Edge sensor logfile normalized 'log_20240301_171307.903/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709309588.4830 0 0 0 0 0 0 0 0  0.0000
1709309588.4915 0 0 214 815 902 372 0 0  0.0270
1709309588.5000 0 0 221 839 927 382 0 0  0.0281
1709309588.5063 0 0 232 822 925 389 0 0  0.0279
1709309588.5146 0 0 219 817 917 382 0 0  0.0275
1709309588.5220 0 0 232 837 943 408 0 0  0.0288
1709309588.5305 0 0 230 831 922 390 0 0  0.0280
1709309588.5384 0 0 230 817 919 380 0 0  0.0275
1709309588.5457 0 0 230 837 933 400 0 0  0.0285
1709309588.5538 0 0 221 829 922 384 0 0  0.0279
1709309588.5617 0 0 228 833 915 379 0 0  0.0278
1709309588.5699 0 0 221 837 932 397 0 0  0.0284
1709309588.5784 0 0 221 828 904 380 0 0  0.0274
1709309588.5861 0 0 226 831 919 399 0 0  0.0281
1709309588.5943 0 0 226 831 920 389 0 0  0.0280
1709309588.6023 0 0 221 826 915 389 0 0  0.0277
1709309588.6100 0 0 235 813 907 451 0 0  0.0283
1709309588.6182 0 0 228 829 922 415 0 0  0.0283
1709309588.6262 0 0 223 800 910 392 0 0  0.0271
1709309588.6350 0 0 203 765 879 374 0 0  0.0252
1709309588.6421 0 0 205 749 871 379 0 0  0.0246
1709309588.6503 0 0 198 745 846 366 0 0  0.0238
1709309588.6582 0 0 164 711 811 385 0 0  0.0220
1709309588.6665 0 0 152 703 786 362 0 0  0.0207
1709309588.6747 0 0 164 696 776 334 0 0  0.0192
1709309588.6826 0 0 155 656 755 344 0 0  0.0118
1709309588.6898 0 0 136 645 725 320 0 0  0.0064
1709309588.6978 0 0 148 601 714 321 0 0  0.0027
1709309588.7065 0 0 157 630 689 295 0 0  0.0000
1709309588.7146 0 0 171 619 684 339 0 0  0.0000
1709309588.7217 0 0 168 641 672 300 0 0  0.0000
1709309588.7307 0 0 173 619 662 303 0 0  0.0000
1709309588.7377 0 0 203 627 656 293 0 0  0.0000
1709309588.7460 0 0 228 628 666 307 0 0  0.0000
1709309588.7540 0 0 228 659 664 288 0 0  0.0000
1709309588.7623 0 0 228 665 662 266 0 0  0.0000
1709309588.7705 0 0 262 733 677 270 0 0  0.0113
1709309588.7784 0 0 289 729 689 259 0 0  0.0136
1709309588.7861 0 0 326 782 702 247 0 0  0.0203
1709309588.7945 0 0 353 844 715 241 0 0  0.0227
1709309588.8024 0 0 372 866 730 197 0 0  0.0239
1709309588.8106 0 0 426 956 761 215 0 0  0.0273
1709309588.8180 0 0 465 1000 793 216 0 0  0.0295
1709309588.8258 0 0 500 1000 776 193 0 0  0.0297
1709309588.8347 0 0 518 1000 755 175 0 0  0.0294
1709309588.8418 0 0 557 1000 732 159 0 0  0.0297
1709309588.8507 0 0 518 1000 692 147 0 0  0.0274
1709309588.8578 0 0 531 989 674 144 0 0  0.0265
1709309588.8665 0 0 566 1000 684 131 0 0  0.0281
1709309588.8739 0 0 618 1000 702 139 0 0  0.0307
